Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.4554,0.03874,0.2375,0.1207,0.1213,0.1319,0.04997,0.02302,0.03313,0.02302,0.03088,0.01404,0.05334,0.09826,0.1056,0.1005,0.03650,0.04829
0.4554, 1.000,0.05783,0.1527,0.1011,0.1061,0.1769,0.08984,0.02358,0.02583,0.01797,0.01684,0.01909,0.04941,0.1595,0.1336,0.08198,0.02246,0.05334
0.03874,0.05783, 1.000,0.04043,0.1488,0.1449,0.1567,0.01460,0.03369,0.02134,0.03706,0.01348,0.01909,0.06738,0.03650,0.03706,0.07412,0.1095,0.1550
0.2375,0.1527,0.04043, 1.000,0.05671,0.04548,0.07075,0.04492,0.02583,0.01741,0.03537,0.04716,0.01628,0.04211,0.06176,0.1275,0.1982,0.04155,0.03706
0.1207,0.1011,0.1488,0.05671, 1.000,0.5867,0.1881,0.009545,0.03874,0.02077,0.02414,0.02302,0.009545,0.08703,0.03369,0.05053,0.1246,0.1078,0.1230
0.1213,0.1061,0.1449,0.04548,0.5867, 1.000,0.2010,0.008422,0.02358,0.02864,0.03257,0.02695,0.006176,0.1190,0.04323,0.05166,0.07187,0.08478,0.1718
0.1319,0.1769,0.1567,0.07075,0.1881,0.2010, 1.000,0.02864,0.03425,0.01067,0.009545,0.02414,0.006176,0.1398,0.1662,0.1005,0.08254,0.03537,0.2083
0.04997,0.08984,0.01460,0.04492,0.009545,0.008422,0.02864, 1.000,0.01572,0.06008,0.04043,0.01853,0.08254,0.01572,0.1106,0.1084,0.02190,0.02358,0.02134
0.02302,0.02358,0.03369,0.02583,0.03874,0.02358,0.03425,0.01572, 1.000,0.04267,0.02302,0.01460,0.03706,0.01572,0.01684,0.03987,0.08478,0.02920,0.01797
0.03313,0.02583,0.02134,0.01741,0.02077,0.02864,0.01067,0.06008,0.04267, 1.000,0.1690,0.03200,0.1033,0.008422,0.02302,0.01797,0.01460,0.04267,0.02021
0.02302,0.01797,0.03706,0.03537,0.02414,0.03257,0.009545,0.04043,0.02302,0.1690, 1.000,0.05109,0.06457,0.02695,0.02246,0.02077,0.02639,0.03425,0.02471
0.03088,0.01684,0.01348,0.04716,0.02302,0.02695,0.02414,0.01853,0.01460,0.03200,0.05109, 1.000,0.02751,0.06513,0.03706,0.01348,0.02751,0.02358,0.06682
0.01404,0.01909,0.01909,0.01628,0.009545,0.006176,0.006176,0.08254,0.03706,0.1033,0.06457,0.02751, 1.000,0.02077,0.03200,0.02021,0.01572,0.09714,0.01348
0.05334,0.04941,0.06738,0.04211,0.08703,0.1190,0.1398,0.01572,0.01572,0.008422,0.02695,0.06513,0.02077, 1.000,0.05053,0.03537,0.03144,0.03032,0.4806
0.09826,0.1595,0.03650,0.06176,0.03369,0.04323,0.1662,0.1106,0.01684,0.02302,0.02246,0.03706,0.03200,0.05053, 1.000,0.1359,0.03930,0.01011,0.05727
0.1056,0.1336,0.03706,0.1275,0.05053,0.05166,0.1005,0.1084,0.03987,0.01797,0.02077,0.01348,0.02021,0.03537,0.1359, 1.000,0.1235,0.02976,0.03706
0.1005,0.08198,0.07412,0.1982,0.1246,0.07187,0.08254,0.02190,0.08478,0.01460,0.02639,0.02751,0.01572,0.03144,0.03930,0.1235, 1.000,0.07299,0.03593
0.03650,0.02246,0.1095,0.04155,0.1078,0.08478,0.03537,0.02358,0.02920,0.04267,0.03425,0.02358,0.09714,0.03032,0.01011,0.02976,0.07299, 1.000,0.04099
0.04829,0.05334,0.1550,0.03706,0.1230,0.1718,0.2083,0.02134,0.01797,0.02021,0.02471,0.06682,0.01348,0.4806,0.05727,0.03706,0.03593,0.04099, 1.000
