Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1225,0.05356,0.2838,0.3909,0.1066,0.03875,0.06382,0.02963,0.01481,0.02792,0.02507,0.02792,0.03191,0.06553,0.06610,0.07464,0.03761,0.06667
0.1225, 1.000,0.06382,0.04729,0.05527,0.2564,0.2279,0.2821,0.02507,0.02165,0.02222,0.02792,0.02963,0.03818,0.1157,0.07692,0.05413,0.02906,0.08547
0.05356,0.06382, 1.000,0.05356,0.07009,0.08547,0.04558,0.04729,0.01937,0.02621,0.02051,0.02336,0.02792,0.02336,0.02849,0.02849,0.05926,0.06382,0.04558
0.2838,0.04729,0.05356, 1.000,0.4188,0.04843,0.02222,0.03647,0.05926,0.02336,0.03191,0.02393,0.02450,0.02165,0.04729,0.05983,0.07920,0.03533,0.04046
0.3909,0.05527,0.07009,0.4188, 1.000,0.07350,0.02792,0.03362,0.03533,0.02735,0.02963,0.02336,0.02393,0.02507,0.04729,0.05470,0.07179,0.04672,0.04387
0.1066,0.2564,0.08547,0.04843,0.07350, 1.000,0.1915,0.09858,0.02051,0.01652,0.02108,0.01994,0.02450,0.05356,0.05185,0.05413,0.04387,0.03248,0.09174
0.03875,0.2279,0.04558,0.02222,0.02792,0.1915, 1.000,0.2057,0.01880,0.01880,0.02564,0.03533,0.02735,0.05755,0.06268,0.05470,0.02963,0.02393,0.06724
0.06382,0.2821,0.04729,0.03647,0.03362,0.09858,0.2057, 1.000,0.01823,0.02849,0.01823,0.02849,0.05812,0.04558,0.1328,0.1197,0.03419,0.02963,0.06895
0.02963,0.02507,0.01937,0.05926,0.03533,0.02051,0.01880,0.01823, 1.000,0.03875,0.02906,0.03134,0.02507,0.01994,0.01481,0.03134,0.03761,0.02678,0.01823
0.01481,0.02165,0.02621,0.02336,0.02735,0.01652,0.01880,0.02849,0.03875, 1.000,0.02564,0.03077,0.04900,0.01538,0.02678,0.02222,0.02792,0.02963,0.01823
0.02792,0.02222,0.02051,0.03191,0.02963,0.02108,0.02564,0.01823,0.02906,0.02564, 1.000,0.02165,0.02165,0.02393,0.01994,0.02336,0.01823,0.03077,0.02450
0.02507,0.02792,0.02336,0.02393,0.02336,0.01994,0.03533,0.02849,0.03134,0.03077,0.02165, 1.000,0.06838,0.03818,0.02564,0.02393,0.02393,0.02165,0.03191
0.02792,0.02963,0.02792,0.02450,0.02393,0.02450,0.02735,0.05812,0.02507,0.04900,0.02165,0.06838, 1.000,0.02906,0.04843,0.04046,0.02108,0.04672,0.03476
0.03191,0.03818,0.02336,0.02165,0.02507,0.05356,0.05755,0.04558,0.01994,0.01538,0.02393,0.03818,0.02906, 1.000,0.04387,0.03647,0.01595,0.02279,0.09003
0.06553,0.1157,0.02849,0.04729,0.04729,0.05185,0.06268,0.1328,0.01481,0.02678,0.01994,0.02564,0.04843,0.04387, 1.000,0.1550,0.02963,0.02279,0.07635
0.06610,0.07692,0.02849,0.05983,0.05470,0.05413,0.05470,0.1197,0.03134,0.02222,0.02336,0.02393,0.04046,0.03647,0.1550, 1.000,0.03647,0.01709,0.04387
0.07464,0.05413,0.05926,0.07920,0.07179,0.04387,0.02963,0.03419,0.03761,0.02792,0.01823,0.02393,0.02108,0.01595,0.02963,0.03647, 1.000,0.03419,0.02564
0.03761,0.02906,0.06382,0.03533,0.04672,0.03248,0.02393,0.02963,0.02678,0.02963,0.03077,0.02165,0.04672,0.02279,0.02279,0.01709,0.03419, 1.000,0.02222
0.06667,0.08547,0.04558,0.04046,0.04387,0.09174,0.06724,0.06895,0.01823,0.01823,0.02450,0.03191,0.03476,0.09003,0.07635,0.04387,0.02564,0.02222, 1.000
