Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.2964,0.1358,0.08759,0.4628,0.09489,0.07445,0.2146,0.05109,0.04964,0.03504,0.06861,0.03650,0.04234,0.1255,0.1328,0.2146,0.07153,0.1051
0.2964, 1.000,0.1518,0.02920,0.1985,0.2219,0.2248,0.5518,0.01898,0.04088,0.03796,0.05255,0.06423,0.02628,0.1635,0.1401,0.1737,0.1022,0.06131
0.1358,0.1518, 1.000,0.06277,0.1518,0.08321,0.1445,0.1606,0.06715,0.1168,0.03942,0.04672,0.05547,0.06423,0.05255,0.03942,0.09051,0.1401,0.1752
0.08759,0.02920,0.06277, 1.000,0.1022,0.007299,0.02336,0.02336,0.1912,0.07445,0.07299,0.07445,0.03650,0.03796,0.02920,0.05985,0.09927,0.04964,0.04234
0.4628,0.1985,0.1518,0.1022, 1.000,0.08467,0.07591,0.1460,0.05109,0.05109,0.04672,0.04526,0.01022,0.03212,0.07591,0.08467,0.1401,0.08613,0.09051
0.09489,0.2219,0.08321,0.007299,0.08467, 1.000,0.4263,0.1854,0.005839,0.02920,0.04672,0.04088,0.09051,0.09197,0.06861,0.04234,0.06715,0.1124,0.09781
0.07445,0.2248,0.1445,0.02336,0.07591,0.4263, 1.000,0.2803,0.02190,0.05547,0.05401,0.05109,0.1197,0.08905,0.1255,0.05839,0.09343,0.1139,0.1445
0.2146,0.5518,0.1606,0.02336,0.1460,0.1854,0.2803, 1.000,0.03650,0.04234,0.05109,0.06715,0.08905,0.04818,0.1737,0.1606,0.1737,0.08759,0.09635
0.05109,0.01898,0.06715,0.1912,0.05109,0.005839,0.02190,0.03650, 1.000,0.07007,0.08613,0.08905,0.04818,0.05985,0.03796,0.07007,0.07445,0.04526,0.04088
0.04964,0.04088,0.1168,0.07445,0.05109,0.02920,0.05547,0.04234,0.07007, 1.000,0.05547,0.08029,0.04234,0.01898,0.01606,0.03650,0.06715,0.09781,0.07007
0.03504,0.03796,0.03942,0.07299,0.04672,0.04672,0.05401,0.05109,0.08613,0.05547, 1.000,0.3066,0.04526,0.08175,0.03504,0.02190,0.03796,0.02482,0.05401
0.06861,0.05255,0.04672,0.07445,0.04526,0.04088,0.05109,0.06715,0.08905,0.08029,0.3066, 1.000,0.04672,0.08175,0.03212,0.04818,0.06277,0.04818,0.05401
0.03650,0.06423,0.05547,0.03650,0.01022,0.09051,0.1197,0.08905,0.04818,0.04234,0.04526,0.04672, 1.000,0.02336,0.1285,0.04380,0.04088,0.05693,0.05109
0.04234,0.02628,0.06423,0.03796,0.03212,0.09197,0.08905,0.04818,0.05985,0.01898,0.08175,0.08175,0.02336, 1.000,0.02044,0.01752,0.02628,0.05109,0.1255
0.1255,0.1635,0.05255,0.02920,0.07591,0.06861,0.1255,0.1737,0.03796,0.01606,0.03504,0.03212,0.1285,0.02044, 1.000,0.1124,0.07591,0.04234,0.06861
0.1328,0.1401,0.03942,0.05985,0.08467,0.04234,0.05839,0.1606,0.07007,0.03650,0.02190,0.04818,0.04380,0.01752,0.1124, 1.000,0.1927,0.05255,0.04672
0.2146,0.1737,0.09051,0.09927,0.1401,0.06715,0.09343,0.1737,0.07445,0.06715,0.03796,0.06277,0.04088,0.02628,0.07591,0.1927, 1.000,0.05401,0.06715
0.07153,0.1022,0.1401,0.04964,0.08613,0.1124,0.1139,0.08759,0.04526,0.09781,0.02482,0.04818,0.05693,0.05109,0.04234,0.05255,0.05401, 1.000,0.06861
0.1051,0.06131,0.1752,0.04234,0.09051,0.09781,0.1445,0.09635,0.04088,0.07007,0.05401,0.05401,0.05109,0.1255,0.06861,0.04672,0.06715,0.06861, 1.000
