Fp1,Fp2,O2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.09886,0.1766,0.08171,0.5034,0.1337,0.05143,0.02914,0.02171,0.03429,0.02800,0.02800,0.04457,0.04857,0.04629,0.1114,0.07486,0.09600,0.1137
0.09886, 1.000,0.05886,0.03486,0.06857,0.1514,0.1686,0.07314,0.02457,0.03200,0.04457,0.02400,0.02457,0.06057,0.1063,0.1000,0.05314,0.04857,0.04914
0.1766,0.05886, 1.000,0.08229,0.1371,0.07200,0.03086,0.03029,0.02800,0.03600,0.03086,0.02114,0.02914,0.04800,0.04286,0.08571,0.06514,0.1400,0.1526
0.08171,0.03486,0.08229, 1.000,0.06400,0.02114,0.02000,0.01543,0.1257,0.01657,0.02743,0.03029,0.01657,0.02743,0.02114,0.07543,0.04629,0.05714,0.1097
0.5034,0.06857,0.1371,0.06400, 1.000,0.1354,0.04114,0.02286,0.01657,0.03086,0.03257,0.02914,0.04400,0.05429,0.03714,0.08629,0.06057,0.07371,0.1091
0.1337,0.1514,0.07200,0.02114,0.1354, 1.000,0.2206,0.03771,0.02286,0.02743,0.09429,0.01771,0.04914,0.08000,0.06057,0.05086,0.02800,0.06343,0.05943
0.05143,0.1686,0.03086,0.02000,0.04114,0.2206, 1.000,0.07600,0.03714,0.04057,0.08571,0.02400,0.03314,0.09829,0.09086,0.04114,0.01314,0.03029,0.04286
0.02914,0.07314,0.03029,0.01543,0.02286,0.03771,0.07600, 1.000,0.02743,0.04057,0.03486,0.03086,0.04057,0.02800,0.06057,0.03829,0.02457,0.02914,0.02800
0.02171,0.02457,0.02800,0.1257,0.01657,0.02286,0.03714,0.02743, 1.000,0.03714,0.04229,0.06286,0.02400,0.02343,0.02000,0.03486,0.04629,0.02457,0.01771
0.03429,0.03200,0.03600,0.01657,0.03086,0.02743,0.04057,0.04057,0.03714, 1.000,0.03029,0.05429,0.08286,0.03429,0.06229,0.02800,0.03429,0.04857,0.03314
0.02800,0.04457,0.03086,0.02743,0.03257,0.09429,0.08571,0.03486,0.04229,0.03029, 1.000,0.02800,0.03829,0.05543,0.02686,0.02571,0.02629,0.03829,0.03543
0.02800,0.02400,0.02114,0.03029,0.02914,0.01771,0.02400,0.03086,0.06286,0.05429,0.02800, 1.000,0.03771,0.05429,0.03657,0.02114,0.07029,0.03714,0.02857
0.04457,0.02457,0.02914,0.01657,0.04400,0.04914,0.03314,0.04057,0.02400,0.08286,0.03829,0.03771, 1.000,0.02229,0.03943,0.01771,0.04229,0.07600,0.02800
0.04857,0.06057,0.04800,0.02743,0.05429,0.08000,0.09829,0.02800,0.02343,0.03429,0.05543,0.05429,0.02229, 1.000,0.1046,0.02286,0.01657,0.03829,0.09714
0.04629,0.1063,0.04286,0.02114,0.03714,0.06057,0.09086,0.06057,0.02000,0.06229,0.02686,0.03657,0.03943,0.1046, 1.000,0.08457,0.02171,0.03029,0.06800
0.1114,0.1000,0.08571,0.07543,0.08629,0.05086,0.04114,0.03829,0.03486,0.02800,0.02571,0.02114,0.01771,0.02286,0.08457, 1.000,0.04629,0.03429,0.06571
0.07486,0.05314,0.06514,0.04629,0.06057,0.02800,0.01314,0.02457,0.04629,0.03429,0.02629,0.07029,0.04229,0.01657,0.02171,0.04629, 1.000,0.1080,0.03200
0.09600,0.04857,0.1400,0.05714,0.07371,0.06343,0.03029,0.02914,0.02457,0.04857,0.03829,0.03714,0.07600,0.03829,0.03029,0.03429,0.1080, 1.000,0.07886
0.1137,0.04914,0.1526,0.1097,0.1091,0.05943,0.04286,0.02800,0.01771,0.03314,0.03543,0.02857,0.02800,0.09714,0.06800,0.06571,0.03200,0.07886, 1.000
