Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04095,0.1043,0.2610,0.08952,0.02476,0.02333,0.02000,0.02095,0.02000,0.03667,0.03381,0.03048,0.04810,0.09762,0.1224,0.07762,0.06762,0.1157
0.04095, 1.000,0.02714,0.02667,0.2138,0.2638,0.03762,0.02762,0.01857,0.02524,0.01952,0.01762,0.06619,0.05143,0.05762,0.03143,0.03333,0.04714,0.07524
0.1043,0.02714, 1.000,0.05381,0.02190,0.02857,0.03524,0.1233,0.02381,0.02524,0.04714,0.03857,0.02381,0.02571,0.04143,0.04429,0.03810,0.04238,0.04476
0.2610,0.02667,0.05381, 1.000,0.07286,0.01905,0.02429,0.01667,0.02714,0.02429,0.03333,0.03238,0.03190,0.03286,0.04000,0.09143,0.09905,0.06429,0.08571
0.08952,0.2138,0.02190,0.07286, 1.000,0.1486,0.02429,0.02476,0.01810,0.03286,0.01952,0.03429,0.1176,0.06286,0.05571,0.05429,0.08381,0.08857,0.1724
0.02476,0.2638,0.02857,0.01905,0.1486, 1.000,0.04571,0.03381,0.02190,0.05190,0.02952,0.02571,0.1205,0.04810,0.03762,0.02381,0.03571,0.06286,0.07381
0.02333,0.03762,0.03524,0.02429,0.02429,0.04571, 1.000,0.04619,0.09381,0.02857,0.04952,0.03905,0.02762,0.04714,0.03571,0.02286,0.02286,0.02857,0.01952
0.02000,0.02762,0.1233,0.01667,0.02476,0.03381,0.04619, 1.000,0.02952,0.02048,0.03381,0.03667,0.02857,0.02381,0.02476,0.03190,0.02190,0.02286,0.02714
0.02095,0.01857,0.02381,0.02714,0.01810,0.02190,0.09381,0.02952, 1.000,0.02905,0.03333,0.06429,0.02048,0.02571,0.02190,0.03286,0.03143,0.01381,0.02238
0.02000,0.02524,0.02524,0.02429,0.03286,0.05190,0.02857,0.02048,0.02905, 1.000,0.02286,0.03952,0.03143,0.02619,0.01905,0.02143,0.02714,0.03333,0.02000
0.03667,0.01952,0.04714,0.03333,0.01952,0.02952,0.04952,0.03381,0.03333,0.02286, 1.000,0.03714,0.02905,0.02190,0.02381,0.05952,0.02095,0.02190,0.02429
0.03381,0.01762,0.03857,0.03238,0.03429,0.02571,0.03905,0.03667,0.06429,0.03952,0.03714, 1.000,0.02952,0.02190,0.01905,0.04762,0.1257,0.02762,0.05952
0.03048,0.06619,0.02381,0.03190,0.1176,0.1205,0.02762,0.02857,0.02048,0.03143,0.02905,0.02952, 1.000,0.1005,0.03762,0.02286,0.03905,0.1338,0.06810
0.04810,0.05143,0.02571,0.03286,0.06286,0.04810,0.04714,0.02381,0.02571,0.02619,0.02190,0.02190,0.1005, 1.000,0.1481,0.02667,0.02048,0.1043,0.04857
0.09762,0.05762,0.04143,0.04000,0.05571,0.03762,0.03571,0.02476,0.02190,0.01905,0.02381,0.01905,0.03762,0.1481, 1.000,0.06238,0.02714,0.08810,0.07143
0.1224,0.03143,0.04429,0.09143,0.05429,0.02381,0.02286,0.03190,0.03286,0.02143,0.05952,0.04762,0.02286,0.02667,0.06238, 1.000,0.07905,0.04286,0.09905
0.07762,0.03333,0.03810,0.09905,0.08381,0.03571,0.02286,0.02190,0.03143,0.02714,0.02095,0.1257,0.03905,0.02048,0.02714,0.07905, 1.000,0.03905,0.1586
0.06762,0.04714,0.04238,0.06429,0.08857,0.06286,0.02857,0.02286,0.01381,0.03333,0.02190,0.02762,0.1338,0.1043,0.08810,0.04286,0.03905, 1.000,0.1710
0.1157,0.07524,0.04476,0.08571,0.1724,0.07381,0.01952,0.02714,0.02238,0.02000,0.02429,0.05952,0.06810,0.04857,0.07143,0.09905,0.1586,0.1710, 1.000
