Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3810,0.05055,0.2271,0.1531,0.2418,0.2762,0.01538,0.04396,0.02784,0.02051,0.02271,0.07839,0.04835,0.05348,0.03956,0.07546,0.1626,0.3575
0.3810, 1.000,0.03590,0.09524,0.1707,0.2176,0.3985,0.02344,0.04249,0.03150,0.01978,0.02637,0.1143,0.04762,0.04469,0.04689,0.05934,0.2330,0.6645
0.05055,0.03590, 1.000,0.04689,0.02125,0.02491,0.04469,0.04322,0.05201,0.02271,0.02711,0.02930,0.02198,0.02051,0.1875,0.05495,0.03370,0.03223,0.04103
0.2271,0.09524,0.04689, 1.000,0.06081,0.1443,0.1055,0.02637,0.03150,0.01832,0.01685,0.01905,0.04029,0.05128,0.05568,0.03810,0.06520,0.05495,0.08498
0.1531,0.1707,0.02125,0.06081, 1.000,0.2674,0.08498,0.03150,0.02271,0.04029,0.01758,0.02271,0.06593,0.06813,0.01978,0.03223,0.04982,0.09597,0.1597
0.2418,0.2176,0.02491,0.1443,0.2674, 1.000,0.1333,0.02418,0.02271,0.04249,0.01465,0.02344,0.05568,0.06007,0.03516,0.04249,0.1033,0.08791,0.1648
0.2762,0.3985,0.04469,0.1055,0.08498,0.1333, 1.000,0.02051,0.05055,0.02491,0.02564,0.03223,0.08938,0.05861,0.07179,0.04835,0.04689,0.1590,0.3238
0.01538,0.02344,0.04322,0.02637,0.03150,0.02418,0.02051, 1.000,0.02857,0.1209,0.09304,0.02930,0.09158,0.03443,0.03516,0.02784,0.01465,0.04835,0.01612
0.04396,0.04249,0.05201,0.03150,0.02271,0.02271,0.05055,0.02857, 1.000,0.01612,0.01905,0.03810,0.04249,0.02637,0.02491,0.03004,0.03077,0.05641,0.05275
0.02784,0.03150,0.02271,0.01832,0.04029,0.04249,0.02491,0.1209,0.01612, 1.000,0.03590,0.02637,0.05275,0.02784,0.01319,0.01612,0.02857,0.03956,0.03150
0.02051,0.01978,0.02711,0.01685,0.01758,0.01465,0.02564,0.09304,0.01905,0.03590, 1.000,0.06520,0.06300,0.04469,0.02344,0.02344,0.03004,0.04176,0.02491
0.02271,0.02637,0.02930,0.01905,0.02271,0.02344,0.03223,0.02930,0.03810,0.02637,0.06520, 1.000,0.06740,0.04029,0.02564,0.03077,0.04103,0.05421,0.02418
0.07839,0.1143,0.02198,0.04029,0.06593,0.05568,0.08938,0.09158,0.04249,0.05275,0.06300,0.06740, 1.000,0.08718,0.02198,0.01832,0.01978,0.4220,0.1443
0.04835,0.04762,0.02051,0.05128,0.06813,0.06007,0.05861,0.03443,0.02637,0.02784,0.04469,0.04029,0.08718, 1.000,0.02418,0.01905,0.01832,0.05568,0.03663
0.05348,0.04469,0.1875,0.05568,0.01978,0.03516,0.07179,0.03516,0.02491,0.01319,0.02344,0.02564,0.02198,0.02418, 1.000,0.1011,0.04542,0.02491,0.03370
0.03956,0.04689,0.05495,0.03810,0.03223,0.04249,0.04835,0.02784,0.03004,0.01612,0.02344,0.03077,0.01832,0.01905,0.1011, 1.000,0.1399,0.02344,0.04029
0.07546,0.05934,0.03370,0.06520,0.04982,0.1033,0.04689,0.01465,0.03077,0.02857,0.03004,0.04103,0.01978,0.01832,0.04542,0.1399, 1.000,0.03223,0.04176
0.1626,0.2330,0.03223,0.05495,0.09597,0.08791,0.1590,0.04835,0.05641,0.03956,0.04176,0.05421,0.4220,0.05568,0.02491,0.02344,0.03223, 1.000,0.3414
0.3575,0.6645,0.04103,0.08498,0.1597,0.1648,0.3238,0.01612,0.05275,0.03150,0.02491,0.02418,0.1443,0.03663,0.03370,0.04029,0.04176,0.3414, 1.000
