Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2925,0.09094,0.1491,0.1748,0.1025,0.09332,0.02782,0.02155,0.03105,0.02613,0.03241,0.05327,0.08331,0.07906,0.03190,0.04818,0.07126,0.04700
0.2925, 1.000,0.06430,0.08534,0.1878,0.1624,0.1671,0.03325,0.03512,0.03173,0.02969,0.03461,0.07126,0.1010,0.07380,0.03478,0.04004,0.07126,0.04038
0.09094,0.06430, 1.000,0.08839,0.04988,0.04530,0.04547,0.08280,0.02172,0.03393,0.05514,0.02562,0.03037,0.04428,0.07855,0.03902,0.04004,0.04140,0.04157
0.1491,0.08534,0.08839, 1.000,0.1809,0.08551,0.05260,0.02375,0.02766,0.03529,0.02850,0.03529,0.05582,0.04615,0.05056,0.03325,0.08534,0.1072,0.09230
0.1748,0.1878,0.04988,0.1809, 1.000,0.2808,0.06922,0.03427,0.02799,0.05887,0.03342,0.03241,0.08619,0.06193,0.04462,0.03987,0.05989,0.1278,0.07448
0.1025,0.1624,0.04530,0.08551,0.2808, 1.000,0.08772,0.05056,0.02426,0.05192,0.05972,0.03190,0.09722,0.06498,0.03784,0.03716,0.03173,0.1318,0.04513
0.09332,0.1671,0.04547,0.05260,0.06922,0.08772, 1.000,0.03953,0.04581,0.02545,0.04326,0.1081,0.06515,0.1300,0.07414,0.02986,0.03359,0.06295,0.03359
0.02782,0.03325,0.08280,0.02375,0.03427,0.05056,0.03953, 1.000,0.03139,0.03784,0.05752,0.03088,0.03970,0.02392,0.03478,0.03563,0.03003,0.02647,0.02850
0.02155,0.03512,0.02172,0.02766,0.02799,0.02426,0.04581,0.03139, 1.000,0.03750,0.02155,0.04615,0.02104,0.04191,0.03037,0.03936,0.04598,0.02952,0.04734
0.03105,0.03173,0.03393,0.03529,0.05887,0.05192,0.02545,0.03784,0.03750, 1.000,0.05226,0.02426,0.03868,0.03003,0.03767,0.1278,0.03359,0.04801,0.04666
0.02613,0.02969,0.05514,0.02850,0.03342,0.05972,0.04326,0.05752,0.02155,0.05226, 1.000,0.04089,0.05684,0.03393,0.03156,0.05701,0.02341,0.04835,0.02494
0.03241,0.03461,0.02562,0.03529,0.03241,0.03190,0.1081,0.03088,0.04615,0.02426,0.04089, 1.000,0.02799,0.04768,0.03546,0.02613,0.04157,0.02681,0.03308
0.05327,0.07126,0.03037,0.05582,0.08619,0.09722,0.06515,0.03970,0.02104,0.03868,0.05684,0.02799, 1.000,0.07194,0.03003,0.03241,0.03054,0.1707,0.03444
0.08331,0.1010,0.04428,0.04615,0.06193,0.06498,0.1300,0.02392,0.04191,0.03003,0.03393,0.04768,0.07194, 1.000,0.06973,0.02986,0.02749,0.05599,0.03020
0.07906,0.07380,0.07855,0.05056,0.04462,0.03784,0.07414,0.03478,0.03037,0.03767,0.03156,0.03546,0.03003,0.06973, 1.000,0.08704,0.03325,0.03427,0.03665
0.03190,0.03478,0.03902,0.03325,0.03987,0.03716,0.02986,0.03563,0.03936,0.1278,0.05701,0.02613,0.03241,0.02986,0.08704, 1.000,0.03546,0.03308,0.03325
0.04818,0.04004,0.04004,0.08534,0.05989,0.03173,0.03359,0.03003,0.04598,0.03359,0.02341,0.04157,0.03054,0.02749,0.03325,0.03546, 1.000,0.04683,0.2769
0.07126,0.07126,0.04140,0.1072,0.1278,0.1318,0.06295,0.02647,0.02952,0.04801,0.04835,0.02681,0.1707,0.05599,0.03427,0.03308,0.04683, 1.000,0.09247
0.04700,0.04038,0.04157,0.09230,0.07448,0.04513,0.03359,0.02850,0.04734,0.04666,0.02494,0.03308,0.03444,0.03020,0.03665,0.03325,0.2769,0.09247, 1.000
