Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09210,0.1886,0.2802,0.1249,0.06494,0.02815,0.02568,0.02543,0.02420,0.02840,0.02790,0.02741,0.05012,0.1783,0.1259,0.05185,0.1077,0.1119
0.09210, 1.000,0.02691,0.03827,0.08494,0.2430,0.1590,0.02519,0.02889,0.02420,0.02222,0.01901,0.03901,0.06099,0.1116,0.05062,0.03185,0.09037,0.09333
0.1886,0.02691, 1.000,0.1289,0.03481,0.02642,0.02173,0.05037,0.02395,0.01852,0.04765,0.02765,0.02667,0.02716,0.06938,0.06741,0.03556,0.03160,0.03160
0.2802,0.03827,0.1289, 1.000,0.1748,0.04938,0.02222,0.02444,0.02889,0.02741,0.02593,0.02938,0.02420,0.03037,0.05827,0.06938,0.04469,0.07383,0.07802
0.1249,0.08494,0.03481,0.1748, 1.000,0.2000,0.03852,0.02790,0.02790,0.05358,0.02123,0.02173,0.03901,0.05210,0.04346,0.05432,0.04840,0.1719,0.1728
0.06494,0.2430,0.02642,0.04938,0.2000, 1.000,0.1096,0.04000,0.02691,0.02815,0.03062,0.01827,0.03531,0.05556,0.07136,0.04642,0.03753,0.2232,0.2225
0.02815,0.1590,0.02173,0.02222,0.03852,0.1096, 1.000,0.04049,0.1086,0.02099,0.03432,0.06593,0.03877,0.09086,0.06025,0.02148,0.02543,0.05407,0.05481
0.02568,0.02519,0.05037,0.02444,0.02790,0.04000,0.04049, 1.000,0.05407,0.02568,0.05012,0.04148,0.02716,0.03333,0.02321,0.02963,0.02642,0.02864,0.02593
0.02543,0.02889,0.02395,0.02889,0.02790,0.02691,0.1086,0.05407, 1.000,0.03160,0.06519,0.1000,0.05975,0.1368,0.02543,0.02963,0.04593,0.02568,0.02593
0.02420,0.02420,0.01852,0.02741,0.05358,0.02815,0.02099,0.02568,0.03160, 1.000,0.02420,0.02840,0.02148,0.02469,0.02247,0.02642,0.03383,0.03210,0.03136
0.02840,0.02222,0.04765,0.02593,0.02123,0.03062,0.03432,0.05012,0.06519,0.02420, 1.000,0.04272,0.03333,0.03901,0.02123,0.03432,0.02543,0.03136,0.03185
0.02790,0.01901,0.02765,0.02938,0.02173,0.01827,0.06593,0.04148,0.1000,0.02840,0.04272, 1.000,0.03556,0.04420,0.02519,0.02198,0.03531,0.02741,0.02815
0.02741,0.03901,0.02667,0.02420,0.03901,0.03531,0.03877,0.02716,0.05975,0.02148,0.03333,0.03556, 1.000,0.07086,0.01951,0.02568,0.02864,0.03556,0.03679
0.05012,0.06099,0.02716,0.03037,0.05210,0.05556,0.09086,0.03333,0.1368,0.02469,0.03901,0.04420,0.07086, 1.000,0.07432,0.02519,0.02469,0.08247,0.08123
0.1783,0.1116,0.06938,0.05827,0.04346,0.07136,0.06025,0.02321,0.02543,0.02247,0.02123,0.02519,0.01951,0.07432, 1.000,0.06395,0.03235,0.1200,0.1301
0.1259,0.05062,0.06741,0.06938,0.05432,0.04642,0.02148,0.02963,0.02963,0.02642,0.03432,0.02198,0.02568,0.02519,0.06395, 1.000,0.3444,0.05407,0.05481
0.05185,0.03185,0.03556,0.04469,0.04840,0.03753,0.02543,0.02642,0.04593,0.03383,0.02543,0.03531,0.02864,0.02469,0.03235,0.3444, 1.000,0.03951,0.03827
0.1077,0.09037,0.03160,0.07383,0.1719,0.2232,0.05407,0.02864,0.02568,0.03210,0.03136,0.02741,0.03556,0.08247,0.1200,0.05407,0.03951, 1.000,0.8854
0.1119,0.09333,0.03160,0.07802,0.1728,0.2225,0.05481,0.02593,0.02593,0.03136,0.03185,0.02815,0.03679,0.08123,0.1301,0.05481,0.03827,0.8854, 1.000
