Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1541,0.06606,0.05321,0.08440,0.04220,0.04037,0.003670,0.02018,0.04771,0.06239,0.07339,0.08991,0.04404,0.08624,0.08073,0.06606,0.01468,0.04037
0.1541, 1.000,0.03119,0.05138,0.1376,0.08440,0.1009,0.02018,0.04771,0.05872,0.04771,0.02569,0.04220,0.09174,0.06422,0.09541,0.04587,0.09358,0.09358
0.06606,0.03119, 1.000,0.09541,0.03486,0.02385,0.01835,0.1284,0.04220,0.02936,0.08257,0.08073,0.05138,0.03119,0.06422,0.05688,0.07523,0.02202,0.03486
0.05321,0.05138,0.09541, 1.000,0.08257,0.02569,0.02202,0.03670,0.001835,0.01835,0.02752,0.01835,0.01835,0.005505,0.02569,0.04587,0.02569,0.05138,0.1321
0.08440,0.1376,0.03486,0.08257, 1.000,0.1633,0.08440,0.05872,0.04404,0.07339,0.04587,0.05138,0.1119,0.08807,0.04037,0.05688,0.03303,0.1505,0.1376
0.04220,0.08440,0.02385,0.02569,0.1633, 1.000,0.06606,0.04220,0.03119,0.07890,0.09908,0.03119,0.09725,0.1064,0.02569,0.03303,0.03119,0.1651,0.07156
0.04037,0.1009,0.01835,0.02202,0.08440,0.06606, 1.000,0.03303,0.04587,0.03303,0.06789,0.02569,0.04404,0.1706,0.1101,0.04404,0.01468,0.09358,0.05872
0.003670,0.02018,0.1284,0.03670,0.05872,0.04220,0.03303, 1.000,0.07523,0.04037,0.05321,0.04037,0.03853,0.05321,0.04771,0.03853,0.02385,0.05872,0.01835
0.02018,0.04771,0.04220,0.001835,0.04404,0.03119,0.04587,0.07523, 1.000,0.03853,0.02202,0.02936,0.01101,0.05505,0.03486,0.1156,0.02752,0.03670,0.03853
0.04771,0.05872,0.02936,0.01835,0.07339,0.07890,0.03303,0.04037,0.03853, 1.000,0.07890,0.04037,0.09174,0.03670,0.01101,0.07890,0.06055,0.05872,0.05321
0.06239,0.04771,0.08257,0.02752,0.04587,0.09908,0.06789,0.05321,0.02202,0.07890, 1.000,0.06972,0.1009,0.03303,0.03670,0.06972,0.08991,0.1119,0.07156
0.07339,0.02569,0.08073,0.01835,0.05138,0.03119,0.02569,0.04037,0.02936,0.04037,0.06972, 1.000,0.05688,0.08257,0.02018,0.07156,0.1358,0.03670,0.05872
0.08991,0.04220,0.05138,0.01835,0.1119,0.09725,0.04404,0.03853,0.01101,0.09174,0.1009,0.05688, 1.000,0.09358,0.03119,0.04771,0.03303,0.1303,0.05505
0.04404,0.09174,0.03119,0.005505,0.08807,0.1064,0.1706,0.05321,0.05505,0.03670,0.03303,0.08257,0.09358, 1.000,0.06606,0.04220,0.01468,0.1266,0.03670
0.08624,0.06422,0.06422,0.02569,0.04037,0.02569,0.1101,0.04771,0.03486,0.01101,0.03670,0.02018,0.03119,0.06606, 1.000,0.09174,0.02936,0.001835,0.02385
0.08073,0.09541,0.05688,0.04587,0.05688,0.03303,0.04404,0.03853,0.1156,0.07890,0.06972,0.07156,0.04771,0.04220,0.09174, 1.000,0.1083,0.02936,0.1450
0.06606,0.04587,0.07523,0.02569,0.03303,0.03119,0.01468,0.02385,0.02752,0.06055,0.08991,0.1358,0.03303,0.01468,0.02936,0.1083, 1.000,0.02569,0.1009
0.01468,0.09358,0.02202,0.05138,0.1505,0.1651,0.09358,0.05872,0.03670,0.05872,0.1119,0.03670,0.1303,0.1266,0.001835,0.02936,0.02569, 1.000,0.1743
0.04037,0.09358,0.03486,0.1321,0.1376,0.07156,0.05872,0.01835,0.03853,0.05321,0.07156,0.05872,0.05505,0.03670,0.02385,0.1450,0.1009,0.1743, 1.000
