Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3516,0.3000,0.4199,0.2509,0.1354,0.1031,0.07329,0.04969,0.05404,0.04037,0.03727,0.06025,0.05217,0.04596,0.1130,0.09068,0.1435,0.1907
0.3516, 1.000,0.1373,0.1720,0.1789,0.1894,0.1578,0.07267,0.02981,0.03602,0.03913,0.03665,0.03975,0.05031,0.06398,0.1230,0.07764,0.1043,0.2000
0.3000,0.1373, 1.000,0.2658,0.1149,0.06211,0.05031,0.1019,0.05342,0.04596,0.02919,0.03292,0.05901,0.05839,0.05466,0.09441,0.05093,0.08696,0.08137
0.4199,0.1720,0.2658, 1.000,0.3056,0.1099,0.05714,0.07391,0.06025,0.07329,0.03851,0.04037,0.08882,0.03727,0.03292,0.1062,0.1075,0.1248,0.1907
0.2509,0.1789,0.1149,0.3056, 1.000,0.2932,0.05901,0.06460,0.05901,0.1000,0.04658,0.03416,0.1130,0.04845,0.04286,0.07267,0.1720,0.1373,0.2876
0.1354,0.1894,0.06211,0.1099,0.2932, 1.000,0.07329,0.03913,0.03540,0.06273,0.06832,0.03292,0.08696,0.05963,0.03292,0.04845,0.09938,0.1280,0.1932
0.1031,0.1578,0.05031,0.05714,0.05901,0.07329, 1.000,0.03478,0.01925,0.02422,0.03478,0.03602,0.02919,0.06149,0.05342,0.06398,0.03913,0.05963,0.06211
0.07329,0.07267,0.1019,0.07391,0.06460,0.03913,0.03478, 1.000,0.04596,0.04037,0.03727,0.03168,0.02547,0.02857,0.06646,0.08944,0.04348,0.04658,0.07267
0.04969,0.02981,0.05342,0.06025,0.05901,0.03540,0.01925,0.04596, 1.000,0.07143,0.02609,0.1037,0.03665,0.04907,0.04534,0.03540,0.09317,0.04969,0.06832
0.05404,0.03602,0.04596,0.07329,0.1000,0.06273,0.02422,0.04037,0.07143, 1.000,0.06522,0.06832,0.1056,0.03168,0.03416,0.03540,0.07329,0.07640,0.06149
0.04037,0.03913,0.02919,0.03851,0.04658,0.06832,0.03478,0.03727,0.02609,0.06522, 1.000,0.03106,0.08758,0.02795,0.02547,0.02981,0.03665,0.05155,0.03789
0.03727,0.03665,0.03292,0.04037,0.03416,0.03292,0.03602,0.03168,0.1037,0.06832,0.03106, 1.000,0.04720,0.05155,0.09441,0.01677,0.04224,0.03416,0.03230
0.06025,0.03975,0.05901,0.08882,0.1130,0.08696,0.02919,0.02547,0.03665,0.1056,0.08758,0.04720, 1.000,0.04472,0.03043,0.02671,0.05404,0.1944,0.06584
0.05217,0.05031,0.05839,0.03727,0.04845,0.05963,0.06149,0.02857,0.04907,0.03168,0.02795,0.05155,0.04472, 1.000,0.05217,0.02422,0.03354,0.07143,0.03478
0.04596,0.06398,0.05466,0.03292,0.04286,0.03292,0.05342,0.06646,0.04534,0.03416,0.02547,0.09441,0.03043,0.05217, 1.000,0.02795,0.02422,0.04534,0.03106
0.1130,0.1230,0.09441,0.1062,0.07267,0.04845,0.06398,0.08944,0.03540,0.03540,0.02981,0.01677,0.02671,0.02422,0.02795, 1.000,0.09193,0.03292,0.1050
0.09068,0.07764,0.05093,0.1075,0.1720,0.09938,0.03913,0.04348,0.09317,0.07329,0.03665,0.04224,0.05404,0.03354,0.02422,0.09193, 1.000,0.05652,0.2298
0.1435,0.1043,0.08696,0.1248,0.1373,0.1280,0.05963,0.04658,0.04969,0.07640,0.05155,0.03416,0.1944,0.07143,0.04534,0.03292,0.05652, 1.000,0.1043
0.1907,0.2000,0.08137,0.1907,0.2876,0.1932,0.06211,0.07267,0.06832,0.06149,0.03789,0.03230,0.06584,0.03478,0.03106,0.1050,0.2298,0.1043, 1.000
