Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1380,0.1857,0.09939,0.05258,0.05380,0.04286,0.02280,0.02371,0.02644,0.04742,0.03404,0.03100,0.04924,0.09818,0.1213,0.04529,0.03556,0.02736
0.1380, 1.000,0.03799,0.03739,0.05532,0.1158,0.2350,0.02948,0.02705,0.02340,0.02766,0.02614,0.04438,0.1061,0.08085,0.05106,0.04195,0.05866,0.03739
0.1857,0.03799, 1.000,0.07690,0.03313,0.03556,0.02492,0.04924,0.02553,0.02462,0.06960,0.02492,0.02492,0.03252,0.06657,0.08723,0.02888,0.02158,0.03222
0.09939,0.03739,0.07690, 1.000,0.1675,0.06231,0.02492,0.02492,0.04286,0.03009,0.03556,0.08237,0.04164,0.03526,0.04772,0.1024,0.1009,0.06261,0.1143
0.05258,0.05532,0.03313,0.1675, 1.000,0.1681,0.03526,0.03040,0.03830,0.05289,0.03252,0.04012,0.06140,0.05289,0.05198,0.06383,0.1036,0.1903,0.3149
0.05380,0.1158,0.03556,0.06231,0.1681, 1.000,0.07660,0.04833,0.02766,0.02553,0.02644,0.02492,0.07812,0.06535,0.04894,0.03951,0.06383,0.1337,0.1179
0.04286,0.2350,0.02492,0.02492,0.03526,0.07660, 1.000,0.03070,0.05228,0.02614,0.02249,0.03465,0.04377,0.07508,0.04225,0.02888,0.02523,0.03556,0.02766
0.02280,0.02948,0.04924,0.02492,0.03040,0.04833,0.03070, 1.000,0.02796,0.03951,0.1021,0.02371,0.09666,0.04073,0.03283,0.04134,0.02219,0.05137,0.02766
0.02371,0.02705,0.02553,0.04286,0.03830,0.02766,0.05228,0.02796, 1.000,0.03617,0.02857,0.2234,0.02067,0.04620,0.01915,0.03252,0.05866,0.02097,0.04650
0.02644,0.02340,0.02462,0.03009,0.05289,0.02553,0.02614,0.03951,0.03617, 1.000,0.03283,0.04255,0.03647,0.01733,0.03374,0.02340,0.05046,0.05076,0.06444
0.04742,0.02766,0.06960,0.03556,0.03252,0.02644,0.02249,0.1021,0.02857,0.03283, 1.000,0.04559,0.03921,0.02371,0.03191,0.08419,0.03678,0.03799,0.03252
0.03404,0.02614,0.02492,0.08237,0.04012,0.02492,0.03465,0.02371,0.2234,0.04255,0.04559, 1.000,0.02462,0.03131,0.02128,0.06079,0.09544,0.02401,0.05046
0.03100,0.04438,0.02492,0.04164,0.06140,0.07812,0.04377,0.09666,0.02067,0.03647,0.03921,0.02462, 1.000,0.1119,0.02219,0.02796,0.02827,0.2687,0.03739
0.04924,0.1061,0.03252,0.03526,0.05289,0.06535,0.07508,0.04073,0.04620,0.01733,0.02371,0.03131,0.1119, 1.000,0.05684,0.02675,0.02280,0.1222,0.03374
0.09818,0.08085,0.06657,0.04772,0.05198,0.04894,0.04225,0.03283,0.01915,0.03374,0.03191,0.02128,0.02219,0.05684, 1.000,0.07538,0.02736,0.03222,0.03921
0.1213,0.05106,0.08723,0.1024,0.06383,0.03951,0.02888,0.04134,0.03252,0.02340,0.08419,0.06079,0.02796,0.02675,0.07538, 1.000,0.09362,0.03252,0.07112
0.04529,0.04195,0.02888,0.1009,0.1036,0.06383,0.02523,0.02219,0.05866,0.05046,0.03678,0.09544,0.02827,0.02280,0.02736,0.09362, 1.000,0.05380,0.1833
0.03556,0.05866,0.02158,0.06261,0.1903,0.1337,0.03556,0.05137,0.02097,0.05076,0.03799,0.02401,0.2687,0.1222,0.03222,0.03252,0.05380, 1.000,0.1079
0.02736,0.03739,0.03222,0.1143,0.3149,0.1179,0.02766,0.02766,0.04650,0.06444,0.03252,0.05046,0.03739,0.03374,0.03921,0.07112,0.1833,0.1079, 1.000
