Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1430,0.2207,0.1135,0.05532,0.04624,0.04709,0.02525,0.02950,0.03177,0.05504,0.02695,0.03603,0.06099,0.1435,0.1101,0.04851,0.03858,0.03489
0.1430, 1.000,0.04624,0.04085,0.05475,0.1254,0.3027,0.02865,0.03830,0.03291,0.02865,0.02638,0.05617,0.1194,0.1087,0.05106,0.03489,0.05532,0.03603
0.2207,0.04624, 1.000,0.07801,0.02837,0.02241,0.03064,0.06241,0.02638,0.03177,0.06326,0.02780,0.02411,0.03007,0.06837,0.07177,0.03149,0.02440,0.02213
0.1135,0.04085,0.07801, 1.000,0.1591,0.04511,0.02865,0.02440,0.05305,0.03745,0.03716,0.08851,0.04936,0.04142,0.06695,0.09929,0.09872,0.07915,0.1064
0.05532,0.05475,0.02837,0.1591, 1.000,0.1285,0.03603,0.02922,0.04227,0.05305,0.02213,0.04681,0.06752,0.05050,0.05305,0.07177,0.09702,0.2162,0.3339
0.04624,0.1254,0.02241,0.04511,0.1285, 1.000,0.08426,0.04028,0.02156,0.02610,0.03149,0.02667,0.07177,0.08681,0.05816,0.04057,0.04879,0.1126,0.08879
0.04709,0.3027,0.03064,0.02865,0.03603,0.08426, 1.000,0.03660,0.06099,0.04142,0.02865,0.04511,0.03801,0.08567,0.05901,0.02752,0.02780,0.03801,0.03206
0.02525,0.02865,0.06241,0.02440,0.02922,0.04028,0.03660, 1.000,0.03234,0.04028,0.1149,0.02780,0.08766,0.04000,0.02468,0.04709,0.02298,0.05191,0.02298
0.02950,0.03830,0.02638,0.05305,0.04227,0.02156,0.06099,0.03234, 1.000,0.04482,0.03830,0.2403,0.03064,0.04113,0.02298,0.02950,0.06695,0.03376,0.04993
0.03177,0.03291,0.03177,0.03745,0.05305,0.02610,0.04142,0.04028,0.04482, 1.000,0.03291,0.04965,0.03489,0.02553,0.02667,0.02610,0.05220,0.05106,0.06695
0.05504,0.02865,0.06326,0.03716,0.02213,0.03149,0.02865,0.1149,0.03830,0.03291, 1.000,0.05106,0.05277,0.03177,0.03262,0.07518,0.02667,0.04028,0.02525
0.02695,0.02638,0.02780,0.08851,0.04681,0.02667,0.04511,0.02780,0.2403,0.04965,0.05106, 1.000,0.03262,0.04340,0.02326,0.04936,0.1260,0.03319,0.05787
0.03603,0.05617,0.02411,0.04936,0.06752,0.07177,0.03801,0.08766,0.03064,0.03489,0.05277,0.03262, 1.000,0.1495,0.03007,0.02780,0.03234,0.2857,0.04170
0.06099,0.1194,0.03007,0.04142,0.05050,0.08681,0.08567,0.04000,0.04113,0.02553,0.03177,0.04340,0.1495, 1.000,0.06638,0.02610,0.03035,0.1444,0.02752
0.1435,0.1087,0.06837,0.06695,0.05305,0.05816,0.05901,0.02468,0.02298,0.02667,0.03262,0.02326,0.03007,0.06638, 1.000,0.09191,0.02950,0.04369,0.03574
0.1101,0.05106,0.07177,0.09929,0.07177,0.04057,0.02752,0.04709,0.02950,0.02610,0.07518,0.04936,0.02780,0.02610,0.09191, 1.000,0.1067,0.02638,0.08028
0.04851,0.03489,0.03149,0.09872,0.09702,0.04879,0.02780,0.02298,0.06695,0.05220,0.02667,0.1260,0.03234,0.03035,0.02950,0.1067, 1.000,0.04369,0.1847
0.03858,0.05532,0.02440,0.07915,0.2162,0.1126,0.03801,0.05191,0.03376,0.05106,0.04028,0.03319,0.2857,0.1444,0.04369,0.02638,0.04369, 1.000,0.1106
0.03489,0.03603,0.02213,0.1064,0.3339,0.08879,0.03206,0.02298,0.04993,0.06695,0.02525,0.05787,0.04170,0.02752,0.03574,0.08028,0.1847,0.1106, 1.000
