Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.01967,0.03607,0.02951,0.03497,0.02732,0.03060,0.01530,0.01967,0.02077,0.01967,0.01421,0.03497,0.01530,0.03388,0.04590,0.02295,0.03825,0.04918
0.01967, 1.000,0.01530,0.01639,0.02404,0.05246,0.02842,0.02514,0.02077,0.01639,0.01858,0.01749,0.03279,0.02732,0.04044,0.02077,0.02404,0.01858,0.01967
0.03607,0.01530, 1.000,0.03825,0.02186,0.01311,0.02295,0.07322,0.01749,0.02404,0.03279,0.01311,0.02842,0.02514,0.02732,0.04044,0.02732,0.02732,0.01967
0.02951,0.01639,0.03825, 1.000,0.02623,0.02951,0.02623,0.02295,0.06557,0.01967,0.04153,0.05792,0.03388,0.07541,0.05464,0.02842,0.02623,0.02623,0.02623
0.03497,0.02404,0.02186,0.02623, 1.000,0.03060,0.02514,0.02186,0.02732,0.02514,0.01639,0.01749,0.04044,0.03169,0.02951,0.02732,0.01749,0.04044,0.02623
0.02732,0.05246,0.01311,0.02951,0.03060, 1.000,0.01858,0.01858,0.02514,0.02077,0.03279,0.01967,0.03934,0.02623,0.02623,0.01967,0.02404,0.04809,0.03388
0.03060,0.02842,0.02295,0.02623,0.02514,0.01858, 1.000,0.01858,0.02732,0.04481,0.02623,0.01967,0.01639,0.05355,0.05683,0.02514,0.02951,0.01967,0.02186
0.01530,0.02514,0.07322,0.02295,0.02186,0.01858,0.01858, 1.000,0.02404,0.01967,0.03716,0.01967,0.01530,0.02077,0.02295,0.02842,0.01749,0.01639,0.02186
0.01967,0.02077,0.01749,0.06557,0.02732,0.02514,0.02732,0.02404, 1.000,0.02842,0.04262,0.05683,0.03934,0.02514,0.02842,0.02186,0.03607,0.02077,0.01749
0.02077,0.01639,0.02404,0.01967,0.02514,0.02077,0.04481,0.01967,0.02842, 1.000,0.02186,0.03060,0.03388,0.01639,0.01858,0.02186,0.03169,0.02951,0.03497
0.01967,0.01858,0.03279,0.04153,0.01639,0.03279,0.02623,0.03716,0.04262,0.02186, 1.000,0.02514,0.02951,0.02186,0.02732,0.03279,0.03060,0.02186,0.01749
0.01421,0.01749,0.01311,0.05792,0.01749,0.01967,0.01967,0.01967,0.05683,0.03060,0.02514, 1.000,0.02295,0.03934,0.02951,0.02623,0.02404,0.02295,0.01421
0.03497,0.03279,0.02842,0.03388,0.04044,0.03934,0.01639,0.01530,0.03934,0.03388,0.02951,0.02295, 1.000,0.03060,0.02951,0.009836,0.02186,0.05792,0.02295
0.01530,0.02732,0.02514,0.07541,0.03169,0.02623,0.05355,0.02077,0.02514,0.01639,0.02186,0.03934,0.03060, 1.000,0.1104,0.01967,0.02295,0.02623,0.01967
0.03388,0.04044,0.02732,0.05464,0.02951,0.02623,0.05683,0.02295,0.02842,0.01858,0.02732,0.02951,0.02951,0.1104, 1.000,0.02077,0.02077,0.02514,0.02514
0.04590,0.02077,0.04044,0.02842,0.02732,0.01967,0.02514,0.02842,0.02186,0.02186,0.03279,0.02623,0.009836,0.01967,0.02077, 1.000,0.04044,0.01858,0.03934
0.02295,0.02404,0.02732,0.02623,0.01749,0.02404,0.02951,0.01749,0.03607,0.03169,0.03060,0.02404,0.02186,0.02295,0.02077,0.04044, 1.000,0.02404,0.03060
0.03825,0.01858,0.02732,0.02623,0.04044,0.04809,0.01967,0.01639,0.02077,0.02951,0.02186,0.02295,0.05792,0.02623,0.02514,0.01858,0.02404, 1.000,0.05355
0.04918,0.01967,0.01967,0.02623,0.02623,0.03388,0.02186,0.02186,0.01749,0.03497,0.01749,0.01421,0.02295,0.01967,0.02514,0.03934,0.03060,0.05355, 1.000
