Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4965,0.2175,0.3667,0.2526,0.3386,0.1421,0.02632,0.02105,0.04561,0.03684,0.02456,0.04561,0.07719,0.2070,0.2053,0.05263,0.1263,0.2298
0.4965, 1.000,0.1456,0.2070,0.1544,0.3281,0.2509,0.01404,0.01579,0.03684,0.02982,0.03333,0.06667,0.1263,0.1807,0.1439,0.04211,0.1754,0.1684
0.2175,0.1456, 1.000,0.1737,0.08246,0.08947,0.06316,0.1491,0.03860,0.03333,0.05263,0.02281,0.02105,0.02982,0.1456,0.1684,0.04737,0.08421,0.1368
0.3667,0.2070,0.1737, 1.000,0.4754,0.2632,0.08596,0.01930,0.04912,0.05789,0.04912,0.03158,0.03509,0.04035,0.09825,0.1263,0.07544,0.1053,0.2684
0.2526,0.1544,0.08246,0.4754, 1.000,0.3474,0.09298,0.01053,0.03860,0.04912,0.04035,0.02982,0.07719,0.09474,0.07368,0.05614,0.06842,0.1526,0.1684
0.3386,0.3281,0.08947,0.2632,0.3474, 1.000,0.2018,0.02105,0.01404,0.01930,0.02456,0.03860,0.1018,0.1246,0.1333,0.06842,0.04386,0.1877,0.1632
0.1421,0.2509,0.06316,0.08596,0.09298,0.2018, 1.000,0.02982,0.02456,0.05614,0.02982,0.1123,0.07719,0.1333,0.1877,0.05263,0.03860,0.1281,0.06491
0.02632,0.01404,0.1491,0.01930,0.01053,0.02105,0.02982, 1.000,0.01930,0.02456,0.08421,0.02281,0.04737,0.02456,0.04561,0.07719,0.04035,0.03333,0.02807
0.02105,0.01579,0.03860,0.04912,0.03860,0.01404,0.02456,0.01930, 1.000,0.1123,0.03509,0.07719,0.01930,0.01228,0.01228,0.01754,0.1351,0.02807,0.02105
0.04561,0.03684,0.03333,0.05789,0.04912,0.01930,0.05614,0.02456,0.1123, 1.000,0.04737,0.02281,0.03509,0.02982,0.03509,0.02982,0.06667,0.02281,0.02807
0.03684,0.02982,0.05263,0.04912,0.04035,0.02456,0.02982,0.08421,0.03509,0.04737, 1.000,0.04386,0.09649,0.05439,0.04561,0.05965,0.04386,0.03860,0.02982
0.02456,0.03333,0.02281,0.03158,0.02982,0.03860,0.1123,0.02281,0.07719,0.02281,0.04386, 1.000,0.09298,0.08070,0.02281,0.02982,0.05263,0.04737,0.02807
0.04561,0.06667,0.02105,0.03509,0.07719,0.1018,0.07719,0.04737,0.01930,0.03509,0.09649,0.09298, 1.000,0.1035,0.03684,0.01579,0.01754,0.1439,0.02105
0.07719,0.1263,0.02982,0.04035,0.09474,0.1246,0.1333,0.02456,0.01228,0.02982,0.05439,0.08070,0.1035, 1.000,0.1614,0.04035,0.03158,0.1754,0.06140
0.2070,0.1807,0.1456,0.09825,0.07368,0.1333,0.1877,0.04561,0.01228,0.03509,0.04561,0.02281,0.03684,0.1614, 1.000,0.1140,0.02807,0.09298,0.1263
0.2053,0.1439,0.1684,0.1263,0.05614,0.06842,0.05263,0.07719,0.01754,0.02982,0.05965,0.02982,0.01579,0.04035,0.1140, 1.000,0.1105,0.05088,0.2123
0.05263,0.04211,0.04737,0.07544,0.06842,0.04386,0.03860,0.04035,0.1351,0.06667,0.04386,0.05263,0.01754,0.03158,0.02807,0.1105, 1.000,0.04035,0.06667
0.1263,0.1754,0.08421,0.1053,0.1526,0.1877,0.1281,0.03333,0.02807,0.02281,0.03860,0.04737,0.1439,0.1754,0.09298,0.05088,0.04035, 1.000,0.1228
0.2298,0.1684,0.1368,0.2684,0.1684,0.1632,0.06491,0.02807,0.02105,0.02807,0.02982,0.02807,0.02105,0.06140,0.1263,0.2123,0.06667,0.1228, 1.000
