Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04514,0.03306,0.04132,0.01462,0.01907,0.03497,0.02861,0.02543,0.01017,0.02606,0.02416,0.02924,0.02225,0.03179,0.03306,0.03115,0.006357,0.02988
0.04514, 1.000,0.02734,0.02861,0.04323,0.02225,0.07184,0.02924,0.04132,0.02416,0.01335,0.02034,0.02098,0.01653,0.04641,0.03560,0.03369,0.03433,0.03051
0.03306,0.02734, 1.000,0.04514,0.04704,0.01526,0.03687,0.03242,0.03751,0.02352,0.02416,0.03878,0.005722,0.03179,0.04959,0.03560,0.03751,0.02797,0.01271
0.04132,0.02861,0.04514, 1.000,0.04196,0.02670,0.01653,0.02098,0.02289,0.02797,0.01399,0.03751,0.02034,0.02861,0.01462,0.03051,0.04450,0.01716,0.02034
0.01462,0.04323,0.04704,0.04196, 1.000,0.03306,0.02352,0.03878,0.02098,0.03179,0.02797,0.03687,0.03497,0.01335,0.03497,0.03433,0.04387,0.02479,0.04959
0.01907,0.02225,0.01526,0.02670,0.03306, 1.000,0.03433,0.01971,0.03497,0.04069,0.03115,0.02543,0.02797,0.02034,0.04005,0.02289,0.02861,0.04259,0.02352
0.03497,0.07184,0.03687,0.01653,0.02352,0.03433, 1.000,0.02098,0.05976,0.02161,0.01526,0.01716,0.01716,0.02161,0.04450,0.02161,0.01716,0.02416,0.02416
0.02861,0.02924,0.03242,0.02098,0.03878,0.01971,0.02098, 1.000,0.01208,0.005722,0.02797,0.03179,0.04959,0.01208,0.02416,0.04259,0.03115,0.02161,0.008900
0.02543,0.04132,0.03751,0.02289,0.02098,0.03497,0.05976,0.01208, 1.000,0.02606,0.02161,0.02924,0.02606,0.02416,0.02670,0.02670,0.05086,0.02734,0.03560
0.01017,0.02416,0.02352,0.02797,0.03179,0.04069,0.02161,0.005722,0.02606, 1.000,0.1240,0.02988,0.03433,0.01971,0.02479,0.03115,0.02543,0.05149,0.02479
0.02606,0.01335,0.02416,0.01399,0.02797,0.03115,0.01526,0.02797,0.02161,0.1240, 1.000,0.03306,0.04768,0.03624,0.02734,0.05976,0.03560,0.03624,0.01780
0.02416,0.02034,0.03878,0.03751,0.03687,0.02543,0.01716,0.03179,0.02924,0.02988,0.03306, 1.000,0.02861,0.01780,0.02734,0.02098,0.03306,0.01907,0.02352
0.02924,0.02098,0.005722,0.02034,0.03497,0.02797,0.01716,0.04959,0.02606,0.03433,0.04768,0.02861, 1.000,0.01907,0.03369,0.03051,0.02606,0.03306,0.02289
0.02225,0.01653,0.03179,0.02861,0.01335,0.02034,0.02161,0.01208,0.02416,0.01971,0.03624,0.01780,0.01907, 1.000,0.04259,0.02161,0.02988,0.03878,0.01017
0.03179,0.04641,0.04959,0.01462,0.03497,0.04005,0.04450,0.02416,0.02670,0.02479,0.02734,0.02734,0.03369,0.04259, 1.000,0.01971,0.01017,0.02988,0.01907
0.03306,0.03560,0.03560,0.03051,0.03433,0.02289,0.02161,0.04259,0.02670,0.03115,0.05976,0.02098,0.03051,0.02161,0.01971, 1.000,0.05086,0.02670,0.03814
0.03115,0.03369,0.03751,0.04450,0.04387,0.02861,0.01716,0.03115,0.05086,0.02543,0.03560,0.03306,0.02606,0.02988,0.01017,0.05086, 1.000,0.01780,0.04450
0.006357,0.03433,0.02797,0.01716,0.02479,0.04259,0.02416,0.02161,0.02734,0.05149,0.03624,0.01907,0.03306,0.03878,0.02988,0.02670,0.01780, 1.000,0.01335
0.02988,0.03051,0.01271,0.02034,0.04959,0.02352,0.02416,0.008900,0.03560,0.02479,0.01780,0.02352,0.02289,0.01017,0.01907,0.03814,0.04450,0.01335, 1.000
