Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04303,0.03998,0.1555,0.1007,0.02740,0.02476,0.02618,0.03917,0.02699,0.02273,0.02436,0.04587,0.03836,0.03146,0.06880,0.04546,0.04201,0.09154
0.04303, 1.000,0.02882,0.03877,0.03877,0.1697,0.1153,0.02598,0.02841,0.03998,0.03613,0.03166,0.03775,0.09560,0.09133,0.04039,0.03552,0.06738,0.04607
0.03998,0.02882, 1.000,0.02841,0.01766,0.02699,0.03532,0.06231,0.03187,0.02557,0.02862,0.02131,0.01908,0.03288,0.05074,0.04587,0.02111,0.02618,0.02720
0.1555,0.03877,0.02841, 1.000,0.1459,0.02902,0.02740,0.02395,0.07063,0.02476,0.02496,0.03958,0.03958,0.03207,0.02659,0.07246,0.06738,0.04080,0.09215
0.1007,0.03877,0.01766,0.1459, 1.000,0.03856,0.03126,0.02740,0.04384,0.02679,0.02273,0.03471,0.05703,0.04039,0.02841,0.05927,0.06008,0.04404,0.1043
0.02740,0.1697,0.02699,0.02902,0.03856, 1.000,0.1055,0.03816,0.02436,0.05866,0.05581,0.02902,0.04912,0.09438,0.05906,0.03065,0.03694,0.08951,0.04019
0.02476,0.1153,0.03532,0.02740,0.03126,0.1055, 1.000,0.02496,0.03532,0.02902,0.06008,0.1080,0.03268,0.1228,0.1009,0.03369,0.02314,0.05176,0.03836
0.02618,0.02598,0.06231,0.02395,0.02740,0.03816,0.02496, 1.000,0.02801,0.03268,0.05886,0.03349,0.09316,0.05561,0.02598,0.02841,0.02436,0.03410,0.01786
0.03917,0.02841,0.03187,0.07063,0.04384,0.02436,0.03532,0.02801, 1.000,0.02902,0.02151,0.06779,0.03004,0.04039,0.03532,0.04546,0.06089,0.02436,0.06251
0.02699,0.03998,0.02557,0.02476,0.02679,0.05866,0.02902,0.03268,0.02902, 1.000,0.06414,0.02557,0.03430,0.02923,0.03389,0.02902,0.03572,0.05358,0.03268
0.02273,0.03613,0.02862,0.02496,0.02273,0.05581,0.06008,0.05886,0.02151,0.06414, 1.000,0.07449,0.05541,0.05155,0.03471,0.03085,0.02111,0.05805,0.02172
0.02436,0.03166,0.02131,0.03958,0.03471,0.02902,0.1080,0.03349,0.06779,0.02557,0.07449, 1.000,0.03795,0.06596,0.03755,0.04364,0.06048,0.02862,0.03349
0.04587,0.03775,0.01908,0.03958,0.05703,0.04912,0.03268,0.09316,0.03004,0.03430,0.05541,0.03795, 1.000,0.08403,0.02923,0.02537,0.02963,0.09397,0.02902
0.03836,0.09560,0.03288,0.03207,0.04039,0.09438,0.1228,0.05561,0.04039,0.02923,0.05155,0.06596,0.08403, 1.000,0.07510,0.03430,0.03856,0.07672,0.03653
0.03146,0.09133,0.05074,0.02659,0.02841,0.05906,0.1009,0.02598,0.03532,0.03389,0.03471,0.03755,0.02923,0.07510, 1.000,0.04526,0.02821,0.02841,0.03227
0.06880,0.04039,0.04587,0.07246,0.05927,0.03065,0.03369,0.02841,0.04546,0.02902,0.03085,0.04364,0.02537,0.03430,0.04526, 1.000,0.1047,0.02192,0.09194
0.04546,0.03552,0.02111,0.06738,0.06008,0.03694,0.02314,0.02436,0.06089,0.03572,0.02111,0.06048,0.02963,0.03856,0.02821,0.1047, 1.000,0.03187,0.07753
0.04201,0.06738,0.02618,0.04080,0.04404,0.08951,0.05176,0.03410,0.02436,0.05358,0.05805,0.02862,0.09397,0.07672,0.02841,0.02192,0.03187, 1.000,0.05236
0.09154,0.04607,0.02720,0.09215,0.1043,0.04019,0.03836,0.01786,0.06251,0.03268,0.02172,0.03349,0.02902,0.03653,0.03227,0.09194,0.07753,0.05236, 1.000
