Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3042,0.2401,0.2808,0.1552,0.1158,0.05603,0.03756,0.03140,0.04126,0.07697,0.03387,0.02709,0.06281,0.1312,0.1933,0.1398,0.07143,0.2248
0.3042, 1.000,0.1010,0.1090,0.1509,0.2586,0.1108,0.02525,0.03325,0.04988,0.05603,0.03387,0.05172,0.1195,0.1804,0.1232,0.09236,0.1176,0.1681
0.2401,0.1010, 1.000,0.1804,0.05357,0.04310,0.04002,0.06773,0.03079,0.04926,0.07697,0.02894,0.03079,0.04310,0.1164,0.1970,0.1034,0.03695,0.1071
0.2808,0.1090,0.1804, 1.000,0.1595,0.08744,0.04249,0.02833,0.02525,0.02463,0.04741,0.04926,0.03264,0.05665,0.07204,0.1164,0.1601,0.07759,0.2297
0.1552,0.1509,0.05357,0.1595, 1.000,0.2826,0.04557,0.04002,0.03079,0.03448,0.03387,0.04988,0.05973,0.07635,0.07143,0.07081,0.1188,0.1232,0.1933
0.1158,0.2586,0.04310,0.08744,0.2826, 1.000,0.08436,0.02894,0.02340,0.03387,0.02155,0.02217,0.09544,0.1287,0.1084,0.06897,0.06773,0.2014,0.1447
0.05603,0.1108,0.04002,0.04249,0.04557,0.08436, 1.000,0.04803,0.03879,0.07328,0.02771,0.06096,0.05788,0.1817,0.1675,0.06773,0.03079,0.09421,0.06773
0.03756,0.02525,0.06773,0.02833,0.04002,0.02894,0.04803, 1.000,0.01539,0.1034,0.07143,0.02586,0.04557,0.02586,0.04618,0.05542,0.03695,0.02771,0.03387
0.03140,0.03325,0.03079,0.02525,0.03079,0.02340,0.03879,0.01539, 1.000,0.02586,0.02709,0.04495,0.03079,0.03202,0.02463,0.02525,0.05973,0.01847,0.02094
0.04126,0.04988,0.04926,0.02463,0.03448,0.03387,0.07328,0.1034,0.02586, 1.000,0.04495,0.03510,0.03510,0.03633,0.05357,0.04926,0.03756,0.02709,0.03264
0.07697,0.05603,0.07697,0.04741,0.03387,0.02155,0.02771,0.07143,0.02709,0.04495, 1.000,0.02155,0.02709,0.02771,0.03571,0.1010,0.07389,0.02771,0.04865
0.03387,0.03387,0.02894,0.04926,0.04988,0.02217,0.06096,0.02586,0.04495,0.03510,0.02155, 1.000,0.02771,0.04495,0.02278,0.02340,0.08990,0.02032,0.02586
0.02709,0.05172,0.03079,0.03264,0.05973,0.09544,0.05788,0.04557,0.03079,0.03510,0.02709,0.02771, 1.000,0.1515,0.04865,0.02894,0.02833,0.1952,0.05296
0.06281,0.1195,0.04310,0.05665,0.07635,0.1287,0.1817,0.02586,0.03202,0.03633,0.02771,0.04495,0.1515, 1.000,0.1287,0.04557,0.03633,0.2808,0.08005
0.1312,0.1804,0.1164,0.07204,0.07143,0.1084,0.1675,0.04618,0.02463,0.05357,0.03571,0.02278,0.04865,0.1287, 1.000,0.1312,0.05049,0.1034,0.1675
0.1933,0.1232,0.1970,0.1164,0.07081,0.06897,0.06773,0.05542,0.02525,0.04926,0.1010,0.02340,0.02894,0.04557,0.1312, 1.000,0.1564,0.05049,0.1570
0.1398,0.09236,0.1034,0.1601,0.1188,0.06773,0.03079,0.03695,0.05973,0.03756,0.07389,0.08990,0.02833,0.03633,0.05049,0.1564, 1.000,0.04803,0.1139
0.07143,0.1176,0.03695,0.07759,0.1232,0.2014,0.09421,0.02771,0.01847,0.02709,0.02771,0.02032,0.1952,0.2808,0.1034,0.05049,0.04803, 1.000,0.1342
0.2248,0.1681,0.1071,0.2297,0.1933,0.1447,0.06773,0.03387,0.02094,0.03264,0.04865,0.02586,0.05296,0.08005,0.1675,0.1570,0.1139,0.1342, 1.000
