Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09247,0.05376,0.09462,0.08817,0.03226,0.1204,0.01075,0.02151,0.01075,0.05376,0.02366,0.03871,0.06667,0.06022,0.03871,0.02796,0.09677,0.07742
0.09247, 1.000,0.03226,0.06452,0.06452,0.2065,0.1484,0.01935,0.04516,0.01075,0.06237,0.01075,0.06022,0.07957,0.04946,0.07742,0.04946,0.04731,0.02796
0.05376,0.03226, 1.000,0.03441,0.002151,0.03871,0.03441,0.03441,0.02366,0.002151,0.01290,0.02366,0.03226,0.03871,0.04516,0.02581,0.01075,0.04516,0.004301
0.09462,0.06452,0.03441, 1.000,0.1591,0.05591,0.07527,0.02796,0.06452,0.02581,0.07312,0.01290,0.03441,0.03226,0.01935,0.04086,0.06452,0.09677,0.1290
0.08817,0.06452,0.002151,0.1591, 1.000,0.07957,0.09892,0.03011,0.06452,0.03011,0.05376,0.006452,0.09462,0.02581,0.04516,0.04516,0.02796,0.08387,0.2065
0.03226,0.2065,0.03871,0.05591,0.07957, 1.000,0.1204,0.04516,0.05161,0.02151,0.05806,0.006452,0.1376,0.03656,0.01720,0.04516,0.06022,0.03656,0.09462
0.1204,0.1484,0.03441,0.07527,0.09892,0.1204, 1.000,0.05806,0.1505,0.03011,0.2194,0.06237,0.03871,0.01290,0.06452,0.04086,0.07527,0.09677,0.1054
0.01075,0.01935,0.03441,0.02796,0.03011,0.04516,0.05806, 1.000,0.03441,0.05161,0.02796,0.02581,0.04301,0.02151,0.01935,0.01075,0.01720,0.01720, 0.000
0.02151,0.04516,0.02366,0.06452,0.06452,0.05161,0.1505,0.03441, 1.000,0.05591,0.06022,0.02581,0.03441,0.006452,0.04516,0.01075,0.08602,0.04086,0.08172
0.01075,0.01075,0.002151,0.02581,0.03011,0.02151,0.03011,0.05161,0.05591, 1.000,0.06022,0.008602,0.05161,0.04731,0.01720,0.02796,0.006452,0.01290,0.03441
0.05376,0.06237,0.01290,0.07312,0.05376,0.05806,0.2194,0.02796,0.06022,0.06022, 1.000,0.02581,0.01935,0.01935,0.04731,0.04731,0.02366,0.1054,0.04516
0.02366,0.01075,0.02366,0.01290,0.006452,0.006452,0.06237,0.02581,0.02581,0.008602,0.02581, 1.000,0.01290,0.01505,0.02151,0.03871,0.03871,0.01290,0.01505
0.03871,0.06022,0.03226,0.03441,0.09462,0.1376,0.03871,0.04301,0.03441,0.05161,0.01935,0.01290, 1.000,0.04086,0.01720,0.02796,0.05806,0.07312,0.07097
0.06667,0.07957,0.03871,0.03226,0.02581,0.03656,0.01290,0.02151,0.006452,0.04731,0.01935,0.01505,0.04086, 1.000,0.05591,0.03011,0.01720,0.01290,0.02366
0.06022,0.04946,0.04516,0.01935,0.04516,0.01720,0.06452,0.01935,0.04516,0.01720,0.04731,0.02151,0.01720,0.05591, 1.000,0.04301,0.01720,0.03441,0.02581
0.03871,0.07742,0.02581,0.04086,0.04516,0.04516,0.04086,0.01075,0.01075,0.02796,0.04731,0.03871,0.02796,0.03011,0.04301, 1.000,0.03441,0.01720,0.05161
0.02796,0.04946,0.01075,0.06452,0.02796,0.06022,0.07527,0.01720,0.08602,0.006452,0.02366,0.03871,0.05806,0.01720,0.01720,0.03441, 1.000,0.03441,0.07097
0.09677,0.04731,0.04516,0.09677,0.08387,0.03656,0.09677,0.01720,0.04086,0.01290,0.1054,0.01290,0.07312,0.01290,0.03441,0.01720,0.03441, 1.000,0.07527
0.07742,0.02796,0.004301,0.1290,0.2065,0.09462,0.1054, 0.000,0.08172,0.03441,0.04516,0.01505,0.07097,0.02366,0.02581,0.05161,0.07097,0.07527, 1.000
