Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2260,0.03930,0.09333,0.06807,0.04561,0.02947,0.02807,0.02877,0.02667,0.02105,0.02526,0.04912,0.08842,0.08140,0.04772,0.02035,0.07509,0.06105
0.2260, 1.000,0.03368,0.08561,0.1032,0.07228,0.03158,0.03088,0.02316,0.02737,0.02316,0.02316,0.03228,0.06386,0.07509,0.08211,0.04140,0.08491,0.1095
0.03930,0.03368, 1.000,0.03789,0.02316,0.01684,0.02807,0.04491,0.03298,0.02175,0.03439,0.03088,0.02807,0.02947,0.06807,0.04000,0.01895,0.05474,0.02596
0.09333,0.08561,0.03789, 1.000,0.1039,0.04070,0.02175,0.02667,0.02175,0.03228,0.02105,0.03509,0.04421,0.05895,0.1186,0.06807,0.03579,0.08281,0.06737
0.06807,0.1032,0.02316,0.1039, 1.000,0.1691,0.02596,0.04000,0.01333,0.03579,0.02246,0.02667,0.07860,0.08421,0.06035,0.06105,0.04351,0.06667,0.1011
0.04561,0.07228,0.01684,0.04070,0.1691, 1.000,0.03018,0.02667,0.01614,0.02386,0.02456,0.02035,0.05544,0.06035,0.05754,0.05263,0.03649,0.05965,0.09895
0.02947,0.03158,0.02807,0.02175,0.02596,0.03018, 1.000,0.03298,0.04140,0.03298,0.03930,0.06737,0.02316,0.05123,0.02526,0.02807,0.02667,0.03368,0.03018
0.02807,0.03088,0.04491,0.02667,0.04000,0.02667,0.03298, 1.000,0.03930,0.01825,0.04421,0.01825,0.06877,0.04140,0.02316,0.02667,0.02035,0.03018,0.02526
0.02877,0.02316,0.03298,0.02175,0.01333,0.01614,0.04140,0.03930, 1.000,0.04351,0.03298,0.03649,0.03158,0.03228,0.02947,0.02175,0.03719,0.01474,0.02596
0.02667,0.02737,0.02175,0.03228,0.03579,0.02386,0.03298,0.01825,0.04351, 1.000,0.03439,0.03298,0.03158,0.01754,0.01895,0.03368,0.04351,0.02596,0.02667
0.02105,0.02316,0.03439,0.02105,0.02246,0.02456,0.03930,0.04421,0.03298,0.03439, 1.000,0.03298,0.03439,0.03509,0.02877,0.03368,0.01965,0.01965,0.02386
0.02526,0.02316,0.03088,0.03509,0.02667,0.02035,0.06737,0.01825,0.03649,0.03298,0.03298, 1.000,0.01965,0.02035,0.01825,0.03509,0.04281,0.03158,0.01895
0.04912,0.03228,0.02807,0.04421,0.07860,0.05544,0.02316,0.06877,0.03158,0.03158,0.03439,0.01965, 1.000,0.09825,0.02667,0.02877,0.02596,0.05754,0.02246
0.08842,0.06386,0.02947,0.05895,0.08421,0.06035,0.05123,0.04140,0.03228,0.01754,0.03509,0.02035,0.09825, 1.000,0.06667,0.04351,0.02807,0.07930,0.03439
0.08140,0.07509,0.06807,0.1186,0.06035,0.05754,0.02526,0.02316,0.02947,0.01895,0.02877,0.01825,0.02667,0.06667, 1.000,0.07228,0.02596,0.06456,0.05544
0.04772,0.08211,0.04000,0.06807,0.06105,0.05263,0.02807,0.02667,0.02175,0.03368,0.03368,0.03509,0.02877,0.04351,0.07228, 1.000,0.07298,0.05544,0.1018
0.02035,0.04140,0.01895,0.03579,0.04351,0.03649,0.02667,0.02035,0.03719,0.04351,0.01965,0.04281,0.02596,0.02807,0.02596,0.07298, 1.000,0.03649,0.05404
0.07509,0.08491,0.05474,0.08281,0.06667,0.05965,0.03368,0.03018,0.01474,0.02596,0.01965,0.03158,0.05754,0.07930,0.06456,0.05544,0.03649, 1.000,0.1586
0.06105,0.1095,0.02596,0.06737,0.1011,0.09895,0.03018,0.02526,0.02596,0.02667,0.02386,0.01895,0.02246,0.03439,0.05544,0.1018,0.05404,0.1586, 1.000
