Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09250,0.06750,0.1775,0.08917,0.01833,0.02000,0.05917,0.03583,0.02500,0.02667,0.01500,0.03667,0.04583,0.08833,0.09583,0.05667,0.03833,0.05750
0.09250, 1.000,0.02583,0.05667,0.05167,0.1242,0.1408,0.03667,0.02667,0.04333,0.04000,0.03083,0.06250,0.09833,0.1175,0.04333,0.04000,0.08167,0.07750
0.06750,0.02583, 1.000,0.02917,0.05000,0.01000,0.02000,0.2200,0.02500,0.02750,0.06333,0.02500,0.02917,0.02000,0.04917,0.1108,0.04750,0.01750,0.02583
0.1775,0.05667,0.02917, 1.000,0.1658,0.05167,0.02667,0.01917,0.04500,0.04333,0.03000,0.02333,0.04750,0.02917,0.04833,0.05750,0.07667,0.08167,0.09000
0.08917,0.05167,0.05000,0.1658, 1.000,0.1017,0.01083,0.03917,0.04917,0.08833,0.04667,0.02917,0.07417,0.04167,0.04417,0.03083,0.08583,0.09333,0.1058
0.01833,0.1242,0.01000,0.05167,0.1017, 1.000,0.04583,0.03167,0.03667,0.04167,0.05500,0.02833,0.09333,0.05833,0.03583,0.02750,0.03583,0.1383,0.1158
0.02000,0.1408,0.02000,0.02667,0.01083,0.04583, 1.000,0.02750,0.05167,0.03083,0.02583,0.1175,0.04917,0.08750,0.05250,0.02583,0.04750,0.06167,0.04250
0.05917,0.03667,0.2200,0.01917,0.03917,0.03167,0.02750, 1.000,0.02583,0.04000,0.07417,0.01667,0.06167,0.02833,0.02500,0.08667,0.05083,0.01917,0.02500
0.03583,0.02667,0.02500,0.04500,0.04917,0.03667,0.05167,0.02583, 1.000,0.04750,0.01250,0.09333,0.03417,0.03417,0.03167,0.02333,0.07667,0.03167,0.02917
0.02500,0.04333,0.02750,0.04333,0.08833,0.04167,0.03083,0.04000,0.04750, 1.000,0.06250,0.03667,0.03667,0.02000,0.03833,0.03250,0.04583,0.04333,0.07083
0.02667,0.04000,0.06333,0.03000,0.04667,0.05500,0.02583,0.07417,0.01250,0.06250, 1.000,0.02917,0.08500,0.03500,0.03667,0.03833,0.05000,0.05667,0.05000
0.01500,0.03083,0.02500,0.02333,0.02917,0.02833,0.1175,0.01667,0.09333,0.03667,0.02917, 1.000,0.04083,0.05417,0.03000,0.03000,0.07333,0.03167,0.04333
0.03667,0.06250,0.02917,0.04750,0.07417,0.09333,0.04917,0.06167,0.03417,0.03667,0.08500,0.04083, 1.000,0.07167,0.02083,0.01417,0.03167,0.06583,0.03667
0.04583,0.09833,0.02000,0.02917,0.04167,0.05833,0.08750,0.02833,0.03417,0.02000,0.03500,0.05417,0.07167, 1.000,0.08083,0.01833,0.04000,0.06833,0.04750
0.08833,0.1175,0.04917,0.04833,0.04417,0.03583,0.05250,0.02500,0.03167,0.03833,0.03667,0.03000,0.02083,0.08083, 1.000,0.06583,0.03750,0.05000,0.05083
0.09583,0.04333,0.1108,0.05750,0.03083,0.02750,0.02583,0.08667,0.02333,0.03250,0.03833,0.03000,0.01417,0.01833,0.06583, 1.000,0.06583,0.03917,0.04917
0.05667,0.04000,0.04750,0.07667,0.08583,0.03583,0.04750,0.05083,0.07667,0.04583,0.05000,0.07333,0.03167,0.04000,0.03750,0.06583, 1.000,0.05500,0.1200
0.03833,0.08167,0.01750,0.08167,0.09333,0.1383,0.06167,0.01917,0.03167,0.04333,0.05667,0.03167,0.06583,0.06833,0.05000,0.03917,0.05500, 1.000,0.1800
0.05750,0.07750,0.02583,0.09000,0.1058,0.1158,0.04250,0.02500,0.02917,0.07083,0.05000,0.04333,0.03667,0.04750,0.05083,0.04917,0.1200,0.1800, 1.000
