Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1465,0.09577,0.1352,0.03662,0.01690,0.05915,0.05915,0.01690,0.002817,0.03099,0.01408,0.05352,0.09577,0.2310,0.1606,0.05915,0.03662,0.06479
0.1465, 1.000,0.04507,0.03662,0.02535,0.1324,0.2169,0.04789,0.03662,0.05915,0.02817,0.03099,0.03099,0.09859,0.1268,0.09577,0.09296,0.01972,0.04225
0.09577,0.04507, 1.000,0.03662,0.04225,0.05070,0.02535,0.1521,0.005634,0.03380,0.03380,0.01972,0.02817,0.03944,0.1296,0.09296,0.05634,0.01127,0.04225
0.1352,0.03662,0.03662, 1.000,0.1042,0.01972,0.04225,0.008451,0.08732,0.02254,0.01408,0.08169,0.02535,0.04507,0.05070,0.07606,0.05915,0.03099,0.06197
0.03662,0.02535,0.04225,0.1042, 1.000,0.09577,0.05352,0.005634,0.04507,0.03662,0.02535,0.03099,0.1099,0.06479,0.05070,0.01690,0.1352,0.1437,0.1099
0.01690,0.1324,0.05070,0.01972,0.09577, 1.000,0.09014,0.04507,0.04507,0.05915,0.01408,0.005634,0.06197,0.08732,0.02535,0.04225,0.1099,0.09859,0.03662
0.05915,0.2169,0.02535,0.04225,0.05352,0.09014, 1.000,0.02254,0.09014,0.02535,0.01972,0.1155,0.05070,0.06761,0.06479,0.08451,0.02817,0.02535,0.04789
0.05915,0.04789,0.1521,0.008451,0.005634,0.04507,0.02254, 1.000,0.01127,0.01408,0.1070, 0.000,0.05070,0.03662,0.07324,0.05070,0.01408,0.02535,0.04507
0.01690,0.03662,0.005634,0.08732,0.04507,0.04507,0.09014,0.01127, 1.000,0.03662,0.01408,0.05352,0.02535,0.09014,0.04225,0.02535,0.09296,0.02535,0.03662
0.002817,0.05915,0.03380,0.02254,0.03662,0.05915,0.02535,0.01408,0.03662, 1.000,0.04789,0.05070,0.008451,0.01408,0.05352,0.01408,0.03944,0.05070,0.04789
0.03099,0.02817,0.03380,0.01408,0.02535,0.01408,0.01972,0.1070,0.01408,0.04789, 1.000,0.008451,0.03944,0.002817,0.008451,0.01127,0.01408,0.03099,0.03662
0.01408,0.03099,0.01972,0.08169,0.03099,0.005634,0.1155, 0.000,0.05352,0.05070,0.008451, 1.000,0.03099,0.05070,0.04225,0.005634,0.04789,0.05634,0.01127
0.05352,0.03099,0.02817,0.02535,0.1099,0.06197,0.05070,0.05070,0.02535,0.008451,0.03944,0.03099, 1.000,0.05070,0.03380,0.02254,0.05634,0.1408,0.06761
0.09577,0.09859,0.03944,0.04507,0.06479,0.08732,0.06761,0.03662,0.09014,0.01408,0.002817,0.05070,0.05070, 1.000,0.08732,0.05915,0.03380,0.07887,0.01972
0.2310,0.1268,0.1296,0.05070,0.05070,0.02535,0.06479,0.07324,0.04225,0.05352,0.008451,0.04225,0.03380,0.08732, 1.000,0.1718,0.07042,0.04789,0.1042
0.1606,0.09577,0.09296,0.07606,0.01690,0.04225,0.08451,0.05070,0.02535,0.01408,0.01127,0.005634,0.02254,0.05915,0.1718, 1.000,0.07606,0.002817,0.07606
0.05915,0.09296,0.05634,0.05915,0.1352,0.1099,0.02817,0.01408,0.09296,0.03944,0.01408,0.04789,0.05634,0.03380,0.07042,0.07606, 1.000,0.05352,0.05634
0.03662,0.01972,0.01127,0.03099,0.1437,0.09859,0.02535,0.02535,0.02535,0.05070,0.03099,0.05634,0.1408,0.07887,0.04789,0.002817,0.05352, 1.000,0.1690
0.06479,0.04225,0.04225,0.06197,0.1099,0.03662,0.04789,0.04507,0.03662,0.04789,0.03662,0.01127,0.06761,0.01972,0.1042,0.07606,0.05634,0.1690, 1.000
