Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.07339,0.01623,0.02470,0.04517,0.03952,0.03176,0.01129,0.04446,0.02470,0.03105,0.02964,0.04940,0.03458,0.03740,0.06281,0.02823,0.05787,0.02117
0.07339, 1.000,0.03035,0.01905,0.02682,0.05716,0.03599,0.01411,0.02047,0.01976,0.01694,0.04658,0.03740,0.03529,0.03740,0.04164,0.03811,0.05011,0.04587
0.01623,0.03035, 1.000,0.03458,0.02470,0.02329,0.04375,0.01623,0.03670,0.04093,0.03035,0.01835,0.01976,0.03317,0.08751,0.05081,0.02541,0.02682,0.02258
0.02470,0.01905,0.03458, 1.000,0.03740,0.02752,0.009880,0.02823,0.02823,0.02047,0.03599,0.04023,0.02047,0.01976,0.02329,0.04658,0.04164,0.04023,0.04587
0.04517,0.02682,0.02470,0.03740, 1.000,0.05575,0.01482,0.02682,0.03599,0.01482,0.02541,0.04164,0.04517,0.02188,0.02682,0.04869,0.03811,0.03317,0.06775
0.03952,0.05716,0.02329,0.02752,0.05575, 1.000,0.03881,0.02047,0.02329,0.03881,0.01341,0.03458,0.02117,0.03599,0.03458,0.03670,0.05434,0.04375,0.04023
0.03176,0.03599,0.04375,0.009880,0.01482,0.03881, 1.000,0.01623,0.03105,0.04940,0.02893,0.04799,0.01411,0.03246,0.02470,0.02752,0.01976,0.02117,0.009880
0.01129,0.01411,0.01623,0.02823,0.02682,0.02047,0.01623, 1.000,0.02188,0.02047,0.03176,0.02117,0.02399,0.02470,0.03246,0.02399,0.01553,0.02117,0.02964
0.04446,0.02047,0.03670,0.02823,0.03599,0.02329,0.03105,0.02188, 1.000,0.02188,0.009174,0.02188,0.02611,0.02047,0.02258,0.02964,0.05011,0.02541,0.03035
0.02470,0.01976,0.04093,0.02047,0.01482,0.03881,0.04940,0.02047,0.02188, 1.000,0.03105,0.03317,0.04093,0.02893,0.01623,0.01553,0.03740,0.02823,0.02682
0.03105,0.01694,0.03035,0.03599,0.02541,0.01341,0.02893,0.03176,0.009174,0.03105, 1.000,0.02893,0.03176,0.03246,0.02893,0.02188,0.02611,0.02470,0.01270
0.02964,0.04658,0.01835,0.04023,0.04164,0.03458,0.04799,0.02117,0.02188,0.03317,0.02893, 1.000,0.01764,0.02752,0.01129,0.01764,0.06563,0.02399,0.02258
0.04940,0.03740,0.01976,0.02047,0.04517,0.02117,0.01411,0.02399,0.02611,0.04093,0.03176,0.01764, 1.000,0.04446,0.02611,0.03176,0.02399,0.04728,0.03670
0.03458,0.03529,0.03317,0.01976,0.02188,0.03599,0.03246,0.02470,0.02047,0.02893,0.03246,0.02752,0.04446, 1.000,0.05646,0.01553,0.01553,0.06281,0.02329
0.03740,0.03740,0.08751,0.02329,0.02682,0.03458,0.02470,0.03246,0.02258,0.01623,0.02893,0.01129,0.02611,0.05646, 1.000,0.02117,0.02188,0.03317,0.04093
0.06281,0.04164,0.05081,0.04658,0.04869,0.03670,0.02752,0.02399,0.02964,0.01553,0.02188,0.01764,0.03176,0.01553,0.02117, 1.000,0.04658,0.02823,0.03952
0.02823,0.03811,0.02541,0.04164,0.03811,0.05434,0.01976,0.01553,0.05011,0.03740,0.02611,0.06563,0.02399,0.01553,0.02188,0.04658, 1.000,0.02329,0.05434
0.05787,0.05011,0.02682,0.04023,0.03317,0.04375,0.02117,0.02117,0.02541,0.02823,0.02470,0.02399,0.04728,0.06281,0.03317,0.02823,0.02329, 1.000,0.04869
0.02117,0.04587,0.02258,0.04587,0.06775,0.04023,0.009880,0.02964,0.03035,0.02682,0.01270,0.02258,0.03670,0.02329,0.04093,0.03952,0.05434,0.04869, 1.000
