Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04209,0.1219,0.04790,0.02032,0.02903,0.06241,0.06096,0.02032,0.01451,0.03628,0.02903,0.03774,0.05080,0.09579,0.09579,0.01597,0.05515,0.02903
0.04209, 1.000,0.04790,0.09579,0.07112,0.04064,0.06096,0.03483,0.02032,0.01306,0.02322,0.04499,0.03919,0.04935,0.03338,0.06531,0.02177,0.06386,0.07112
0.1219,0.04790, 1.000,0.1045,0.07983,0.01451,0.05080,0.1916,0.04935,0.01306,0.04935,0.03048,0.01016,0.03483,0.09724,0.1350,0.04499,0.03628,0.03774
0.04790,0.09579,0.1045, 1.000,0.2061,0.02903,0.03774,0.05951,0.07547,0.03628,0.03774,0.03774,0.01161,0.02612,0.03193,0.05806,0.05515,0.05806,0.05660
0.02032,0.07112,0.07983,0.2061, 1.000,0.04644,0.02758,0.03193,0.07837,0.05080,0.03048,0.03628,0.01597,0.03048,0.02177,0.03483,0.05515,0.03919,0.09434
0.02903,0.04064,0.01451,0.02903,0.04644, 1.000,0.1045,0.01161,0.02177,0.05370,0.04499,0.04064,0.07402,0.06821,0.04064,0.02758,0.02467,0.05080,0.07402
0.06241,0.06096,0.05080,0.03774,0.02758,0.1045, 1.000,0.02903,0.03338,0.02032,0.01597,0.09724,0.04209,0.1422,0.07692,0.04064,0.01451,0.04209,0.02903
0.06096,0.03483,0.1916,0.05951,0.03193,0.01161,0.02903, 1.000,0.06386,0.03338,0.08999,0.02322,0.03919,0.03048,0.07402,0.07402,0.04354,0.005806,0.01742
0.02032,0.02032,0.04935,0.07547,0.07837,0.02177,0.03338,0.06386, 1.000,0.04209,0.02177,0.08853,0.01887,0.08273,0.03048,0.02758,0.07692,0.03193,0.06241
0.01451,0.01306,0.01306,0.03628,0.05080,0.05370,0.02032,0.03338,0.04209, 1.000,0.06531,0.03193,0.03919,0.04354,0.04644,0.02612,0.04499,0.01306,0.03193
0.03628,0.02322,0.04935,0.03774,0.03048,0.04499,0.01597,0.08999,0.02177,0.06531, 1.000,0.03193,0.03774,0.01016,0.03048,0.04499,0.01597,0.02903,0.02758
0.02903,0.04499,0.03048,0.03774,0.03628,0.04064,0.09724,0.02322,0.08853,0.03193,0.03193, 1.000,0.04790,0.06821,0.06241,0.02322,0.01742,0.01306,0.01742
0.03774,0.03919,0.01016,0.01161,0.01597,0.07402,0.04209,0.03919,0.01887,0.03919,0.03774,0.04790, 1.000,0.08273,0.01161,0.01597,0.01742,0.07983,0.02032
0.05080,0.04935,0.03483,0.02612,0.03048,0.06821,0.1422,0.03048,0.08273,0.04354,0.01016,0.06821,0.08273, 1.000,0.04644,0.03774,0.04790,0.06531,0.03048
0.09579,0.03338,0.09724,0.03193,0.02177,0.04064,0.07692,0.07402,0.03048,0.04644,0.03048,0.06241,0.01161,0.04644, 1.000,0.1045,0.02032,0.007257,0.02177
0.09579,0.06531,0.1350,0.05806,0.03483,0.02758,0.04064,0.07402,0.02758,0.02612,0.04499,0.02322,0.01597,0.03774,0.1045, 1.000,0.03338,0.01161,0.01887
0.01597,0.02177,0.04499,0.05515,0.05515,0.02467,0.01451,0.04354,0.07692,0.04499,0.01597,0.01742,0.01742,0.04790,0.02032,0.03338, 1.000,0.01306,0.1060
0.05515,0.06386,0.03628,0.05806,0.03919,0.05080,0.04209,0.005806,0.03193,0.01306,0.02903,0.01306,0.07983,0.06531,0.007257,0.01161,0.01306, 1.000,0.04644
0.02903,0.07112,0.03774,0.05660,0.09434,0.07402,0.02903,0.01742,0.06241,0.03193,0.02758,0.01742,0.02032,0.03048,0.02177,0.01887,0.1060,0.04644, 1.000
