Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06834,0.05216,0.1588,0.08617,0.03632,0.03731,0.02146,0.02311,0.02905,0.03797,0.03334,0.03665,0.02839,0.03995,0.08121,0.03334,0.03500,0.05645
0.06834, 1.000,0.06108,0.03797,0.03797,0.08188,0.07560,0.03136,0.01717,0.02773,0.02608,0.01882,0.01651,0.05943,0.1278,0.09970,0.04754,0.02872,0.06009
0.05216,0.06108, 1.000,0.04490,0.02806,0.03070,0.03400,0.08584,0.03698,0.03268,0.04754,0.03103,0.03533,0.02608,0.08518,0.06504,0.02344,0.01816,0.03830
0.1588,0.03797,0.04490, 1.000,0.1261,0.03500,0.02212,0.02938,0.08254,0.02641,0.02278,0.04226,0.05018,0.03599,0.02740,0.07164,0.05877,0.06009,0.05579
0.08617,0.03797,0.02806,0.1261, 1.000,0.08683,0.01948,0.05018,0.04754,0.01981,0.01750,0.01288,0.07692,0.05117,0.02278,0.05315,0.04094,0.06174,0.09805
0.03632,0.08188,0.03070,0.03500,0.08683, 1.000,0.03698,0.03599,0.02476,0.03698,0.03665,0.02377,0.05018,0.08022,0.04160,0.05414,0.05348,0.09079,0.07857
0.03731,0.07560,0.03400,0.02212,0.01948,0.03698, 1.000,0.02410,0.01882,0.04820,0.02608,0.04061,0.01486,0.06372,0.04193,0.05117,0.02410,0.02410,0.06306
0.02146,0.03136,0.08584,0.02938,0.05018,0.03599,0.02410, 1.000,0.02509,0.01882,0.03367,0.03004,0.09112,0.02542,0.04589,0.02377,0.01948,0.04094,0.02575
0.02311,0.01717,0.03698,0.08254,0.04754,0.02476,0.01882,0.02509, 1.000,0.05084,0.02113,0.03830,0.03698,0.02608,0.03004,0.02641,0.04853,0.03896,0.03599
0.02905,0.02773,0.03268,0.02641,0.01981,0.03698,0.04820,0.01882,0.05084, 1.000,0.05018,0.02872,0.02476,0.03268,0.02575,0.02410,0.05051,0.04028,0.03863
0.03797,0.02608,0.04754,0.02278,0.01750,0.03665,0.02608,0.03367,0.02113,0.05018, 1.000,0.05447,0.03466,0.02674,0.03103,0.02179,0.02509,0.03533,0.02674
0.03334,0.01882,0.03103,0.04226,0.01288,0.02377,0.04061,0.03004,0.03830,0.02872,0.05447, 1.000,0.01783,0.02476,0.02113,0.04358,0.05315,0.02245,0.02443
0.03665,0.01651,0.03533,0.05018,0.07692,0.05018,0.01486,0.09112,0.03698,0.02476,0.03466,0.01783, 1.000,0.06735,0.02377,0.02146,0.02443,0.1413,0.03433
0.02839,0.05943,0.02608,0.03599,0.05117,0.08022,0.06372,0.02542,0.02608,0.03268,0.02674,0.02476,0.06735, 1.000,0.02971,0.02707,0.03466,0.07560,0.04490
0.03995,0.1278,0.08518,0.02740,0.02278,0.04160,0.04193,0.04589,0.03004,0.02575,0.03103,0.02113,0.02377,0.02971, 1.000,0.06867,0.03929,0.02707,0.03103
0.08121,0.09970,0.06504,0.07164,0.05315,0.05414,0.05117,0.02377,0.02641,0.02410,0.02179,0.04358,0.02146,0.02707,0.06867, 1.000,0.1017,0.02212,0.09640
0.03334,0.04754,0.02344,0.05877,0.04094,0.05348,0.02410,0.01948,0.04853,0.05051,0.02509,0.05315,0.02443,0.03466,0.03929,0.1017, 1.000,0.03962,0.07560
0.03500,0.02872,0.01816,0.06009,0.06174,0.09079,0.02410,0.04094,0.03896,0.04028,0.03533,0.02245,0.1413,0.07560,0.02707,0.02212,0.03962, 1.000,0.07263
0.05645,0.06009,0.03830,0.05579,0.09805,0.07857,0.06306,0.02575,0.03599,0.03863,0.02674,0.02443,0.03433,0.04490,0.03103,0.09640,0.07560,0.07263, 1.000
