Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1381,0.03837,0.1570,0.1535,0.1063,0.04900,0.03365,0.02066,0.02952,0.02656,0.03247,0.05195,0.06494,0.05077,0.06198,0.04073,0.07202,0.05254
0.1381, 1.000,0.03129,0.07025,0.1015,0.1482,0.04309,0.02952,0.02952,0.03896,0.02834,0.02420,0.04545,0.06139,0.06434,0.04782,0.03129,0.04723,0.03660
0.03837,0.03129, 1.000,0.04191,0.01771,0.02597,0.03070,0.04191,0.02715,0.03011,0.03188,0.02538,0.02656,0.02538,0.06021,0.05962,0.03011,0.02007,0.03365
0.1570,0.07025,0.04191, 1.000,0.1411,0.06257,0.03365,0.02125,0.03188,0.02834,0.02125,0.02243,0.03542,0.03129,0.03660,0.08205,0.04486,0.06553,0.09386
0.1535,0.1015,0.01771,0.1411, 1.000,0.1370,0.04782,0.03778,0.02125,0.03129,0.03660,0.02715,0.08442,0.06671,0.03660,0.03837,0.04368,0.08796,0.05372
0.1063,0.1482,0.02597,0.06257,0.1370, 1.000,0.04723,0.03542,0.04014,0.02361,0.03424,0.02774,0.06907,0.09681,0.03365,0.03778,0.04132,0.09386,0.02361
0.04900,0.04309,0.03070,0.03365,0.04782,0.04723, 1.000,0.02952,0.04073,0.05785,0.02066,0.07320,0.02774,0.07556,0.05254,0.03837,0.02479,0.04959,0.03306
0.03365,0.02952,0.04191,0.02125,0.03778,0.03542,0.02952, 1.000,0.06021,0.02952,0.07969,0.04250,0.1157,0.06139,0.01889,0.04368,0.02302,0.01889,0.03542
0.02066,0.02952,0.02715,0.03188,0.02125,0.04014,0.04073,0.06021, 1.000,0.03483,0.02774,0.05549,0.03247,0.05254,0.02066,0.03188,0.06612,0.03188,0.03778
0.02952,0.03896,0.03011,0.02834,0.03129,0.02361,0.05785,0.02952,0.03483, 1.000,0.01299,0.07438,0.02597,0.02597,0.02538,0.02420,0.07733,0.03011,0.03719
0.02656,0.02834,0.03188,0.02125,0.03660,0.03424,0.02066,0.07969,0.02774,0.01299, 1.000,0.04900,0.06494,0.04250,0.02007,0.04132,0.02952,0.03778,0.02893
0.03247,0.02420,0.02538,0.02243,0.02715,0.02774,0.07320,0.04250,0.05549,0.07438,0.04900, 1.000,0.03837,0.05490,0.01712,0.02715,0.1080,0.02893,0.03896
0.05195,0.04545,0.02656,0.03542,0.08442,0.06907,0.02774,0.1157,0.03247,0.02597,0.06494,0.03837, 1.000,0.1299,0.02893,0.02479,0.02184,0.1234,0.03247
0.06494,0.06139,0.02538,0.03129,0.06671,0.09681,0.07556,0.06139,0.05254,0.02597,0.04250,0.05490,0.1299, 1.000,0.04014,0.03188,0.02834,0.1364,0.03011
0.05077,0.06434,0.06021,0.03660,0.03660,0.03365,0.05254,0.01889,0.02066,0.02538,0.02007,0.01712,0.02893,0.04014, 1.000,0.05431,0.01948,0.03306,0.03188
0.06198,0.04782,0.05962,0.08205,0.03837,0.03778,0.03837,0.04368,0.03188,0.02420,0.04132,0.02715,0.02479,0.03188,0.05431, 1.000,0.04014,0.02302,0.1163
0.04073,0.03129,0.03011,0.04486,0.04368,0.04132,0.02479,0.02302,0.06612,0.07733,0.02952,0.1080,0.02184,0.02834,0.01948,0.04014, 1.000,0.02656,0.06375
0.07202,0.04723,0.02007,0.06553,0.08796,0.09386,0.04959,0.01889,0.03188,0.03011,0.03778,0.02893,0.1234,0.1364,0.03306,0.02302,0.02656, 1.000,0.02125
0.05254,0.03660,0.03365,0.09386,0.05372,0.02361,0.03306,0.03542,0.03778,0.03719,0.02893,0.03896,0.03247,0.03011,0.03188,0.1163,0.06375,0.02125, 1.000
