Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.3140,0.1105,0.1390,0.1162,0.04103,0.05983,0.02279,0.02336,0.03248,0.03647,0.03419,0.05299,0.09972,0.1288,0.1442,0.06211,0.1151,0.1179
0.3140, 1.000,0.07123,0.06268,0.1003,0.09516,0.1100,0.02108,0.02678,0.02393,0.02222,0.03476,0.08490,0.1453,0.1379,0.09801,0.04558,0.2370,0.1766
0.1105,0.07123, 1.000,0.03875,0.03248,0.02165,0.06382,0.02279,0.02621,0.03818,0.05413,0.03077,0.02450,0.03533,0.06325,0.07350,0.04444,0.04330,0.05356
0.1390,0.06268,0.03875, 1.000,0.1088,0.03533,0.02108,0.02108,0.03590,0.02279,0.03533,0.04330,0.03134,0.03818,0.05698,0.08775,0.06325,0.05356,0.06895
0.1162,0.1003,0.03248,0.1088, 1.000,0.06838,0.02279,0.02678,0.01880,0.02393,0.02165,0.03704,0.04786,0.04444,0.04444,0.06382,0.04957,0.06952,0.07293
0.04103,0.09516,0.02165,0.03533,0.06838, 1.000,0.06838,0.04103,0.02963,0.01880,0.01766,0.02450,0.04786,0.08148,0.04615,0.03818,0.03248,0.05470,0.05071
0.05983,0.1100,0.06382,0.02108,0.02279,0.06838, 1.000,0.03077,0.05869,0.03419,0.01709,0.02507,0.07692,0.1083,0.09003,0.03248,0.03020,0.07806,0.04672
0.02279,0.02108,0.02279,0.02108,0.02678,0.04103,0.03077, 1.000,0.03020,0.01538,0.03875,0.02621,0.1026,0.04046,0.02222,0.02051,0.02222,0.02051,0.01766
0.02336,0.02678,0.02621,0.03590,0.01880,0.02963,0.05869,0.03020, 1.000,0.04330,0.02507,0.02906,0.02963,0.03875,0.02849,0.02051,0.02792,0.02279,0.01766
0.03248,0.02393,0.03818,0.02279,0.02393,0.01880,0.03419,0.01538,0.04330, 1.000,0.03590,0.02279,0.01880,0.03134,0.03818,0.02906,0.02222,0.02279,0.01994
0.03647,0.02222,0.05413,0.03533,0.02165,0.01766,0.01709,0.03875,0.02507,0.03590, 1.000,0.04103,0.01538,0.02222,0.03134,0.04615,0.01937,0.01823,0.02336
0.03419,0.03476,0.03077,0.04330,0.03704,0.02450,0.02507,0.02621,0.02906,0.02279,0.04103, 1.000,0.02393,0.02051,0.01538,0.03419,0.04558,0.02507,0.02621
0.05299,0.08490,0.02450,0.03134,0.04786,0.04786,0.07692,0.1026,0.02963,0.01880,0.01538,0.02393, 1.000,0.1066,0.03305,0.02678,0.02621,0.1003,0.03533
0.09972,0.1453,0.03533,0.03818,0.04444,0.08148,0.1083,0.04046,0.03875,0.03134,0.02222,0.02051,0.1066, 1.000,0.1020,0.04501,0.02165,0.1288,0.04387
0.1288,0.1379,0.06325,0.05698,0.04444,0.04615,0.09003,0.02222,0.02849,0.03818,0.03134,0.01538,0.03305,0.1020, 1.000,0.1060,0.03191,0.07692,0.08547
0.1442,0.09801,0.07350,0.08775,0.06382,0.03818,0.03248,0.02051,0.02051,0.02906,0.04615,0.03419,0.02678,0.04501,0.1060, 1.000,0.1026,0.05128,0.1356
0.06211,0.04558,0.04444,0.06325,0.04957,0.03248,0.03020,0.02222,0.02792,0.02222,0.01937,0.04558,0.02621,0.02165,0.03191,0.1026, 1.000,0.03590,0.09744
0.1151,0.2370,0.04330,0.05356,0.06952,0.05470,0.07806,0.02051,0.02279,0.02279,0.01823,0.02507,0.1003,0.1288,0.07692,0.05128,0.03590, 1.000,0.1299
0.1179,0.1766,0.05356,0.06895,0.07293,0.05071,0.04672,0.01766,0.01766,0.01994,0.02336,0.02621,0.03533,0.04387,0.08547,0.1356,0.09744,0.1299, 1.000
