Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09339,0.2793,0.3678,0.04545,0.04132,0.04793,0.07107,0.02975,0.02645,0.01405,0.03306,0.05372,0.06364,0.1347,0.1744,0.05289,0.05868,0.05289
0.09339, 1.000,0.03719,0.06281,0.09917,0.2099,0.1264,0.02975,0.03967,0.03554,0.02066,0.05868,0.09339,0.1967,0.1140,0.09174,0.04959,0.1182,0.07438
0.2793,0.03719, 1.000,0.1314,0.02479,0.02397,0.04050,0.1975,0.02479,0.03388,0.02231,0.02893,0.02810,0.04215,0.1132,0.1116,0.05372,0.02810,0.03554
0.3678,0.06281,0.1314, 1.000,0.09504,0.04380,0.03802,0.06529,0.03388,0.02645,0.01488,0.04050,0.04050,0.05041,0.08347,0.1198,0.09339,0.06777,0.06529
0.04545,0.09917,0.02479,0.09504, 1.000,0.1727,0.03306,0.02149,0.04463,0.02066,0.02562,0.02727,0.05372,0.07851,0.06860,0.05289,0.04876,0.07934,0.08843
0.04132,0.2099,0.02397,0.04380,0.1727, 1.000,0.05289,0.01901,0.03388,0.02397,0.02066,0.04628,0.08264,0.09669,0.03719,0.05868,0.04959,0.1165,0.05455
0.04793,0.1264,0.04050,0.03802,0.03306,0.05289, 1.000,0.03802,0.06033,0.04545,0.02810,0.3033,0.03636,0.07851,0.1124,0.06612,0.02562,0.05620,0.03554
0.07107,0.02975,0.1975,0.06529,0.02149,0.01901,0.03802, 1.000,0.02975,0.02893,0.05620,0.03554,0.01983,0.01653,0.07769,0.08843,0.02645,0.01818,0.03802
0.02975,0.03967,0.02479,0.03388,0.04463,0.03388,0.06033,0.02975, 1.000,0.06612,0.01405,0.07851,0.03471,0.03884,0.03884,0.05455,0.09339,0.03554,0.04380
0.02645,0.03554,0.03388,0.02645,0.02066,0.02397,0.04545,0.02893,0.06612, 1.000,0.03802,0.04545,0.03967,0.03058,0.03140,0.01653,0.03223,0.04545,0.02479
0.01405,0.02066,0.02231,0.01488,0.02562,0.02066,0.02810,0.05620,0.01405,0.03802, 1.000,0.02975,0.07107,0.02149,0.02231,0.02562,0.01653,0.02810,0.01322
0.03306,0.05868,0.02893,0.04050,0.02727,0.04628,0.3033,0.03554,0.07851,0.04545,0.02975, 1.000,0.03636,0.06033,0.08264,0.04628,0.02645,0.04050,0.02066
0.05372,0.09339,0.02810,0.04050,0.05372,0.08264,0.03636,0.01983,0.03471,0.03967,0.07107,0.03636, 1.000,0.09008,0.05124,0.04628,0.03802,0.1174,0.03967
0.06364,0.1967,0.04215,0.05041,0.07851,0.09669,0.07851,0.01653,0.03884,0.03058,0.02149,0.06033,0.09008, 1.000,0.1289,0.05950,0.04628,0.1066,0.05289
0.1347,0.1140,0.1132,0.08347,0.06860,0.03719,0.1124,0.07769,0.03884,0.03140,0.02231,0.08264,0.05124,0.1289, 1.000,0.1793,0.02893,0.07025,0.04876
0.1744,0.09174,0.1116,0.1198,0.05289,0.05868,0.06612,0.08843,0.05455,0.01653,0.02562,0.04628,0.04628,0.05950,0.1793, 1.000,0.09421,0.07107,0.09091
0.05289,0.04959,0.05372,0.09339,0.04876,0.04959,0.02562,0.02645,0.09339,0.03223,0.01653,0.02645,0.03802,0.04628,0.02893,0.09421, 1.000,0.02810,0.09504
0.05868,0.1182,0.02810,0.06777,0.07934,0.1165,0.05620,0.01818,0.03554,0.04545,0.02810,0.04050,0.1174,0.1066,0.07025,0.07107,0.02810, 1.000,0.1149
0.05289,0.07438,0.03554,0.06529,0.08843,0.05455,0.03554,0.03802,0.04380,0.02479,0.01322,0.02066,0.03967,0.05289,0.04876,0.09091,0.09504,0.1149, 1.000
