Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4339,0.4634,0.5133,0.2777,0.2547,0.1612,0.09386,0.05195,0.08412,0.03955,0.03896,0.06080,0.06612,0.08205,0.1860,0.1024,0.1437,0.1886
0.4339, 1.000,0.2220,0.3126,0.3117,0.4475,0.2943,0.07379,0.04870,0.08973,0.04280,0.04841,0.06877,0.07733,0.09268,0.1733,0.09327,0.1635,0.2040
0.4634,0.2220, 1.000,0.3093,0.1355,0.1311,0.1296,0.1677,0.05519,0.06021,0.03394,0.04221,0.04841,0.05490,0.07763,0.1924,0.09268,0.1101,0.1491
0.5133,0.3126,0.3093, 1.000,0.4017,0.2639,0.1195,0.08176,0.07674,0.1151,0.04339,0.03955,0.06169,0.05549,0.06464,0.1647,0.1349,0.1393,0.1978
0.2777,0.3117,0.1355,0.4017, 1.000,0.4714,0.1204,0.05697,0.06553,0.1467,0.04782,0.03749,0.07999,0.05756,0.05874,0.1187,0.1101,0.1364,0.1738
0.2547,0.4475,0.1311,0.2639,0.4714, 1.000,0.1939,0.05460,0.05313,0.1181,0.05638,0.04103,0.07704,0.06375,0.06936,0.1086,0.09386,0.1499,0.1671
0.1612,0.2943,0.1296,0.1195,0.1204,0.1939, 1.000,0.06818,0.03571,0.05342,0.03630,0.09357,0.05726,0.07320,0.07763,0.1042,0.06375,0.1057,0.1216
0.09386,0.07379,0.1677,0.08176,0.05697,0.05460,0.06818, 1.000,0.06641,0.04457,0.04250,0.03335,0.03985,0.03365,0.06228,0.1741,0.07969,0.05697,0.1006
0.05195,0.04870,0.05519,0.07674,0.06553,0.05313,0.03571,0.06641, 1.000,0.07940,0.03749,0.04280,0.03453,0.03926,0.03689,0.06287,0.08884,0.05165,0.09120
0.08412,0.08973,0.06021,0.1151,0.1467,0.1181,0.05342,0.04457,0.07940, 1.000,0.07556,0.03158,0.06405,0.03896,0.04221,0.05608,0.09888,0.08294,0.1228
0.03955,0.04280,0.03394,0.04339,0.04782,0.05638,0.03630,0.04250,0.03749,0.07556, 1.000,0.04486,0.06464,0.04339,0.02981,0.03158,0.03660,0.05254,0.05431
0.03896,0.04841,0.04221,0.03955,0.03749,0.04103,0.09357,0.03335,0.04280,0.03158,0.04486, 1.000,0.04250,0.07527,0.05815,0.03778,0.03689,0.05608,0.03896
0.06080,0.06877,0.04841,0.06169,0.07999,0.07704,0.05726,0.03985,0.03453,0.06405,0.06464,0.04250, 1.000,0.1216,0.02745,0.04191,0.03749,0.1328,0.04900
0.06612,0.07733,0.05490,0.05549,0.05756,0.06375,0.07320,0.03365,0.03926,0.03896,0.04339,0.07527,0.1216, 1.000,0.07409,0.04044,0.03512,0.07969,0.04191
0.08205,0.09268,0.07763,0.06464,0.05874,0.06936,0.07763,0.06228,0.03689,0.04221,0.02981,0.05815,0.02745,0.07409, 1.000,0.08205,0.03867,0.05667,0.05136
0.1860,0.1733,0.1924,0.1647,0.1187,0.1086,0.1042,0.1741,0.06287,0.05608,0.03158,0.03778,0.04191,0.04044,0.08205, 1.000,0.1547,0.06346,0.1860
0.1024,0.09327,0.09268,0.1349,0.1101,0.09386,0.06375,0.07969,0.08884,0.09888,0.03660,0.03689,0.03749,0.03512,0.03867,0.1547, 1.000,0.05342,0.2344
0.1437,0.1635,0.1101,0.1393,0.1364,0.1499,0.1057,0.05697,0.05165,0.08294,0.05254,0.05608,0.1328,0.07969,0.05667,0.06346,0.05342, 1.000,0.1128
0.1886,0.2040,0.1491,0.1978,0.1738,0.1671,0.1216,0.1006,0.09120,0.1228,0.05431,0.03896,0.04900,0.04191,0.05136,0.1860,0.2344,0.1128, 1.000
