Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1886,0.1783,0.1984,0.04986,0.06287,0.04661,0.02385,0.02060,0.02656,0.02385,0.01789,0.02168,0.06396,0.1182,0.1491,0.03089,0.03631,0.04119
0.1886, 1.000,0.06721,0.08022,0.06125,0.1084,0.1816,0.02547,0.02493,0.02493,0.02981,0.02547,0.04119,0.09756,0.06125,0.06775,0.02114,0.04282,0.04065
0.1783,0.06721, 1.000,0.09810,0.02331,0.02493,0.02873,0.05962,0.02005,0.03144,0.03740,0.02602,0.02493,0.03306,0.08347,0.1241,0.03848,0.02331,0.03577
0.1984,0.08022,0.09810, 1.000,0.07913,0.05366,0.02439,0.02276,0.02060,0.02331,0.02710,0.01626,0.03523,0.03686,0.06341,0.08130,0.04336,0.04986,0.05908
0.04986,0.06125,0.02331,0.07913, 1.000,0.1583,0.02818,0.02493,0.02385,0.04011,0.02005,0.01572,0.05257,0.05095,0.02873,0.04173,0.03089,0.05203,0.05799
0.06287,0.1084,0.02493,0.05366,0.1583, 1.000,0.07046,0.03631,0.01680,0.02547,0.04336,0.02927,0.07100,0.06721,0.02547,0.03740,0.03089,0.05041,0.04390
0.04661,0.1816,0.02873,0.02439,0.02818,0.07046, 1.000,0.02602,0.02656,0.02222,0.03089,0.06721,0.04011,0.09919,0.02927,0.02547,0.01680,0.04228,0.01951
0.02385,0.02547,0.05962,0.02276,0.02493,0.03631,0.02602, 1.000,0.02981,0.02818,0.04173,0.02222,0.06612,0.02060,0.03360,0.04770,0.02818,0.02764,0.03089
0.02060,0.02493,0.02005,0.02060,0.02385,0.01680,0.02656,0.02981, 1.000,0.03360,0.02114,0.02873,0.01897,0.03360,0.02439,0.02005,0.03089,0.03035,0.03794
0.02656,0.02493,0.03144,0.02331,0.04011,0.02547,0.02222,0.02818,0.03360, 1.000,0.03360,0.02168,0.02710,0.02222,0.03740,0.02005,0.03035,0.02927,0.03631
0.02385,0.02981,0.03740,0.02710,0.02005,0.04336,0.03089,0.04173,0.02114,0.03360, 1.000,0.03577,0.05095,0.03035,0.02060,0.03902,0.02602,0.04499,0.02656
0.01789,0.02547,0.02602,0.01626,0.01572,0.02927,0.06721,0.02222,0.02873,0.02168,0.03577, 1.000,0.03577,0.05203,0.02385,0.02547,0.05799,0.03415,0.01518
0.02168,0.04119,0.02493,0.03523,0.05257,0.07100,0.04011,0.06612,0.01897,0.02710,0.05095,0.03577, 1.000,0.05095,0.02276,0.02602,0.02493,0.06233,0.02710
0.06396,0.09756,0.03306,0.03686,0.05095,0.06721,0.09919,0.02060,0.03360,0.02222,0.03035,0.05203,0.05095, 1.000,0.06125,0.02114,0.01680,0.04661,0.02547
0.1182,0.06125,0.08347,0.06341,0.02873,0.02547,0.02927,0.03360,0.02439,0.03740,0.02060,0.02385,0.02276,0.06125, 1.000,0.08672,0.02222,0.02656,0.02602
0.1491,0.06775,0.1241,0.08130,0.04173,0.03740,0.02547,0.04770,0.02005,0.02005,0.03902,0.02547,0.02602,0.02114,0.08672, 1.000,0.06450,0.02222,0.03794
0.03089,0.02114,0.03848,0.04336,0.03089,0.03089,0.01680,0.02818,0.03089,0.03035,0.02602,0.05799,0.02493,0.01680,0.02222,0.06450, 1.000,0.02331,0.04119
0.03631,0.04282,0.02331,0.04986,0.05203,0.05041,0.04228,0.02764,0.03035,0.02927,0.04499,0.03415,0.06233,0.04661,0.02656,0.02222,0.02331, 1.000,0.05908
0.04119,0.04065,0.03577,0.05908,0.05799,0.04390,0.01951,0.03089,0.03794,0.03631,0.02656,0.01518,0.02710,0.02547,0.02602,0.03794,0.04119,0.05908, 1.000
