Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09524,0.1623,0.1104,0.04329,0.09307,0.08442,0.09740,0.04762,0.02597,0.05844,0.03463,0.06710,0.05844,0.1948,0.2879,0.05628,0.08658,0.1775
0.09524, 1.000,0.06494,0.02381,0.1039,0.4134,0.5844,0.05844,0.05411,0.03030,0.04762,0.1255,0.08009,0.2100,0.1082,0.04762,0.03030,0.1061,0.04978
0.1623,0.06494, 1.000,0.09957,0.03680,0.06494,0.06710,0.2468,0.04978,0.03030,0.05195,0.03680,0.03896,0.06710,0.1061,0.1299,0.01948,0.03896,0.05628
0.1104,0.02381,0.09957, 1.000,0.1494,0.04545,0.02381,0.04329,0.1364,0.02165,0.05195,0.05195,0.04113,0.01948,0.06494,0.1558,0.1558,0.1017,0.2013
0.04329,0.1039,0.03680,0.1494, 1.000,0.1883,0.07576,0.04113,0.05411,0.09524,0.05411,0.04978,0.1147,0.09091,0.03463,0.04545,0.07143,0.1623,0.1775
0.09307,0.4134,0.06494,0.04545,0.1883, 1.000,0.3290,0.08009,0.07143,0.01948,0.09957,0.1147,0.1515,0.2727,0.08225,0.06710,0.03030,0.1861,0.06494
0.08442,0.5844,0.06710,0.02381,0.07576,0.3290, 1.000,0.05628,0.05411,0.03463,0.04978,0.1623,0.08442,0.2338,0.07359,0.03030,0.02597,0.1126,0.02381
0.09740,0.05844,0.2468,0.04329,0.04113,0.08009,0.05628, 1.000,0.09307,0.03247,0.1017,0.08225,0.09740,0.06494,0.06710,0.08225,0.03896,0.02597,0.04113
0.04762,0.05411,0.04978,0.1364,0.05411,0.07143,0.05411,0.09307, 1.000,0.04545,0.06926,0.2403,0.05411,0.06061,0.04329,0.04978,0.02814,0.02597,0.02814
0.02597,0.03030,0.03030,0.02165,0.09524,0.01948,0.03463,0.03247,0.04545, 1.000,0.07792,0.02814,0.06494,0.02165,0.02597,0.01948,0.01948,0.03463,0.03247
0.05844,0.04762,0.05195,0.05195,0.05411,0.09957,0.04978,0.1017,0.06926,0.07792, 1.000,0.09957,0.1277,0.08874,0.07359,0.05628,0.01948,0.08874,0.03247
0.03463,0.1255,0.03680,0.05195,0.04978,0.1147,0.1623,0.08225,0.2403,0.02814,0.09957, 1.000,0.08658,0.1082,0.05195,0.02597,0.02814,0.02597,0.01515
0.06710,0.08009,0.03896,0.04113,0.1147,0.1515,0.08442,0.09740,0.05411,0.06494,0.1277,0.08658, 1.000,0.1883,0.05844,0.03896,0.008658,0.09957,0.02814
0.05844,0.2100,0.06710,0.01948,0.09091,0.2727,0.2338,0.06494,0.06061,0.02165,0.08874,0.1082,0.1883, 1.000,0.1407,0.02597,0.01732,0.1840,0.03247
0.1948,0.1082,0.1061,0.06494,0.03463,0.08225,0.07359,0.06710,0.04329,0.02597,0.07359,0.05195,0.05844,0.1407, 1.000,0.1558,0.02165,0.08009,0.08442
0.2879,0.04762,0.1299,0.1558,0.04545,0.06710,0.03030,0.08225,0.04978,0.01948,0.05628,0.02597,0.03896,0.02597,0.1558, 1.000,0.1104,0.04545,0.1775
0.05628,0.03030,0.01948,0.1558,0.07143,0.03030,0.02597,0.03896,0.02814,0.01948,0.01948,0.02814,0.008658,0.01732,0.02165,0.1104, 1.000,0.03030,0.2035
0.08658,0.1061,0.03896,0.1017,0.1623,0.1861,0.1126,0.02597,0.02597,0.03463,0.08874,0.02597,0.09957,0.1840,0.08009,0.04545,0.03030, 1.000,0.1082
0.1775,0.04978,0.05628,0.2013,0.1775,0.06494,0.02381,0.04113,0.02814,0.03247,0.03247,0.01515,0.02814,0.03247,0.08442,0.1775,0.2035,0.1082, 1.000
