Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2576,0.2188,0.2267,0.1294,0.1322,0.07143,0.03993,0.03093,0.02362,0.02756,0.02306,0.03712,0.07818,0.1091,0.1175,0.04949,0.09111,0.09955
0.2576, 1.000,0.09618,0.08380,0.08774,0.1980,0.1901,0.01912,0.03093,0.02700,0.03037,0.02756,0.04331,0.2503,0.1586,0.05287,0.02587,0.09336,0.05287
0.2188,0.09618, 1.000,0.1063,0.04556,0.04387,0.05399,0.05624,0.03262,0.01575,0.03543,0.02362,0.02418,0.04387,0.1136,0.1699,0.03262,0.03993,0.05174
0.2267,0.08380,0.1063, 1.000,0.2390,0.08999,0.03431,0.01856,0.05906,0.04724,0.02587,0.03543,0.03037,0.03093,0.03712,0.06637,0.09674,0.08099,0.1558
0.1294,0.08774,0.04556,0.2390, 1.000,0.1485,0.04612,0.03093,0.03993,0.07705,0.03093,0.03375,0.06187,0.03037,0.03600,0.05343,0.08886,0.1204,0.1344
0.1322,0.1980,0.04387,0.08999,0.1485, 1.000,0.1175,0.03093,0.03431,0.02812,0.03600,0.02250,0.07874,0.1119,0.05512,0.04049,0.04106,0.1400,0.1046
0.07143,0.1901,0.05399,0.03431,0.04612,0.1175, 1.000,0.02531,0.05006,0.02812,0.04218,0.07593,0.03768,0.1862,0.1507,0.03937,0.02812,0.04893,0.03318
0.03993,0.01912,0.05624,0.01856,0.03093,0.03093,0.02531, 1.000,0.03656,0.02475,0.09674,0.02756,0.06862,0.02193,0.04499,0.07424,0.03150,0.02418,0.01575
0.03093,0.03093,0.03262,0.05906,0.03993,0.03431,0.05006,0.03656, 1.000,0.04106,0.03150,0.1339,0.02081,0.04162,0.03825,0.03768,0.09224,0.02025,0.04162
0.02362,0.02700,0.01575,0.04724,0.07705,0.02812,0.02812,0.02475,0.04106, 1.000,0.02587,0.06355,0.03543,0.03037,0.01969,0.02193,0.08211,0.05174,0.07368
0.02756,0.03037,0.03543,0.02587,0.03093,0.03600,0.04218,0.09674,0.03150,0.02587, 1.000,0.04218,0.07199,0.03150,0.02756,0.04781,0.03262,0.05512,0.03600
0.02306,0.02756,0.02362,0.03543,0.03375,0.02250,0.07593,0.02756,0.1339,0.06355,0.04218, 1.000,0.02193,0.05512,0.04218,0.03600,0.08830,0.02193,0.02306
0.03712,0.04331,0.02418,0.03037,0.06187,0.07874,0.03768,0.06862,0.02081,0.03543,0.07199,0.02193, 1.000,0.05849,0.01969,0.03318,0.02081,0.1018,0.02362
0.07818,0.2503,0.04387,0.03093,0.03037,0.1119,0.1862,0.02193,0.04162,0.03037,0.03150,0.05512,0.05849, 1.000,0.1057,0.03262,0.02306,0.07143,0.02250
0.1091,0.1586,0.1136,0.03712,0.03600,0.05512,0.1507,0.04499,0.03825,0.01969,0.02756,0.04218,0.01969,0.1057, 1.000,0.08436,0.04049,0.04049,0.04443
0.1175,0.05287,0.1699,0.06637,0.05343,0.04049,0.03937,0.07424,0.03768,0.02193,0.04781,0.03600,0.03318,0.03262,0.08436, 1.000,0.06355,0.02025,0.06805
0.04949,0.02587,0.03262,0.09674,0.08886,0.04106,0.02812,0.03150,0.09224,0.08211,0.03262,0.08830,0.02081,0.02306,0.04049,0.06355, 1.000,0.03093,0.1783
0.09111,0.09336,0.03993,0.08099,0.1204,0.1400,0.04893,0.02418,0.02025,0.05174,0.05512,0.02193,0.1018,0.07143,0.04049,0.02025,0.03093, 1.000,0.06749
0.09955,0.05287,0.05174,0.1558,0.1344,0.1046,0.03318,0.01575,0.04162,0.07368,0.03600,0.02306,0.02362,0.02250,0.04443,0.06805,0.1783,0.06749, 1.000
