Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.7367,0.5814,0.6003,0.4122,0.4036,0.4126,0.1345,0.05766,0.04132,0.04420,0.1015,0.1115,0.2896,0.2354,0.3479,0.1022,0.3235,0.4055
0.7367, 1.000,0.4641,0.5179,0.4497,0.5051,0.5420,0.1182,0.05189,0.04356,0.04612,0.1076,0.1262,0.3360,0.2233,0.3104,0.09898,0.3712,0.4010
0.5814,0.4641, 1.000,0.4241,0.2553,0.2671,0.3479,0.2024,0.05862,0.03812,0.05445,0.1038,0.09129,0.2377,0.2518,0.3565,0.08808,0.2511,0.3120
0.6003,0.5179,0.4241, 1.000,0.5599,0.4600,0.3479,0.1217,0.06374,0.04805,0.04068,0.09577,0.1195,0.2591,0.1944,0.3161,0.1124,0.3302,0.4760
0.4122,0.4497,0.2553,0.5599, 1.000,0.6845,0.3161,0.09385,0.05445,0.05285,0.04324,0.09193,0.1438,0.2828,0.1550,0.2255,0.1003,0.3591,0.4033
0.4036,0.5051,0.2671,0.4600,0.6845, 1.000,0.4635,0.09385,0.04676,0.05029,0.04869,0.09833,0.1525,0.3459,0.1717,0.2111,0.09289,0.4315,0.3655
0.4126,0.5420,0.3479,0.3479,0.3161,0.4635, 1.000,0.1131,0.03908,0.04324,0.04805,0.1435,0.1230,0.3584,0.2316,0.2188,0.08744,0.3728,0.3101
0.1345,0.1182,0.2024,0.1217,0.09385,0.09385,0.1131, 1.000,0.05221,0.03972,0.05253,0.04548,0.05477,0.08520,0.1627,0.2268,0.07687,0.07623,0.1214
0.05766,0.05189,0.05862,0.06374,0.05445,0.04676,0.03908,0.05221, 1.000,0.04196,0.02691,0.03523,0.03043,0.03876,0.05029,0.06630,0.1063,0.04196,0.07463
0.04132,0.04356,0.03812,0.04805,0.05285,0.05029,0.04324,0.03972,0.04196, 1.000,0.04100,0.04741,0.07495,0.05125,0.04388,0.03652,0.05990,0.05605,0.04869
0.04420,0.04612,0.05445,0.04068,0.04324,0.04869,0.04805,0.05253,0.02691,0.04100, 1.000,0.04132,0.06246,0.04676,0.04356,0.04741,0.02755,0.04356,0.03780
0.1015,0.1076,0.1038,0.09577,0.09193,0.09833,0.1435,0.04548,0.03523,0.04741,0.04132, 1.000,0.08296,0.1518,0.1336,0.08232,0.04644,0.1220,0.08648
0.1115,0.1262,0.09129,0.1195,0.1438,0.1525,0.1230,0.05477,0.03043,0.07495,0.06246,0.08296, 1.000,0.1855,0.06630,0.07111,0.04196,0.2380,0.09065
0.2896,0.3360,0.2377,0.2591,0.2828,0.3459,0.3584,0.08520,0.03876,0.05125,0.04676,0.1518,0.1855, 1.000,0.1973,0.1441,0.05413,0.5586,0.1742
0.2354,0.2233,0.2518,0.1944,0.1550,0.1717,0.2316,0.1627,0.05029,0.04388,0.04356,0.1336,0.06630,0.1973, 1.000,0.2425,0.05637,0.1634,0.1496
0.3479,0.3104,0.3565,0.3161,0.2255,0.2111,0.2188,0.2268,0.06630,0.03652,0.04741,0.08232,0.07111,0.1441,0.2425, 1.000,0.1118,0.1489,0.3857
0.1022,0.09898,0.08808,0.1124,0.1003,0.09289,0.08744,0.07687,0.1063,0.05990,0.02755,0.04644,0.04196,0.05413,0.05637,0.1118, 1.000,0.07239,0.1736
0.3235,0.3712,0.2511,0.3302,0.3591,0.4315,0.3728,0.07623,0.04196,0.05605,0.04356,0.1220,0.2380,0.5586,0.1634,0.1489,0.07239, 1.000,0.2220
0.4055,0.4010,0.3120,0.4760,0.4033,0.3655,0.3101,0.1214,0.07463,0.04869,0.03780,0.08648,0.09065,0.1742,0.1496,0.3857,0.1736,0.2220, 1.000
