Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4700,0.08283,0.1675,0.1158,0.1267,0.06423,0.02521,0.03121,0.03661,0.02341,0.02161,0.04262,0.1375,0.2995,0.2521,0.03962,0.08283,0.1627
0.4700, 1.000,0.06363,0.1122,0.1363,0.2029,0.09184,0.02161,0.02761,0.03541,0.03121,0.02101,0.06723,0.2137,0.2437,0.1459,0.02941,0.1134,0.1333
0.08283,0.06363, 1.000,0.04202,0.02581,0.02341,0.04562,0.06963,0.02821,0.03782,0.04082,0.02221,0.02101,0.04322,0.07263,0.09364,0.03181,0.02701,0.05402
0.1675,0.1122,0.04202, 1.000,0.1837,0.09064,0.03241,0.01741,0.02881,0.03301,0.02761,0.03001,0.05402,0.05762,0.06363,0.1086,0.07863,0.06303,0.1321
0.1158,0.1363,0.02581,0.1837, 1.000,0.3019,0.03241,0.02641,0.04142,0.03782,0.02341,0.02161,0.06543,0.07443,0.05402,0.06723,0.07563,0.09184,0.1399
0.1267,0.2029,0.02341,0.09064,0.3019, 1.000,0.05882,0.02641,0.03421,0.03601,0.03421,0.02281,0.06423,0.1026,0.06363,0.06242,0.04202,0.1705,0.1975
0.06423,0.09184,0.04562,0.03241,0.03241,0.05882, 1.000,0.02521,0.03962,0.04442,0.02341,0.05462,0.04802,0.1633,0.08703,0.03842,0.01741,0.1074,0.04562
0.02521,0.02161,0.06963,0.01741,0.02641,0.02641,0.02521, 1.000,0.02101,0.04982,0.05702,0.03121,0.04082,0.02401,0.03241,0.05222,0.03121,0.02761,0.02941
0.03121,0.02761,0.02821,0.02881,0.04142,0.03421,0.03962,0.02101, 1.000,0.04562,0.03001,0.06903,0.01681,0.03241,0.03061,0.02581,0.05822,0.02161,0.03601
0.03661,0.03541,0.03782,0.03301,0.03782,0.03601,0.04442,0.04982,0.04562, 1.000,0.06483,0.02761,0.05642,0.03061,0.03121,0.03181,0.02641,0.03121,0.03181
0.02341,0.03121,0.04082,0.02761,0.02341,0.03421,0.02341,0.05702,0.03001,0.06483, 1.000,0.04022,0.05222,0.02041,0.02821,0.03721,0.01981,0.04322,0.02401
0.02161,0.02101,0.02221,0.03001,0.02161,0.02281,0.05462,0.03121,0.06903,0.02761,0.04022, 1.000,0.02761,0.02881,0.02461,0.03121,0.07023,0.03661,0.04202
0.04262,0.06723,0.02101,0.05402,0.06543,0.06423,0.04802,0.04082,0.01681,0.05642,0.05222,0.02761, 1.000,0.09964,0.03601,0.02581,0.01981,0.1855,0.03421
0.1375,0.2137,0.04322,0.05762,0.07443,0.1026,0.1633,0.02401,0.03241,0.03061,0.02041,0.02881,0.09964, 1.000,0.1248,0.04802,0.01861,0.1861,0.06002
0.2995,0.2437,0.07263,0.06363,0.05402,0.06363,0.08703,0.03241,0.03061,0.03121,0.02821,0.02461,0.03601,0.1248, 1.000,0.1387,0.02581,0.05642,0.09304
0.2521,0.1459,0.09364,0.1086,0.06723,0.06242,0.03842,0.05222,0.02581,0.03181,0.03721,0.03121,0.02581,0.04802,0.1387, 1.000,0.07863,0.03842,0.1927
0.03962,0.02941,0.03181,0.07863,0.07563,0.04202,0.01741,0.03121,0.05822,0.02641,0.01981,0.07023,0.01981,0.01861,0.02581,0.07863, 1.000,0.02341,0.1236
0.08283,0.1134,0.02701,0.06303,0.09184,0.1705,0.1074,0.02761,0.02161,0.03121,0.04322,0.03661,0.1855,0.1861,0.05642,0.03842,0.02341, 1.000,0.08764
0.1627,0.1333,0.05402,0.1321,0.1399,0.1975,0.04562,0.02941,0.03601,0.03181,0.02401,0.04202,0.03421,0.06002,0.09304,0.1927,0.1236,0.08764, 1.000
