Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.5957,0.5345,0.2968,0.1972,0.2035,0.2743,0.1321,0.06843,0.04652,0.04142,0.05282,0.04652,0.08433,0.08043,0.1996,0.08944,0.09664,0.1360
0.5957, 1.000,0.4028,0.2155,0.1738,0.2521,0.3998,0.1083,0.05522,0.04862,0.03842,0.06032,0.04772,0.1011,0.09214,0.1663,0.07473,0.1077,0.1230
0.5345,0.4028, 1.000,0.1834,0.1176,0.1276,0.2566,0.1915,0.05492,0.04112,0.04232,0.05012,0.03842,0.07803,0.08313,0.2173,0.07623,0.06633,0.09934
0.2968,0.2155,0.1834, 1.000,0.4493,0.2653,0.1023,0.08794,0.1071,0.07863,0.05162,0.04082,0.05402,0.05972,0.04562,0.1384,0.1306,0.1209,0.1825
0.1972,0.1738,0.1176,0.4493, 1.000,0.3779,0.08764,0.06633,0.1092,0.1155,0.06513,0.03481,0.07143,0.06483,0.04382,0.1116,0.1212,0.1558,0.1552
0.2035,0.2521,0.1276,0.2653,0.3779, 1.000,0.1390,0.05972,0.07773,0.07053,0.06693,0.04322,0.06723,0.08553,0.05462,0.1023,0.08673,0.1672,0.1306
0.2743,0.3998,0.2566,0.1023,0.08764,0.1390, 1.000,0.08974,0.03992,0.03932,0.03571,0.09394,0.04472,0.1408,0.1218,0.1137,0.04772,0.09364,0.07323
0.1321,0.1083,0.1915,0.08794,0.06633,0.05972,0.08974, 1.000,0.06813,0.04502,0.04442,0.03301,0.04472,0.04832,0.08073,0.1909,0.06723,0.04652,0.07233
0.06843,0.05522,0.05492,0.1071,0.1092,0.07773,0.03992,0.06813, 1.000,0.1390,0.04382,0.04502,0.03661,0.04052,0.03481,0.06393,0.2035,0.05762,0.1327
0.04652,0.04862,0.04112,0.07863,0.1155,0.07053,0.03932,0.04502,0.1390, 1.000,0.08523,0.04172,0.04832,0.04322,0.04592,0.04772,0.1104,0.07263,0.09094
0.04142,0.03842,0.04232,0.05162,0.06513,0.06693,0.03571,0.04442,0.04382,0.08523, 1.000,0.03001,0.07953,0.03361,0.03031,0.04742,0.04922,0.07983,0.04442
0.05282,0.06032,0.05012,0.04082,0.03481,0.04322,0.09394,0.03301,0.04502,0.04172,0.03001, 1.000,0.03691,0.1642,0.1179,0.04652,0.04172,0.03391,0.03271
0.04652,0.04772,0.03842,0.05402,0.07143,0.06723,0.04472,0.04472,0.03661,0.04832,0.07953,0.03691, 1.000,0.05942,0.03241,0.04562,0.03782,0.1080,0.04652
0.08433,0.1011,0.07803,0.05972,0.06483,0.08553,0.1408,0.04832,0.04052,0.04322,0.03361,0.1642,0.05942, 1.000,0.1122,0.05522,0.03842,0.07293,0.05042
0.08043,0.09214,0.08313,0.04562,0.04382,0.05462,0.1218,0.08073,0.03481,0.04592,0.03031,0.1179,0.03241,0.1122, 1.000,0.08343,0.03271,0.03932,0.03752
0.1996,0.1663,0.2173,0.1384,0.1116,0.1023,0.1137,0.1909,0.06393,0.04772,0.04742,0.04652,0.04562,0.05522,0.08343, 1.000,0.09394,0.05012,0.09574
0.08944,0.07473,0.07623,0.1306,0.1212,0.08673,0.04772,0.06723,0.2035,0.1104,0.04922,0.04172,0.03782,0.03842,0.03271,0.09394, 1.000,0.05492,0.1750
0.09664,0.1077,0.06633,0.1209,0.1558,0.1672,0.09364,0.04652,0.05762,0.07263,0.07983,0.03391,0.1080,0.07293,0.03932,0.05012,0.05492, 1.000,0.1071
0.1360,0.1230,0.09934,0.1825,0.1552,0.1306,0.07323,0.07233,0.1327,0.09094,0.04442,0.03271,0.04652,0.05042,0.03752,0.09574,0.1750,0.1071, 1.000
