Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.5718,0.4979,0.3961,0.2329,0.2748,0.3570,0.1032,0.05997,0.05160,0.05300,0.06137,0.05439,0.1269,0.1283,0.1980,0.07950,0.1841,0.1548
0.5718, 1.000,0.3543,0.2817,0.2092,0.3654,0.5258,0.07392,0.04881,0.05300,0.04881,0.1004,0.07113,0.1883,0.1478,0.1632,0.05300,0.1883,0.1144
0.4979,0.3543, 1.000,0.2134,0.1241,0.1409,0.3110,0.2120,0.05858,0.04881,0.05160,0.06137,0.02510,0.1074,0.1478,0.2218,0.06416,0.09344,0.09484
0.3961,0.2817,0.2134, 1.000,0.5481,0.3096,0.1130,0.07531,0.09763,0.09902,0.05858,0.04742,0.05300,0.07671,0.06555,0.1520,0.1562,0.1911,0.2510
0.2329,0.2092,0.1241,0.5481, 1.000,0.4045,0.09205,0.05300,0.1018,0.1353,0.06695,0.05300,0.07531,0.09902,0.07113,0.1060,0.1520,0.2329,0.2204
0.2748,0.3654,0.1409,0.3096,0.4045, 1.000,0.2022,0.06416,0.06555,0.08368,0.07671,0.07252,0.1046,0.1520,0.08368,0.09902,0.09484,0.2803,0.1715
0.3570,0.5258,0.3110,0.1130,0.09205,0.2022, 1.000,0.08926,0.04463,0.02232,0.03487,0.1883,0.05718,0.2524,0.2162,0.1213,0.02789,0.1618,0.06555
0.1032,0.07392,0.2120,0.07531,0.05300,0.06416,0.08926, 1.000,0.06834,0.06555,0.07113,0.03626,0.04603,0.04045,0.06276,0.1604,0.07392,0.03626,0.06276
0.05997,0.04881,0.05858,0.09763,0.1018,0.06555,0.04463,0.06834, 1.000,0.1269,0.01813,0.05160,0.03068,0.04324,0.03766,0.07671,0.2259,0.05300,0.1590
0.05160,0.05300,0.04881,0.09902,0.1353,0.08368,0.02232,0.06555,0.1269, 1.000,0.09205,0.05300,0.06276,0.03068,0.04045,0.04324,0.1353,0.06974,0.1046
0.05300,0.04881,0.05160,0.05858,0.06695,0.07671,0.03487,0.07113,0.01813,0.09205, 1.000,0.04463,0.1297,0.05439,0.03766,0.05579,0.04742,0.09623,0.03487
0.06137,0.1004,0.06137,0.04742,0.05300,0.07252,0.1883,0.03626,0.05160,0.05300,0.04463, 1.000,0.05439,0.2664,0.2232,0.04324,0.02371,0.08089,0.02371
0.05439,0.07113,0.02510,0.05300,0.07531,0.1046,0.05718,0.04603,0.03068,0.06276,0.1297,0.05439, 1.000,0.1199,0.03766,0.03487,0.02371,0.1367,0.02929
0.1269,0.1883,0.1074,0.07671,0.09902,0.1520,0.2524,0.04045,0.04324,0.03068,0.05439,0.2664,0.1199, 1.000,0.1939,0.06137,0.01813,0.1660,0.04045
0.1283,0.1478,0.1478,0.06555,0.07113,0.08368,0.2162,0.06276,0.03766,0.04045,0.03766,0.2232,0.03766,0.1939, 1.000,0.1353,0.03208,0.06416,0.04184
0.1980,0.1632,0.2218,0.1520,0.1060,0.09902,0.1213,0.1604,0.07671,0.04324,0.05579,0.04324,0.03487,0.06137,0.1353, 1.000,0.1004,0.05439,0.09763
0.07950,0.05300,0.06416,0.1562,0.1520,0.09484,0.02789,0.07392,0.2259,0.1353,0.04742,0.02371,0.02371,0.01813,0.03208,0.1004, 1.000,0.06555,0.2036
0.1841,0.1883,0.09344,0.1911,0.2329,0.2803,0.1618,0.03626,0.05300,0.06974,0.09623,0.08089,0.1367,0.1660,0.06416,0.05439,0.06555, 1.000,0.1395
0.1548,0.1144,0.09484,0.2510,0.2204,0.1715,0.06555,0.06276,0.1590,0.1046,0.03487,0.02371,0.02929,0.04045,0.04184,0.09763,0.2036,0.1395, 1.000
