Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.02120,0.02407,0.05330,0.03152,0.03266,0.05158,0.01834,0.04470,0.01891,0.03668,0.03152,0.03840,0.07679,0.03897,0.08023,0.05673,0.04355
0.02120, 1.000,0.04355,0.04871,0.03324,0.05043,0.03897,0.04986,0.03897,0.01891,0.02865,0.02636,0.02521,0.02292,0.05100,0.03152,0.04585,0.02865
0.02407,0.04355, 1.000,0.02693,0.02579,0.04355,0.06705,0.1158,0.04126,0.03496,0.01777,0.02808,0.03840,0.03381,0.07679,0.02808,0.02120,0.02178
0.05330,0.04871,0.02693, 1.000,0.01948,0.05559,0.05043,0.03610,0.04699,0.03324,0.05215,0.03095,0.02464,0.03496,0.03897,0.03037,0.07163,0.03438
0.03152,0.03324,0.02579,0.01948, 1.000,0.04928,0.02120,0.03668,0.05616,0.05444,0.03438,0.03095,0.03381,0.03954,0.03610,0.03954,0.07049,0.01547
0.03266,0.05043,0.04355,0.05559,0.04928, 1.000,0.05731,0.05788,0.03897,0.02923,0.01948,0.04756,0.03095,0.04011,0.04126,0.04756,0.04871,0.02808
0.05158,0.03897,0.06705,0.05043,0.02120,0.05731, 1.000,0.03668,0.08539,0.02292,0.03152,0.04986,0.05501,0.03095,0.03381,0.03725,0.04470,0.03610
0.01834,0.04986,0.1158,0.03610,0.03668,0.05788,0.03668, 1.000,0.05272,0.05272,0.04413,0.04355,0.02865,0.04069,0.06246,0.04355,0.03152,0.02178
0.04470,0.03897,0.04126,0.04699,0.05616,0.03897,0.08539,0.05272, 1.000,0.04642,0.05501,0.07679,0.04871,0.04241,0.04298,0.05501,0.08768,0.02980
0.01891,0.01891,0.03496,0.03324,0.05444,0.02923,0.02292,0.05272,0.04642, 1.000,0.02636,0.03725,0.05215,0.04413,0.03840,0.04241,0.05158,0.05043
0.03668,0.02865,0.01777,0.05215,0.03438,0.01948,0.03152,0.04413,0.05501,0.02636, 1.000,0.04986,0.03954,0.03037,0.02292,0.02751,0.02063,0.03496
0.03152,0.02636,0.02808,0.03095,0.03095,0.04756,0.04986,0.04355,0.07679,0.03725,0.04986, 1.000,0.03668,0.02923,0.03381,0.03553,0.07564,0.03782
0.03840,0.02521,0.03840,0.02464,0.03381,0.03095,0.05501,0.02865,0.04871,0.05215,0.03954,0.03668, 1.000,0.02006,0.02980,0.02579,0.03553,0.01547
0.07679,0.02292,0.03381,0.03496,0.03954,0.04011,0.03095,0.04069,0.04241,0.04413,0.03037,0.02923,0.02006, 1.000,0.04183,0.04241,0.06246,0.02751
0.03897,0.05100,0.07679,0.03897,0.03610,0.04126,0.03381,0.06246,0.04298,0.03840,0.02292,0.03381,0.02980,0.04183, 1.000,0.03037,0.03438,0.02808
0.08023,0.03152,0.02808,0.03037,0.03954,0.04756,0.03725,0.04355,0.05501,0.04241,0.02751,0.03553,0.02579,0.04241,0.03037, 1.000,0.04527,0.02235
0.05673,0.04585,0.02120,0.07163,0.07049,0.04871,0.04470,0.03152,0.08768,0.05158,0.02063,0.07564,0.03553,0.06246,0.03438,0.04527, 1.000,0.02923
0.04355,0.02865,0.02178,0.03438,0.01547,0.02808,0.03610,0.02178,0.02980,0.05043,0.03496,0.03782,0.01547,0.02751,0.02808,0.02235,0.02923, 1.000
