Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.04870,0.3357,0.06609,0.1026,0.05043,0.06609,0.1148,0.08174,0.07130,0.04870,0.09913,0.08870,0.1513,0.07478,0.1809,0.08870,0.08000,0.1009
0.04870, 1.000,0.02957,0.03478,0.07304,0.1078,0.08348,0.01043,0.04870,0.05739,0.006957,0.08348,0.07304,0.05913,0.05565,0.06957,0.04348,0.03304,0.04174
0.3357,0.02957, 1.000,0.08000,0.1043,0.05565,0.1096,0.1200,0.04174,0.06261,0.06435,0.06609,0.1130,0.1530,0.07826,0.2400,0.07304,0.08000,0.08522
0.06609,0.03478,0.08000, 1.000,0.04000,0.05217,0.02087,0.1235,0.04522,0.02957,0.03478,0.04000,0.04174,0.05391,0.05739,0.05739,0.03304,0.06087,0.05565
0.1026,0.07304,0.1043,0.04000, 1.000,0.09565,0.1496,0.06957,0.08000,0.1461,0.05217,0.06435,0.2678,0.07826,0.05739,0.1061,0.1652,0.1183,0.1270
0.05043,0.1078,0.05565,0.05217,0.09565, 1.000,0.09565,0.02609,0.02783,0.06087,0.03652,0.05739,0.08870,0.01913,0.04696,0.06087,0.06783,0.07652,0.08174
0.06609,0.08348,0.1096,0.02087,0.1496,0.09565, 1.000,0.05739,0.02957,0.08696,0.02957,0.04696,0.1443,0.06957,0.04348,0.04174,0.06261,0.05217,0.06087
0.1148,0.01043,0.1200,0.1235,0.06957,0.02609,0.05739, 1.000,0.1200,0.03304,0.05913,0.05739,0.03130,0.02435,0.05217,0.1043,0.04000,0.03130,0.04696
0.08174,0.04870,0.04174,0.04522,0.08000,0.02783,0.02957,0.1200, 1.000,0.04522,0.01043,0.1200,0.06783,0.02957,0.04870,0.05739,0.1026,0.05043,0.06957
0.07130,0.05739,0.06261,0.02957,0.1461,0.06087,0.08696,0.03304,0.04522, 1.000,0.07652,0.07826,0.1565,0.06435,0.04174,0.04174,0.1687,0.05913,0.06609
0.04870,0.006957,0.06435,0.03478,0.05217,0.03652,0.02957,0.05913,0.01043,0.07652, 1.000,0.03478,0.04522,0.03652,0.06261,0.03826,0.05217,0.03304,0.03478
0.09913,0.08348,0.06609,0.04000,0.06435,0.05739,0.04696,0.05739,0.1200,0.07826,0.03478, 1.000,0.1165,0.05391,0.08870,0.09913,0.03304,0.01739,0.01565
0.08870,0.07304,0.1130,0.04174,0.2678,0.08870,0.1443,0.03130,0.06783,0.1565,0.04522,0.1165, 1.000,0.09739,0.05739,0.09391,0.1165,0.1113,0.09217
0.1513,0.05913,0.1530,0.05391,0.07826,0.01913,0.06957,0.02435,0.02957,0.06435,0.03652,0.05391,0.09739, 1.000,0.07304,0.07478,0.02261,0.06087,0.05043
0.07478,0.05565,0.07826,0.05739,0.05739,0.04696,0.04348,0.05217,0.04870,0.04174,0.06261,0.08870,0.05739,0.07304, 1.000,0.07304,0.04348,0.05565,0.02783
0.1809,0.06957,0.2400,0.05739,0.1061,0.06087,0.04174,0.1043,0.05739,0.04174,0.03826,0.09913,0.09391,0.07478,0.07304, 1.000,0.08870,0.06435,0.08870
0.08870,0.04348,0.07304,0.03304,0.1652,0.06783,0.06261,0.04000,0.1026,0.1687,0.05217,0.03304,0.1165,0.02261,0.04348,0.08870, 1.000,0.1339,0.2417
0.08000,0.03304,0.08000,0.06087,0.1183,0.07652,0.05217,0.03130,0.05043,0.05913,0.03304,0.01739,0.1113,0.06087,0.05565,0.06435,0.1339, 1.000,0.1426
0.1009,0.04174,0.08522,0.05565,0.1270,0.08174,0.06087,0.04696,0.06957,0.06609,0.03478,0.01565,0.09217,0.05043,0.02783,0.08870,0.2417,0.1426, 1.000
