Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1198,0.1621,0.09593,0.04228,0.4217,0.02981,0.04228,0.02168,0.04228,0.02927,0.02764,0.09593,0.08076,0.07317,0.1290,0.04282,0.1604
0.1198, 1.000,0.06396,0.05474,0.02818,0.08347,0.02222,0.02493,0.01789,0.02602,0.04824,0.02005,0.05366,0.07805,0.1117,0.08022,0.03577,0.05745
0.1621,0.06396, 1.000,0.05149,0.05583,0.1117,0.02981,0.06125,0.03415,0.05474,0.03089,0.02168,0.05691,0.06829,0.09756,0.1252,0.03252,0.06341
0.09593,0.05474,0.05149, 1.000,0.1198,0.06667,0.02602,0.04770,0.01843,0.02493,0.02873,0.06233,0.1463,0.04499,0.03089,0.04607,0.03415,0.1117
0.04228,0.02818,0.05583,0.1198, 1.000,0.02818,0.02439,0.06287,0.03523,0.02927,0.03360,0.03198,0.05691,0.03740,0.02818,0.02927,0.03469,0.05583
0.4217,0.08347,0.1117,0.06667,0.02818, 1.000,0.02168,0.03089,0.02114,0.04986,0.02602,0.02656,0.09864,0.08943,0.05366,0.08672,0.03523,0.08455
0.02981,0.02222,0.02981,0.02602,0.02439,0.02168, 1.000,0.02547,0.03794,0.03794,0.02547,0.02060,0.01897,0.02602,0.02764,0.03360,0.03035,0.05908
0.04228,0.02493,0.06125,0.04770,0.06287,0.03089,0.02547, 1.000,0.01897,0.02927,0.03523,0.02656,0.02168,0.02710,0.02602,0.08022,0.05908,0.06125
0.02168,0.01789,0.03415,0.01843,0.03523,0.02114,0.03794,0.01897, 1.000,0.04661,0.01951,0.02873,0.02547,0.03686,0.02385,0.02927,0.02602,0.01572
0.04228,0.02602,0.05474,0.02493,0.02927,0.04986,0.03794,0.02927,0.04661, 1.000,0.02385,0.03740,0.03415,0.04119,0.04390,0.02276,0.03306,0.02818
0.02927,0.04824,0.03089,0.02873,0.03360,0.02602,0.02547,0.03523,0.01951,0.02385, 1.000,0.02764,0.03035,0.02873,0.02276,0.04986,0.03035,0.02331
0.02764,0.02005,0.02168,0.06233,0.03198,0.02656,0.02060,0.02656,0.02873,0.03740,0.02764, 1.000,0.03577,0.02222,0.02764,0.01734,0.02981,0.02385
0.09593,0.05366,0.05691,0.1463,0.05691,0.09864,0.01897,0.02168,0.02547,0.03415,0.03035,0.03577, 1.000,0.05149,0.04336,0.03144,0.02602,0.07100
0.08076,0.07805,0.06829,0.04499,0.03740,0.08943,0.02602,0.02710,0.03686,0.04119,0.02873,0.02222,0.05149, 1.000,0.07696,0.03198,0.02493,0.05691
0.07317,0.1117,0.09756,0.03089,0.02818,0.05366,0.02764,0.02602,0.02385,0.04390,0.02276,0.02764,0.04336,0.07696, 1.000,0.04986,0.02060,0.04173
0.1290,0.08022,0.1252,0.04607,0.02927,0.08672,0.03360,0.08022,0.02927,0.02276,0.04986,0.01734,0.03144,0.03198,0.04986, 1.000,0.04607,0.04390
0.04282,0.03577,0.03252,0.03415,0.03469,0.03523,0.03035,0.05908,0.02602,0.03306,0.03035,0.02981,0.02602,0.02493,0.02060,0.04607, 1.000,0.03631
0.1604,0.05745,0.06341,0.1117,0.05583,0.08455,0.05908,0.06125,0.01572,0.02818,0.02331,0.02385,0.07100,0.05691,0.04173,0.04390,0.03631, 1.000
