Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.08362,0.05331,0.06202,0.04251,0.01812,0.02230,0.02091,0.02509,0.02439,0.03275,0.01882,0.03449,0.03728,0.06098,0.08502,0.04948,0.07735,0.08955
0.08362, 1.000,0.03171,0.03066,0.04042,0.02613,0.07596,0.02683,0.02857,0.03171,0.02404,0.02544,0.04599,0.03833,0.08362,0.06098,0.03171,0.09965,0.07909
0.05331,0.03171, 1.000,0.04843,0.02300,0.04007,0.02509,0.04390,0.02997,0.02718,0.04251,0.03659,0.03101,0.02857,0.03240,0.05366,0.02753,0.03902,0.03031
0.06202,0.03066,0.04843, 1.000,0.07317,0.01812,0.02578,0.01777,0.03171,0.02927,0.02927,0.03206,0.02927,0.03066,0.02544,0.03659,0.05819,0.05017,0.04669
0.04251,0.04042,0.02300,0.07317, 1.000,0.03589,0.01742,0.02369,0.03728,0.03693,0.03206,0.01847,0.05819,0.03624,0.02613,0.02648,0.04530,0.06690,0.05192
0.01812,0.02613,0.04007,0.01812,0.03589, 1.000,0.02857,0.04634,0.03310,0.02195,0.04321,0.02125,0.02997,0.04460,0.02718,0.03066,0.02404,0.02927,0.03310
0.02230,0.07596,0.02509,0.02578,0.01742,0.02857, 1.000,0.03937,0.06551,0.03136,0.02718,0.07143,0.04913,0.05923,0.04111,0.02125,0.01951,0.04460,0.02509
0.02091,0.02683,0.04390,0.01777,0.02369,0.04634,0.03937, 1.000,0.04564,0.02578,0.1359,0.03101,0.1146,0.07596,0.03624,0.03868,0.02369,0.04530,0.02404
0.02509,0.02857,0.02997,0.03171,0.03728,0.03310,0.06551,0.04564, 1.000,0.03972,0.03763,0.08153,0.02648,0.08014,0.03066,0.02892,0.05226,0.03136,0.03066
0.02439,0.03171,0.02718,0.02927,0.03693,0.02195,0.03136,0.02578,0.03972, 1.000,0.04042,0.04146,0.03972,0.02822,0.03937,0.01603,0.03345,0.03415,0.03206
0.03275,0.02404,0.04251,0.02927,0.03206,0.04321,0.02718,0.1359,0.03763,0.04042, 1.000,0.03031,0.06725,0.04321,0.03240,0.05052,0.02927,0.03519,0.03066
0.01882,0.02544,0.03659,0.03206,0.01847,0.02125,0.07143,0.03101,0.08153,0.04146,0.03031, 1.000,0.03136,0.04774,0.03066,0.02892,0.04843,0.01777,0.02021
0.03449,0.04599,0.03101,0.02927,0.05819,0.02997,0.04913,0.1146,0.02648,0.03972,0.06725,0.03136, 1.000,0.06132,0.02544,0.02369,0.02265,0.1495,0.04007
0.03728,0.03833,0.02857,0.03066,0.03624,0.04460,0.05923,0.07596,0.08014,0.02822,0.04321,0.04774,0.06132, 1.000,0.05366,0.02439,0.01847,0.05157,0.03171
0.06098,0.08362,0.03240,0.02544,0.02613,0.02718,0.04111,0.03624,0.03066,0.03937,0.03240,0.03066,0.02544,0.05366, 1.000,0.07770,0.01986,0.04042,0.03206
0.08502,0.06098,0.05366,0.03659,0.02648,0.03066,0.02125,0.03868,0.02892,0.01603,0.05052,0.02892,0.02369,0.02439,0.07770, 1.000,0.05610,0.02822,0.05052
0.04948,0.03171,0.02753,0.05819,0.04530,0.02404,0.01951,0.02369,0.05226,0.03345,0.02927,0.04843,0.02265,0.01847,0.01986,0.05610, 1.000,0.03415,0.1213
0.07735,0.09965,0.03902,0.05017,0.06690,0.02927,0.04460,0.04530,0.03136,0.03415,0.03519,0.01777,0.1495,0.05157,0.04042,0.02822,0.03415, 1.000,0.1463
0.08955,0.07909,0.03031,0.04669,0.05192,0.03310,0.02509,0.02404,0.03066,0.03206,0.03066,0.02021,0.04007,0.03171,0.03206,0.05052,0.1213,0.1463, 1.000
