Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1
 1.000,0.1118,0.04658,0.03168,0.03665,0.03478,0.04534,0.03043,0.04161,0.03478,0.02795,0.02919,0.02484,0.1267,0.3087,0.09565,0.03478,0.03851
0.1118, 1.000,0.01677,0.02298,0.03602,0.04720,0.09938,0.01242,0.05839,0.04224,0.02298,0.05093,0.03789,0.1186,0.1062,0.04224,0.02795,0.03416
0.04658,0.01677, 1.000,0.03975,0.02733,0.02174,0.02733,0.09255,0.02298,0.02857,0.03851,0.01863,0.01553,0.02236,0.05466,0.06335,0.02981,0.02795
0.03168,0.02298,0.03975, 1.000,0.09317,0.03665,0.02236,0.01863,0.04720,0.02422,0.02547,0.03354,0.03975,0.01925,0.02919,0.04286,0.04845,0.04596
0.03665,0.03602,0.02733,0.09317, 1.000,0.1199,0.03727,0.02360,0.02422,0.04783,0.03354,0.02050,0.07640,0.03727,0.02609,0.03789,0.05342,0.06832
0.03478,0.04720,0.02174,0.03665,0.1199, 1.000,0.07205,0.03043,0.02236,0.03168,0.03230,0.04907,0.03789,0.04783,0.02671,0.03540,0.03727,0.05155
0.04534,0.09938,0.02733,0.02236,0.03727,0.07205, 1.000,0.01988,0.03354,0.01677,0.02857,0.1068,0.04286,0.05590,0.04783,0.03292,0.03043,0.02174
0.03043,0.01242,0.09255,0.01863,0.02360,0.03043,0.01988, 1.000,0.01118,0.01615,0.05093,0.04348,0.01801,0.02112,0.03292,0.04907,0.02857,0.02547
0.04161,0.05839,0.02298,0.04720,0.02422,0.02236,0.03354,0.01118, 1.000,0.03851,0.02547,0.03478,0.03975,0.02981,0.01988,0.02609,0.03665,0.02671
0.03478,0.04224,0.02857,0.02422,0.04783,0.03168,0.01677,0.01615,0.03851, 1.000,0.05342,0.01988,0.03230,0.02112,0.04161,0.02671,0.02981,0.02422
0.02795,0.02298,0.03851,0.02547,0.03354,0.03230,0.02857,0.05093,0.02547,0.05342, 1.000,0.04224,0.05155,0.02422,0.03292,0.05342,0.01863,0.03168
0.02919,0.05093,0.01863,0.03354,0.02050,0.04907,0.1068,0.04348,0.03478,0.01988,0.04224, 1.000,0.04224,0.05714,0.03106,0.01925,0.01677,0.01801
0.02484,0.03789,0.01553,0.03975,0.07640,0.03789,0.04286,0.01801,0.03975,0.03230,0.05155,0.04224, 1.000,0.05217,0.02609,0.02733,0.02857,0.2050
0.1267,0.1186,0.02236,0.01925,0.03727,0.04783,0.05590,0.02112,0.02981,0.02112,0.02422,0.05714,0.05217, 1.000,0.1124,0.02609,0.02174,0.07453
0.3087,0.1062,0.05466,0.02919,0.02609,0.02671,0.04783,0.03292,0.01988,0.04161,0.03292,0.03106,0.02609,0.1124, 1.000,0.1019,0.02112,0.02547
0.09565,0.04224,0.06335,0.04286,0.03789,0.03540,0.03292,0.04907,0.02609,0.02671,0.05342,0.01925,0.02733,0.02609,0.1019, 1.000,0.05031,0.03665
0.03478,0.02795,0.02981,0.04845,0.05342,0.03727,0.03043,0.02857,0.03665,0.02981,0.01863,0.01677,0.02857,0.02174,0.02112,0.05031, 1.000,0.03106
0.03851,0.03416,0.02795,0.04596,0.06832,0.05155,0.02174,0.02547,0.02671,0.02422,0.03168,0.01801,0.2050,0.07453,0.02547,0.03665,0.03106, 1.000
