Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1767,0.1218,0.08346,0.04286,0.04286,0.04361,0.02180,0.01654,0.01955,0.03835,0.01955,0.03609,0.04361,0.03910,0.05038,0.01353,0.05489,0.03158
0.1767, 1.000,0.04586,0.05865,0.06090,0.09323,0.1451,0.01729,0.01504,0.008271,0.04361,0.02556,0.06391,0.06617,0.03534,0.03308,0.01729,0.06992,0.05113
0.1218,0.04586, 1.000,0.07368,0.02932,0.03759,0.03985,0.05338,0.02331,0.02256,0.02481,0.03383,0.01654,0.03534,0.05113,0.07895,0.01504,0.03609,0.06241
0.08346,0.05865,0.07368, 1.000,0.2120,0.09248,0.03158,0.03158,0.05714,0.03459,0.02331,0.02256,0.02932,0.02556,0.03684,0.06917,0.02707,0.05414,0.1383
0.04286,0.06090,0.02932,0.2120, 1.000,0.2188,0.03759,0.02782,0.04060,0.1105,0.04135,0.02030,0.05188,0.04135,0.02857,0.03158,0.03534,0.07293,0.09173
0.04286,0.09323,0.03759,0.09248,0.2188, 1.000,0.07970,0.03233,0.03083,0.06391,0.1030,0.02331,0.05940,0.03233,0.02030,0.03759,0.03008,0.06842,0.09323
0.04361,0.1451,0.03985,0.03158,0.03759,0.07970, 1.000,0.02105,0.02406,0.02406,0.03308,0.04436,0.05940,0.07293,0.06992,0.03910,0.01654,0.05038,0.04511
0.02180,0.01729,0.05338,0.03158,0.02782,0.03233,0.02105, 1.000,0.02406,0.02180,0.09323,0.04361,0.05940,0.02632,0.03684,0.06165,0.03083,0.02105,0.03008
0.01654,0.01504,0.02331,0.05714,0.04060,0.03083,0.02406,0.02406, 1.000,0.07143,0.02030,0.08496,0.02030,0.03910,0.03534,0.02932,0.09248,0.02331,0.05714
0.01955,0.008271,0.02256,0.03459,0.1105,0.06391,0.02406,0.02180,0.07143, 1.000,0.05038,0.02782,0.04962,0.03609,0.04286,0.01805,0.04060,0.03985,0.04662
0.03835,0.04361,0.02481,0.02331,0.04135,0.1030,0.03308,0.09323,0.02030,0.05038, 1.000,0.02707,0.1346,0.03910,0.04060,0.04361,0.02030,0.04286,0.02632
0.01955,0.02556,0.03383,0.02256,0.02030,0.02331,0.04436,0.04361,0.08496,0.02782,0.02707, 1.000,0.03835,0.05038,0.03459,0.03534,0.1489,0.01955,0.02857
0.03609,0.06391,0.01654,0.02932,0.05188,0.05940,0.05940,0.05940,0.02030,0.04962,0.1346,0.03835, 1.000,0.05188,0.02481,0.02481,0.006015,0.05714,0.02180
0.04361,0.06617,0.03534,0.02556,0.04135,0.03233,0.07293,0.02632,0.03910,0.03609,0.03910,0.05038,0.05188, 1.000,0.07218,0.03008,0.02406,0.05188,0.009774
0.03910,0.03534,0.05113,0.03684,0.02857,0.02030,0.06992,0.03684,0.03534,0.04286,0.04060,0.03459,0.02481,0.07218, 1.000,0.03308,0.02707,0.02556,0.01880
0.05038,0.03308,0.07895,0.06917,0.03158,0.03759,0.03910,0.06165,0.02932,0.01805,0.04361,0.03534,0.02481,0.03008,0.03308, 1.000,0.04286,0.02481,0.09474
0.01353,0.01729,0.01504,0.02707,0.03534,0.03008,0.01654,0.03083,0.09248,0.04060,0.02030,0.1489,0.006015,0.02406,0.02707,0.04286, 1.000,0.01504,0.05940
0.05489,0.06992,0.03609,0.05414,0.07293,0.06842,0.05038,0.02105,0.02331,0.03985,0.04286,0.01955,0.05714,0.05188,0.02556,0.02481,0.01504, 1.000,0.04361
0.03158,0.05113,0.06241,0.1383,0.09173,0.09323,0.04511,0.03008,0.05714,0.04662,0.02632,0.02857,0.02180,0.009774,0.01880,0.09474,0.05940,0.04361, 1.000
