Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1248,0.06460,0.09068,0.07888,0.04720,0.03292,0.03043,0.02112,0.02547,0.02857,0.02112,0.05652,0.07329,0.07267,0.05652,0.03230,0.07081,0.05590
0.1248, 1.000,0.02298,0.04720,0.06894,0.1199,0.1224,0.02050,0.01739,0.02360,0.02112,0.01615,0.05093,0.07578,0.08758,0.03851,0.02174,0.05528,0.04845
0.06460,0.02298, 1.000,0.05963,0.03851,0.02981,0.02298,0.05963,0.02795,0.02795,0.05031,0.03478,0.04286,0.04037,0.03478,0.06584,0.01863,0.04410,0.04099
0.09068,0.04720,0.05963, 1.000,0.2118,0.06335,0.03230,0.03416,0.03292,0.04783,0.02112,0.04224,0.04845,0.02981,0.03230,0.03789,0.08075,0.06522,0.09317
0.07888,0.06894,0.03851,0.2118, 1.000,0.1435,0.03354,0.03043,0.03975,0.08571,0.03478,0.02484,0.06894,0.04907,0.03292,0.02422,0.04969,0.09627,0.06770
0.04720,0.1199,0.02981,0.06335,0.1435, 1.000,0.09441,0.04348,0.02733,0.04472,0.06646,0.01801,0.1075,0.09193,0.03789,0.02298,0.04037,0.08261,0.05155
0.03292,0.1224,0.02298,0.03230,0.03354,0.09441, 1.000,0.03106,0.03665,0.02857,0.04224,0.05776,0.03727,0.07764,0.05901,0.02919,0.02609,0.02981,0.03043
0.03043,0.02050,0.05963,0.03416,0.03043,0.04348,0.03106, 1.000,0.03727,0.02360,0.1286,0.03478,0.06522,0.05280,0.02733,0.03975,0.02236,0.02981,0.01925
0.02112,0.01739,0.02795,0.03292,0.03975,0.02733,0.03665,0.03727, 1.000,0.05217,0.02919,0.08199,0.02174,0.03043,0.01739,0.03292,0.07019,0.02422,0.03354
0.02547,0.02360,0.02795,0.04783,0.08571,0.04472,0.02857,0.02360,0.05217, 1.000,0.05280,0.05528,0.06335,0.02795,0.03354,0.02547,0.06522,0.06894,0.03106
0.02857,0.02112,0.05031,0.02112,0.03478,0.06646,0.04224,0.1286,0.02919,0.05280, 1.000,0.03727,0.1006,0.03727,0.02609,0.04720,0.03043,0.05901,0.02609
0.02112,0.01615,0.03478,0.04224,0.02484,0.01801,0.05776,0.03478,0.08199,0.05528,0.03727, 1.000,0.02422,0.01615,0.03416,0.02422,0.04969,0.02422,0.02236
0.05652,0.05093,0.04286,0.04845,0.06894,0.1075,0.03727,0.06522,0.02174,0.06335,0.1006,0.02422, 1.000,0.07329,0.01988,0.02919,0.02609,0.1354,0.03354
0.07329,0.07578,0.04037,0.02981,0.04907,0.09193,0.07764,0.05280,0.03043,0.02795,0.03727,0.01615,0.07329, 1.000,0.04907,0.01429,0.02360,0.08199,0.03540
0.07267,0.08758,0.03478,0.03230,0.03292,0.03789,0.05901,0.02733,0.01739,0.03354,0.02609,0.03416,0.01988,0.04907, 1.000,0.08571,0.01739,0.02795,0.04286
0.05652,0.03851,0.06584,0.03789,0.02422,0.02298,0.02919,0.03975,0.03292,0.02547,0.04720,0.02422,0.02919,0.01429,0.08571, 1.000,0.06957,0.02547,0.08571
0.03230,0.02174,0.01863,0.08075,0.04969,0.04037,0.02609,0.02236,0.07019,0.06522,0.03043,0.04969,0.02609,0.02360,0.01739,0.06957, 1.000,0.02609,0.07702
0.07081,0.05528,0.04410,0.06522,0.09627,0.08261,0.02981,0.02981,0.02422,0.06894,0.05901,0.02422,0.1354,0.08199,0.02795,0.02547,0.02609, 1.000,0.07019
0.05590,0.04845,0.04099,0.09317,0.06770,0.05155,0.03043,0.01925,0.03354,0.03106,0.02609,0.02236,0.03354,0.03540,0.04286,0.08571,0.07702,0.07019, 1.000
