Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2283,0.08478,0.1088,0.1021,0.06943,0.03538,0.02403,0.03672,0.02537,0.01802,0.02603,0.03872,0.05340,0.04940,0.08678,0.04005,0.09479,0.1055
0.2283, 1.000,0.04539,0.05607,0.08879,0.1148,0.08879,0.02537,0.03004,0.03939,0.02804,0.02270,0.04740,0.08211,0.09746,0.07677,0.03471,0.1021,0.07143
0.08478,0.04539, 1.000,0.04873,0.03738,0.03071,0.03204,0.07009,0.02403,0.01469,0.02670,0.01268,0.01869,0.02870,0.04539,0.09746,0.03672,0.04539,0.05274
0.1088,0.05607,0.04873, 1.000,0.1328,0.06409,0.01469,0.01602,0.07343,0.05874,0.01402,0.03805,0.04072,0.03872,0.03204,0.07477,0.09413,0.06409,0.1515
0.1021,0.08879,0.03738,0.1328, 1.000,0.1615,0.02603,0.02336,0.03471,0.09479,0.03204,0.01869,0.06142,0.03471,0.03405,0.04473,0.07343,0.09413,0.1121
0.06943,0.1148,0.03071,0.06409,0.1615, 1.000,0.06342,0.02336,0.02870,0.04272,0.03939,0.01202,0.05874,0.05541,0.03605,0.04206,0.04539,0.1041,0.08678
0.03538,0.08879,0.03204,0.01469,0.02603,0.06342, 1.000,0.02603,0.02403,0.01869,0.04139,0.04473,0.03939,0.1008,0.04806,0.03538,0.02003,0.03805,0.03471
0.02403,0.02537,0.07009,0.01602,0.02336,0.02336,0.02603, 1.000,0.02470,0.02336,0.06475,0.01535,0.04339,0.02203,0.02737,0.02470,0.01736,0.02336,0.02203
0.03672,0.03004,0.02403,0.07343,0.03471,0.02870,0.02403,0.02470, 1.000,0.05140,0.01736,0.04206,0.02403,0.03271,0.03204,0.03538,0.05340,0.01802,0.05607
0.02537,0.03939,0.01469,0.05874,0.09479,0.04272,0.01869,0.02336,0.05140, 1.000,0.03872,0.03872,0.05607,0.01535,0.02937,0.02670,0.05007,0.03939,0.05140
0.01802,0.02804,0.02670,0.01402,0.03204,0.03939,0.04139,0.06475,0.01736,0.03872, 1.000,0.02136,0.07276,0.02336,0.01068,0.01936,0.02270,0.04206,0.01936
0.02603,0.02270,0.01268,0.03805,0.01869,0.01202,0.04473,0.01535,0.04206,0.03872,0.02136, 1.000,0.01669,0.02069,0.02270,0.02270,0.06275,0.02870,0.02737
0.03872,0.04740,0.01869,0.04072,0.06142,0.05874,0.03939,0.04339,0.02403,0.05607,0.07276,0.01669, 1.000,0.06742,0.02069,0.02069,0.02069,0.1502,0.03004
0.05340,0.08211,0.02870,0.03872,0.03471,0.05541,0.1008,0.02203,0.03271,0.01535,0.02336,0.02069,0.06742, 1.000,0.08945,0.03338,0.02136,0.08611,0.03071
0.04940,0.09746,0.04539,0.03204,0.03405,0.03605,0.04806,0.02737,0.03204,0.02937,0.01068,0.02270,0.02069,0.08945, 1.000,0.08011,0.01736,0.03471,0.03939
0.08678,0.07677,0.09746,0.07477,0.04473,0.04206,0.03538,0.02470,0.03538,0.02670,0.01936,0.02270,0.02069,0.03338,0.08011, 1.000,0.06676,0.01869,0.09880
0.04005,0.03471,0.03672,0.09413,0.07343,0.04539,0.02003,0.01736,0.05340,0.05007,0.02270,0.06275,0.02069,0.02136,0.01736,0.06676, 1.000,0.03138,0.1562
0.09479,0.1021,0.04539,0.06409,0.09413,0.1041,0.03805,0.02336,0.01802,0.03939,0.04206,0.02870,0.1502,0.08611,0.03471,0.01869,0.03138, 1.000,0.07810
0.1055,0.07143,0.05274,0.1515,0.1121,0.08678,0.03471,0.02203,0.05607,0.05140,0.01936,0.02737,0.03004,0.03071,0.03939,0.09880,0.1562,0.07810, 1.000
