Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.09205,0.06554,0.1016,0.06701,0.04713,0.04197,0.01988,0.02504,0.01988,0.02946,0.01473,0.02798,0.06186,0.06480,0.05228,0.02651,0.05449,0.05891
0.09205, 1.000,0.03314,0.03682,0.1340,0.1767,0.08984,0.03019,0.02798,0.02430,0.02651,0.02946,0.06333,0.1171,0.07216,0.02651,0.02872,0.07953,0.06554
0.06554,0.03314, 1.000,0.08395,0.03461,0.02504,0.02651,0.06922,0.02725,0.02725,0.05817,0.01767,0.01841,0.02504,0.05817,0.08468,0.05081,0.02577,0.03535
0.1016,0.03682,0.08395, 1.000,0.1082,0.03535,0.01915,0.02209,0.04345,0.04345,0.04934,0.03240,0.02577,0.02135,0.04492,0.1024,0.1097,0.04566,0.09426
0.06701,0.1340,0.03461,0.1082, 1.000,0.1708,0.03756,0.02356,0.02725,0.02283,0.03314,0.02062,0.05744,0.05596,0.04860,0.04271,0.04124,0.08616,0.07511
0.04713,0.1767,0.02504,0.03535,0.1708, 1.000,0.08395,0.02725,0.01988,0.02209,0.03608,0.02798,0.09131,0.08984,0.04566,0.03240,0.03314,0.07806,0.04639
0.04197,0.08984,0.02651,0.01915,0.03756,0.08395, 1.000,0.01694,0.03166,0.01841,0.01841,0.03756,0.04197,0.07658,0.05965,0.02651,0.03166,0.03829,0.01988
0.01988,0.03019,0.06922,0.02209,0.02356,0.02725,0.01694, 1.000,0.03240,0.02872,0.04418,0.02946,0.04492,0.02872,0.02798,0.04197,0.03019,0.02430,0.02356
0.02504,0.02798,0.02725,0.04345,0.02725,0.01988,0.03166,0.03240, 1.000,0.03976,0.03240,0.03682,0.02283,0.04934,0.01694,0.02798,0.06775,0.01473,0.03829
0.01988,0.02430,0.02725,0.04345,0.02283,0.02209,0.01841,0.02872,0.03976, 1.000,0.04271,0.02062,0.02798,0.02798,0.02135,0.02725,0.03093,0.04124,0.04492
0.02946,0.02651,0.05817,0.04934,0.03314,0.03608,0.01841,0.04418,0.03240,0.04271, 1.000,0.02356,0.06996,0.03019,0.03093,0.05891,0.02135,0.03093,0.02651
0.01473,0.02946,0.01767,0.03240,0.02062,0.02798,0.03756,0.02946,0.03682,0.02062,0.02356, 1.000,0.03240,0.04124,0.02283,0.01252,0.06480,0.02356,0.01988
0.02798,0.06333,0.01841,0.02577,0.05744,0.09131,0.04197,0.04492,0.02283,0.02798,0.06996,0.03240, 1.000,0.08910,0.02651,0.02356,0.02430,0.1421,0.03093
0.06186,0.1171,0.02504,0.02135,0.05596,0.08984,0.07658,0.02872,0.04934,0.02798,0.03019,0.04124,0.08910, 1.000,0.04713,0.01915,0.02430,0.07290,0.03608
0.06480,0.07216,0.05817,0.04492,0.04860,0.04566,0.05965,0.02798,0.01694,0.02135,0.03093,0.02283,0.02651,0.04713, 1.000,0.07585,0.02651,0.04566,0.04124
0.05228,0.02651,0.08468,0.1024,0.04271,0.03240,0.02651,0.04197,0.02798,0.02725,0.05891,0.01252,0.02356,0.01915,0.07585, 1.000,0.1009,0.01988,0.06480
0.02651,0.02872,0.05081,0.1097,0.04124,0.03314,0.03166,0.03019,0.06775,0.03093,0.02135,0.06480,0.02430,0.02430,0.02651,0.1009, 1.000,0.03093,0.1134
0.05449,0.07953,0.02577,0.04566,0.08616,0.07806,0.03829,0.02430,0.01473,0.04124,0.03093,0.02356,0.1421,0.07290,0.04566,0.01988,0.03093, 1.000,0.07806
0.05891,0.06554,0.03535,0.09426,0.07511,0.04639,0.01988,0.02356,0.03829,0.04492,0.02651,0.01988,0.03093,0.03608,0.04124,0.06480,0.1134,0.07806, 1.000
