Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4022,0.1993,0.1147,0.1131,0.1134,0.1082,0.02912,0.04384,0.02177,0.04200,0.02483,0.03403,0.09626,0.1094,0.1232,0.05365,0.06376,0.09779
0.4022, 1.000,0.1944,0.09197,0.1202,0.1315,0.1245,0.02606,0.04231,0.02667,0.03433,0.03004,0.03433,0.1284,0.1186,0.09105,0.04905,0.07971,0.09933
0.1993,0.1944, 1.000,0.1048,0.06131,0.07940,0.08185,0.03188,0.03219,0.02330,0.05671,0.02361,0.02207,0.05457,0.1055,0.2109,0.05702,0.04537,0.07695
0.1147,0.09197,0.1048, 1.000,0.1153,0.06438,0.07388,0.02698,0.04200,0.02667,0.04629,0.02606,0.03219,0.04690,0.06744,0.09994,0.07296,0.04292,0.1147
0.1131,0.1202,0.06131,0.1153, 1.000,0.1775,0.07817,0.03219,0.05303,0.03311,0.03004,0.02422,0.04323,0.08001,0.06499,0.06193,0.05671,0.08155,0.1042
0.1134,0.1315,0.07940,0.06438,0.1775, 1.000,0.1229,0.03556,0.04721,0.03188,0.03035,0.02790,0.06101,0.1183,0.05487,0.06928,0.04844,0.1113,0.07756
0.1082,0.1245,0.08185,0.07388,0.07817,0.1229, 1.000,0.02882,0.04629,0.02361,0.02544,0.05120,0.05978,0.1609,0.07817,0.05487,0.02943,0.1508,0.07051
0.02912,0.02606,0.03188,0.02698,0.03219,0.03556,0.02882, 1.000,0.02269,0.04721,0.06223,0.02606,0.06315,0.02759,0.04629,0.05150,0.03250,0.03280,0.02851
0.04384,0.04231,0.03219,0.04200,0.05303,0.04721,0.04629,0.02269, 1.000,0.04169,0.03250,0.03556,0.03740,0.07357,0.04414,0.02575,0.05549,0.03495,0.03924
0.02177,0.02667,0.02330,0.02667,0.03311,0.03188,0.02361,0.04721,0.04169, 1.000,0.03250,0.03311,0.05855,0.02544,0.03985,0.02912,0.04690,0.03280,0.03587
0.04200,0.03433,0.05671,0.04629,0.03004,0.03035,0.02544,0.06223,0.03250,0.03250, 1.000,0.02820,0.03158,0.03372,0.03771,0.08952,0.03004,0.02728,0.02361
0.02483,0.03004,0.02361,0.02606,0.02422,0.02790,0.05120,0.02606,0.03556,0.03311,0.02820, 1.000,0.03495,0.04353,0.03219,0.02943,0.04660,0.03158,0.02422
0.03403,0.03433,0.02207,0.03219,0.04323,0.06101,0.05978,0.06315,0.03740,0.05855,0.03158,0.03495, 1.000,0.04997,0.02851,0.03035,0.03556,0.1882,0.06070
0.09626,0.1284,0.05457,0.04690,0.08001,0.1183,0.1609,0.02759,0.07357,0.02544,0.03372,0.04353,0.04997, 1.000,0.08492,0.04384,0.02974,0.08155,0.06070
0.1094,0.1186,0.1055,0.06744,0.06499,0.05487,0.07817,0.04629,0.04414,0.03985,0.03771,0.03219,0.02851,0.08492, 1.000,0.1324,0.03556,0.03433,0.04844
0.1232,0.09105,0.2109,0.09994,0.06193,0.06928,0.05487,0.05150,0.02575,0.02912,0.08952,0.02943,0.03035,0.04384,0.1324, 1.000,0.05273,0.03495,0.05395
0.05365,0.04905,0.05702,0.07296,0.05671,0.04844,0.02943,0.03250,0.05549,0.04690,0.03004,0.04660,0.03556,0.02974,0.03556,0.05273, 1.000,0.04139,0.1364
0.06376,0.07971,0.04537,0.04292,0.08155,0.1113,0.1508,0.03280,0.03495,0.03280,0.02728,0.03158,0.1882,0.08155,0.03433,0.03495,0.04139, 1.000,0.1055
0.09779,0.09933,0.07695,0.1147,0.1042,0.07756,0.07051,0.02851,0.03924,0.03587,0.02361,0.02422,0.06070,0.06070,0.04844,0.05395,0.1364,0.1055, 1.000
