Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2069,0.09170,0.08868,0.09070,0.07155,0.05710,0.02822,0.01847,0.03258,0.02519,0.02385,0.04535,0.04535,0.08196,0.08700,0.05542,0.08834,0.07323
0.2069, 1.000,0.04468,0.04300,0.05946,0.07726,0.09708,0.02150,0.02284,0.03426,0.03057,0.02183,0.04669,0.05744,0.07390,0.05643,0.02452,0.07491,0.04871
0.09170,0.04468, 1.000,0.09708,0.02822,0.03762,0.03594,0.06449,0.02855,0.02687,0.04468,0.02217,0.02150,0.04266,0.05207,0.06953,0.03460,0.03628,0.05375
0.08868,0.04300,0.09708, 1.000,0.09708,0.04904,0.02822,0.02990,0.02721,0.03158,0.02922,0.03930,0.02754,0.02788,0.03225,0.06584,0.07827,0.06953,0.08163
0.09070,0.05946,0.02822,0.09708, 1.000,0.1108,0.02049,0.02855,0.02385,0.04568,0.02318,0.02855,0.06550,0.03325,0.02687,0.04871,0.06046,0.06517,0.07524
0.07155,0.07726,0.03762,0.04904,0.1108, 1.000,0.03359,0.03628,0.02284,0.02083,0.04098,0.02015,0.09506,0.04636,0.03561,0.02922,0.03292,0.07894,0.06449
0.05710,0.09708,0.03594,0.02822,0.02049,0.03359, 1.000,0.02553,0.03594,0.03493,0.02754,0.05106,0.04266,0.04535,0.05173,0.03057,0.01579,0.03594,0.02922
0.02822,0.02150,0.06449,0.02990,0.02855,0.03628,0.02553, 1.000,0.02318,0.04266,0.1051,0.02956,0.1055,0.02318,0.03460,0.04064,0.02217,0.02116,0.03292
0.01847,0.02284,0.02855,0.02721,0.02385,0.02284,0.03594,0.02318, 1.000,0.04803,0.02855,0.03729,0.02855,0.04199,0.02687,0.02116,0.03292,0.02553,0.02183
0.03258,0.03426,0.02687,0.03158,0.04568,0.02083,0.03493,0.04266,0.04803, 1.000,0.06953,0.04568,0.05106,0.02452,0.03158,0.02620,0.04803,0.03628,0.03225
0.02519,0.03057,0.04468,0.02922,0.02318,0.04098,0.02754,0.1051,0.02855,0.06953, 1.000,0.02754,0.07927,0.02351,0.03090,0.03561,0.02183,0.03561,0.03527
0.02385,0.02183,0.02217,0.03930,0.02855,0.02015,0.05106,0.02956,0.03729,0.04568,0.02754, 1.000,0.02049,0.03796,0.03628,0.03057,0.04333,0.01680,0.03393
0.04535,0.04669,0.02150,0.02754,0.06550,0.09506,0.04266,0.1055,0.02855,0.05106,0.07927,0.02049, 1.000,0.03426,0.02788,0.03191,0.02855,0.1189,0.04837
0.04535,0.05744,0.04266,0.02788,0.03325,0.04636,0.04535,0.02318,0.04199,0.02452,0.02351,0.03796,0.03426, 1.000,0.08734,0.02519,0.01982,0.04602,0.03561
0.08196,0.07390,0.05207,0.03225,0.02687,0.03561,0.05173,0.03460,0.02687,0.03158,0.03090,0.03628,0.02788,0.08734, 1.000,0.05576,0.03829,0.02385,0.03796
0.08700,0.05643,0.06953,0.06584,0.04871,0.02922,0.03057,0.04064,0.02116,0.02620,0.03561,0.03057,0.03191,0.02519,0.05576, 1.000,0.03493,0.02385,0.05643
0.05542,0.02452,0.03460,0.07827,0.06046,0.03292,0.01579,0.02217,0.03292,0.04803,0.02183,0.04333,0.02855,0.01982,0.03829,0.03493, 1.000,0.03829,0.1018
0.08834,0.07491,0.03628,0.06953,0.06517,0.07894,0.03594,0.02116,0.02553,0.03628,0.03561,0.01680,0.1189,0.04602,0.02385,0.02385,0.03829, 1.000,0.09036
0.07323,0.04871,0.05375,0.08163,0.07524,0.06449,0.02922,0.03292,0.02183,0.03225,0.03527,0.03393,0.04837,0.03561,0.03796,0.05643,0.1018,0.09036, 1.000
