Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1122,0.05036,0.03933,0.03261,0.02542,0.02014,0.02974,0.02110,0.02158,0.02494,0.02014,0.05564,0.06139,0.04029,0.04556,0.03501,0.04077,0.03837
0.1122, 1.000,0.08489,0.03022,0.06091,0.02494,0.03022,0.02254,0.03261,0.02446,0.02590,0.01871,0.04556,0.1295,0.05947,0.07530,0.02782,0.05276,0.04748
0.05036,0.08489, 1.000,0.04508,0.03309,0.02494,0.02926,0.02494,0.02062,0.02014,0.03309,0.02638,0.07530,0.02782,0.03213,0.03549,0.02542,0.03261,0.03453
0.03933,0.03022,0.04508, 1.000,0.04988,0.01727,0.01966,0.02062,0.01871,0.02686,0.03261,0.02830,0.03837,0.02734,0.03022,0.04125,0.04221,0.03405,0.03741
0.03261,0.06091,0.03309,0.04988, 1.000,0.03597,0.02158,0.02110,0.02110,0.02302,0.02542,0.02398,0.02062,0.04269,0.03165,0.04940,0.04940,0.03070,0.04988
0.02542,0.02494,0.02494,0.01727,0.03597, 1.000,0.03165,0.03645,0.01918,0.02014,0.02782,0.01918,0.02254,0.03549,0.03309,0.03165,0.03070,0.01966,0.02686
0.02014,0.03022,0.02926,0.01966,0.02158,0.03165, 1.000,0.02398,0.01966,0.02974,0.02206,0.02062,0.05084,0.06379,0.03885,0.02254,0.02830,0.04029,0.02254
0.02974,0.02254,0.02494,0.02062,0.02110,0.03645,0.02398, 1.000,0.02062,0.02350,0.03549,0.01966,0.02638,0.02206,0.02542,0.03789,0.02158,0.02350,0.02158
0.02110,0.03261,0.02062,0.01871,0.02110,0.01918,0.01966,0.02062, 1.000,0.05659,0.02158,0.01871,0.02974,0.03837,0.03405,0.01918,0.02542,0.02350,0.01487
0.02158,0.02446,0.02014,0.02686,0.02302,0.02014,0.02974,0.02350,0.05659, 1.000,0.02158,0.03837,0.02062,0.03070,0.02446,0.02110,0.02398,0.02062,0.02254
0.02494,0.02590,0.03309,0.03261,0.02542,0.02782,0.02206,0.03549,0.02158,0.02158, 1.000,0.02350,0.02398,0.02446,0.02254,0.02590,0.02302,0.01535,0.02350
0.02014,0.01871,0.02638,0.02830,0.02398,0.01918,0.02062,0.01966,0.01871,0.03837,0.02350, 1.000,0.02014,0.02590,0.02062,0.02110,0.02638,0.02686,0.02542
0.05564,0.04556,0.07530,0.03837,0.02062,0.02254,0.05084,0.02638,0.02974,0.02062,0.02398,0.02014, 1.000,0.03549,0.03309,0.04077,0.02878,0.03741,0.04844
0.06139,0.1295,0.02782,0.02734,0.04269,0.03549,0.06379,0.02206,0.03837,0.03070,0.02446,0.02590,0.03549, 1.000,0.1218,0.09305,0.02830,0.04077,0.02926
0.04029,0.05947,0.03213,0.03022,0.03165,0.03309,0.03885,0.02542,0.03405,0.02446,0.02254,0.02062,0.03309,0.1218, 1.000,0.03118,0.02590,0.02782,0.02782
0.04556,0.07530,0.03549,0.04125,0.04940,0.03165,0.02254,0.03789,0.01918,0.02110,0.02590,0.02110,0.04077,0.09305,0.03118, 1.000,0.03357,0.02590,0.03357
0.03501,0.02782,0.02542,0.04221,0.04940,0.03070,0.02830,0.02158,0.02542,0.02398,0.02302,0.02638,0.02878,0.02830,0.02590,0.03357, 1.000,0.03213,0.03693
0.04077,0.05276,0.03261,0.03405,0.03070,0.01966,0.04029,0.02350,0.02350,0.02062,0.01535,0.02686,0.03741,0.04077,0.02782,0.02590,0.03213, 1.000,0.06235
0.03837,0.04748,0.03453,0.03741,0.04988,0.02686,0.02254,0.02158,0.01487,0.02254,0.02350,0.02542,0.04844,0.02926,0.02782,0.03357,0.03693,0.06235, 1.000
