Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06849,0.02374,0.04658,0.04384,0.02831,0.03014,0.02192,0.02100,0.02283,0.02192,0.03014,0.03379,0.03927,0.03470,0.03288,0.02648,0.04658,0.02740
0.06849, 1.000,0.02374,0.02009,0.03288,0.03288,0.04201,0.02466,0.03653,0.02100,0.02192,0.01370,0.02831,0.04749,0.03014,0.03196,0.01918,0.04110,0.02648
0.02374,0.02374, 1.000,0.02374,0.01735,0.01461,0.01918,0.08858,0.04018,0.02648,0.03014,0.02466,0.02557,0.01735,0.02100,0.03562,0.02100,0.02557,0.02831
0.04658,0.02009,0.02374, 1.000,0.06210,0.02740,0.01553,0.01461,0.05388,0.02831,0.03105,0.02922,0.03288,0.02922,0.02740,0.03562,0.05388,0.09315,0.04932
0.04384,0.03288,0.01735,0.06210, 1.000,0.07671,0.02283,0.03927,0.01918,0.05662,0.03288,0.02648,0.02831,0.03562,0.03927,0.04292,0.03744,0.07489,0.03105
0.02831,0.03288,0.01461,0.02740,0.07671, 1.000,0.06027,0.04292,0.01826,0.03379,0.04932,0.03014,0.04018,0.03836,0.03196,0.02009,0.03470,0.07945,0.04018
0.03014,0.04201,0.01918,0.01553,0.02283,0.06027, 1.000,0.02922,0.03379,0.02192,0.03014,0.03744,0.02831,0.04110,0.03836,0.02648,0.02192,0.04110,0.02922
0.02192,0.02466,0.08858,0.01461,0.03927,0.04292,0.02922, 1.000,0.03836,0.03562,0.05936,0.01826,0.05662,0.02740,0.02192,0.02466,0.01644,0.05114,0.01553
0.02100,0.03653,0.04018,0.05388,0.01918,0.01826,0.03379,0.03836, 1.000,0.04292,0.02192,0.05297,0.01826,0.03196,0.01644,0.03744,0.06210,0.02466,0.03562
0.02283,0.02100,0.02648,0.02831,0.05662,0.03379,0.02192,0.03562,0.04292, 1.000,0.04110,0.03836,0.03744,0.02922,0.02648,0.02009,0.03562,0.03379,0.03288
0.02192,0.02192,0.03014,0.03105,0.03288,0.04932,0.03014,0.05936,0.02192,0.04110, 1.000,0.02192,0.03744,0.01735,0.01461,0.02283,0.02192,0.03288,0.02374
0.03014,0.01370,0.02466,0.02922,0.02648,0.03014,0.03744,0.01826,0.05297,0.03836,0.02192, 1.000,0.02557,0.02922,0.01644,0.03288,0.02740,0.01735,0.02192
0.03379,0.02831,0.02557,0.03288,0.02831,0.04018,0.02831,0.05662,0.01826,0.03744,0.03744,0.02557, 1.000,0.05023,0.02740,0.01826,0.02192,0.08311,0.02283
0.03927,0.04749,0.01735,0.02922,0.03562,0.03836,0.04110,0.02740,0.03196,0.02922,0.01735,0.02922,0.05023, 1.000,0.05297,0.02374,0.01461,0.08950,0.02192
0.03470,0.03014,0.02100,0.02740,0.03927,0.03196,0.03836,0.02192,0.01644,0.02648,0.01461,0.01644,0.02740,0.05297, 1.000,0.04658,0.02100,0.03014,0.02466
0.03288,0.03196,0.03562,0.03562,0.04292,0.02009,0.02648,0.02466,0.03744,0.02009,0.02283,0.03288,0.01826,0.02374,0.04658, 1.000,0.05388,0.02009,0.04749
0.02648,0.01918,0.02100,0.05388,0.03744,0.03470,0.02192,0.01644,0.06210,0.03562,0.02192,0.02740,0.02192,0.01461,0.02100,0.05388, 1.000,0.03836,0.08676
0.04658,0.04110,0.02557,0.09315,0.07489,0.07945,0.04110,0.05114,0.02466,0.03379,0.03288,0.01735,0.08311,0.08950,0.03014,0.02009,0.03836, 1.000,0.02922
0.02740,0.02648,0.02831,0.04932,0.03105,0.04018,0.02922,0.01553,0.03562,0.03288,0.02374,0.02192,0.02283,0.02192,0.02466,0.04749,0.08676,0.02922, 1.000
