Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2909,0.1152,0.1829,0.1025,0.07442,0.05834,0.02805,0.03852,0.04188,0.04263,0.04562,0.07405,0.1122,0.09574,0.09387,0.07255,0.09387,0.08601
0.2909, 1.000,0.04039,0.1021,0.1447,0.1500,0.1204,0.01720,0.04039,0.04338,0.06320,0.04450,0.08901,0.1425,0.09237,0.07367,0.07479,0.1055,0.09274
0.1152,0.04039, 1.000,0.07629,0.02842,0.02132,0.02992,0.09312,0.02655,0.02954,0.03852,0.01945,0.02954,0.05385,0.06844,0.07928,0.03515,0.04899,0.03366
0.1829,0.1021,0.07629, 1.000,0.1631,0.09387,0.03927,0.01870,0.06021,0.05497,0.04787,0.04488,0.08414,0.06694,0.06320,0.05198,0.09200,0.1122,0.1204
0.1025,0.1447,0.02842,0.1631, 1.000,0.3235,0.06096,0.03067,0.05273,0.09835,0.06657,0.03927,0.1683,0.08040,0.04450,0.03628,0.09761,0.1410,0.1253
0.07442,0.1500,0.02132,0.09387,0.3235, 1.000,0.08714,0.04001,0.04675,0.08302,0.1036,0.04450,0.1380,0.09723,0.04787,0.03441,0.07218,0.1298,0.08901
0.05834,0.1204,0.02992,0.03927,0.06096,0.08714, 1.000,0.02805,0.05011,0.04151,0.04263,0.07779,0.06395,0.1047,0.09088,0.04263,0.03702,0.06993,0.05236
0.02805,0.01720,0.09312,0.01870,0.03067,0.04001,0.02805, 1.000,0.01795,0.05871,0.08489,0.02580,0.03515,0.02506,0.03478,0.04787,0.02431,0.03515,0.02655
0.03852,0.04039,0.02655,0.06021,0.05273,0.04675,0.05011,0.01795, 1.000,0.06171,0.03852,0.06731,0.05236,0.05348,0.03254,0.01907,0.06806,0.05497,0.05535
0.04188,0.04338,0.02954,0.05497,0.09835,0.08302,0.04151,0.05871,0.06171, 1.000,0.1171,0.04226,0.08227,0.04151,0.05273,0.03740,0.06395,0.05049,0.06021
0.04263,0.06320,0.03852,0.04787,0.06657,0.1036,0.04263,0.08489,0.03852,0.1171, 1.000,0.02730,0.07666,0.05423,0.03291,0.04039,0.02580,0.05946,0.05236
0.04562,0.04450,0.01945,0.04488,0.03927,0.04450,0.07779,0.02580,0.06731,0.04226,0.02730, 1.000,0.02880,0.05011,0.04675,0.02506,0.04114,0.03852,0.02506
0.07405,0.08901,0.02954,0.08414,0.1683,0.1380,0.06395,0.03515,0.05236,0.08227,0.07666,0.02880, 1.000,0.08938,0.04226,0.02094,0.06507,0.2610,0.09798
0.1122,0.1425,0.05385,0.06694,0.08040,0.09723,0.1047,0.02506,0.05348,0.04151,0.05423,0.05011,0.08938, 1.000,0.1141,0.04525,0.03590,0.1114,0.05722
0.09574,0.09237,0.06844,0.06320,0.04450,0.04787,0.09088,0.03478,0.03254,0.05273,0.03291,0.04675,0.04226,0.1141, 1.000,0.1384,0.02506,0.03852,0.03964
0.09387,0.07367,0.07928,0.05198,0.03628,0.03441,0.04263,0.04787,0.01907,0.03740,0.04039,0.02506,0.02094,0.04525,0.1384, 1.000,0.04450,0.02693,0.05460
0.07255,0.07479,0.03515,0.09200,0.09761,0.07218,0.03702,0.02431,0.06806,0.06395,0.02580,0.04114,0.06507,0.03590,0.02506,0.04450, 1.000,0.05273,0.1627
0.09387,0.1055,0.04899,0.1122,0.1410,0.1298,0.06993,0.03515,0.05497,0.05049,0.05946,0.03852,0.2610,0.1114,0.03852,0.02693,0.05273, 1.000,0.1477
0.08601,0.09274,0.03366,0.1204,0.1253,0.08901,0.05236,0.02655,0.05535,0.06021,0.05236,0.02506,0.09798,0.05722,0.03964,0.05460,0.1627,0.1477, 1.000
