Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.2077,0.05867,0.1399,0.1352,0.05997,0.02043,0.04172,0.02390,0.02477,0.02564,0.03390,0.04476,0.07823,0.09126,0.1226,0.05910,0.07345,0.06345
0.2077, 1.000,0.03346,0.06519,0.1595,0.1725,0.06128,0.03216,0.01956,0.02955,0.03173,0.02303,0.06606,0.1173,0.09431,0.09431,0.04172,0.07779,0.04302
0.05867,0.03346, 1.000,0.04867,0.01651,0.02347,0.02651,0.1452,0.02260,0.04216,0.05172,0.02564,0.02477,0.03390,0.07866,0.09518,0.03477,0.03346,0.03738
0.1399,0.06519,0.04867, 1.000,0.1760,0.08257,0.02347,0.01999,0.03303,0.04824,0.02303,0.04954,0.06128,0.04433,0.05128,0.07823,0.1026,0.1073,0.08996
0.1352,0.1595,0.01651,0.1760, 1.000,0.2721,0.02825,0.03433,0.01782,0.06389,0.02303,0.02694,0.1604,0.05780,0.03607,0.05128,0.08648,0.1113,0.08301
0.05997,0.1725,0.02347,0.08257,0.2721, 1.000,0.03694,0.04085,0.01738,0.04694,0.04129,0.02260,0.1352,0.05041,0.03824,0.03955,0.04520,0.09387,0.05346
0.02043,0.06128,0.02651,0.02347,0.02825,0.03694, 1.000,0.02347,0.04302,0.04129,0.02303,0.08127,0.02521,0.05997,0.06215,0.03955,0.03390,0.03259,0.01608
0.04172,0.03216,0.1452,0.01999,0.03433,0.04085,0.02347, 1.000,0.02347,0.05302,0.08083,0.01651,0.05128,0.03868,0.04824,0.06562,0.02043,0.03346,0.02738
0.02390,0.01956,0.02260,0.03303,0.01782,0.01738,0.04302,0.02347, 1.000,0.04346,0.01738,0.04781,0.02173,0.04346,0.04129,0.02130,0.03607,0.02608,0.03303
0.02477,0.02955,0.04216,0.04824,0.06389,0.04694,0.04129,0.05302,0.04346, 1.000,0.08996,0.04433,0.05128,0.02564,0.04389,0.02912,0.03911,0.03477,0.02390
0.02564,0.03173,0.05172,0.02303,0.02303,0.04129,0.02303,0.08083,0.01738,0.08996, 1.000,0.02825,0.04867,0.03259,0.03781,0.04607,0.02173,0.04172,0.03911
0.03390,0.02303,0.02564,0.04954,0.02694,0.02260,0.08127,0.01651,0.04781,0.04433,0.02825, 1.000,0.03129,0.04433,0.04042,0.02347,0.06910,0.02564,0.03738
0.04476,0.06606,0.02477,0.06128,0.1604,0.1352,0.02521,0.05128,0.02173,0.05128,0.04867,0.03129, 1.000,0.06736,0.02608,0.02564,0.03216,0.1226,0.04346
0.07823,0.1173,0.03390,0.04433,0.05780,0.05041,0.05997,0.03868,0.04346,0.02564,0.03259,0.04433,0.06736, 1.000,0.1443,0.06780,0.02347,0.05259,0.02912
0.09126,0.09431,0.07866,0.05128,0.03607,0.03824,0.06215,0.04824,0.04129,0.04389,0.03781,0.04042,0.02608,0.1443, 1.000,0.1673,0.02347,0.04737,0.02868
0.1226,0.09431,0.09518,0.07823,0.05128,0.03955,0.03955,0.06562,0.02130,0.02912,0.04607,0.02347,0.02564,0.06780,0.1673, 1.000,0.06997,0.04042,0.05824
0.05910,0.04172,0.03477,0.1026,0.08648,0.04520,0.03390,0.02043,0.03607,0.03911,0.02173,0.06910,0.03216,0.02347,0.02347,0.06997, 1.000,0.05780,0.2038
0.07345,0.07779,0.03346,0.1073,0.1113,0.09387,0.03259,0.03346,0.02608,0.03477,0.04172,0.02564,0.1226,0.05259,0.04737,0.04042,0.05780, 1.000,0.1160
0.06345,0.04302,0.03738,0.08996,0.08301,0.05346,0.01608,0.02738,0.03303,0.02390,0.03911,0.03738,0.04346,0.02912,0.02868,0.05824,0.2038,0.1160, 1.000
