Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.03534,0.1219,0.1170,0.1556,0.04514,0.02094,0.02673,0.01945,0.02049,0.02554,0.02480,0.03787,0.04321,0.05079,0.06861,0.05420,0.06386,0.04351
0.03534, 1.000,0.02599,0.02465,0.03698,0.1384,0.1987,0.02673,0.02049,0.02480,0.02628,0.03727,0.02391,0.05821,0.08554,0.07173,0.02896,0.04871,0.09816
0.1219,0.02599, 1.000,0.5003,0.1258,0.03282,0.02911,0.03059,0.03995,0.03638,0.02525,0.06623,0.04826,0.03297,0.03772,0.06831,0.08375,0.03371,0.04990
0.1170,0.02465,0.5003, 1.000,0.08851,0.02896,0.02896,0.03029,0.03965,0.03430,0.02584,0.05732,0.03861,0.02792,0.03460,0.05985,0.06519,0.03104,0.03950
0.1556,0.03698,0.1258,0.08851, 1.000,0.1161,0.02034,0.02480,0.02287,0.04010,0.02628,0.03178,0.08851,0.03995,0.03906,0.04901,0.07915,0.04128,0.07514
0.04514,0.1384,0.03282,0.02896,0.1161, 1.000,0.04960,0.03252,0.02450,0.03519,0.03787,0.02554,0.05717,0.07841,0.05821,0.04975,0.04113,0.06801,0.1322
0.02094,0.1987,0.02911,0.02896,0.02034,0.04960, 1.000,0.02673,0.03802,0.04618,0.02361,0.1136,0.02109,0.03891,0.04841,0.03445,0.02302,0.02985,0.03178
0.02673,0.02673,0.03059,0.03029,0.02480,0.03252,0.02673, 1.000,0.06222,0.02911,0.05970,0.02614,0.03891,0.02955,0.02495,0.04529,0.02866,0.02361,0.02807
0.01945,0.02049,0.03995,0.03965,0.02287,0.02450,0.03802,0.06222, 1.000,0.05257,0.02747,0.07410,0.02198,0.03341,0.02034,0.02925,0.05420,0.02569,0.03698
0.02049,0.02480,0.03638,0.03430,0.04010,0.03519,0.04618,0.02911,0.05257, 1.000,0.04915,0.07291,0.07054,0.02228,0.01975,0.02792,0.05450,0.02450,0.03772
0.02554,0.02628,0.02525,0.02584,0.02628,0.03787,0.02361,0.05970,0.02747,0.04915, 1.000,0.02569,0.04262,0.03119,0.02643,0.02688,0.02851,0.02628,0.02317
0.02480,0.03727,0.06623,0.05732,0.03178,0.02554,0.1136,0.02614,0.07410,0.07291,0.02569, 1.000,0.02361,0.02391,0.02747,0.02851,0.06534,0.02628,0.02450
0.03787,0.02391,0.04826,0.03861,0.08851,0.05717,0.02109,0.03891,0.02198,0.07054,0.04262,0.02361, 1.000,0.09252,0.02584,0.02435,0.03653,0.04084,0.03609
0.04321,0.05821,0.03297,0.02792,0.03995,0.07841,0.03891,0.02955,0.03341,0.02228,0.03119,0.02391,0.09252, 1.000,0.04410,0.02124,0.01886,0.07247,0.03193
0.05079,0.08554,0.03772,0.03460,0.03906,0.05821,0.04841,0.02495,0.02034,0.01975,0.02643,0.02747,0.02584,0.04410, 1.000,0.04336,0.02495,0.04915,0.04485
0.06861,0.07173,0.06831,0.05985,0.04901,0.04975,0.03445,0.04529,0.02925,0.02792,0.02688,0.02851,0.02435,0.02124,0.04336, 1.000,0.1393,0.03371,0.1249
0.05420,0.02896,0.08375,0.06519,0.07915,0.04113,0.02302,0.02866,0.05420,0.05450,0.02851,0.06534,0.03653,0.01886,0.02495,0.1393, 1.000,0.02851,0.1195
0.06386,0.04871,0.03371,0.03104,0.04128,0.06801,0.02985,0.02361,0.02569,0.02450,0.02628,0.02628,0.04084,0.07247,0.04915,0.03371,0.02851, 1.000,0.07781
0.04351,0.09816,0.04990,0.03950,0.07514,0.1322,0.03178,0.02807,0.03698,0.03772,0.02317,0.02450,0.03609,0.03193,0.04485,0.1249,0.1195,0.07781, 1.000
