Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1579,0.05742,0.04944,0.07496,0.07177,0.07815,0.01116,0.02233,0.03987,0.02233,0.04625,0.03828,0.08772,0.09250,0.1069,0.06220,0.05901,0.1069
0.1579, 1.000,0.04625,0.06061,0.1276,0.1946,0.1738,0.04466,0.04785,0.03509,0.02871,0.02871,0.07177,0.1499,0.1037,0.05582,0.05582,0.07018,0.1085
0.05742,0.04625, 1.000,0.05901,0.05423,0.02233,0.02392,0.1579,0.02711,0.04306,0.05582,0.03668,0.04147,0.01276,0.04785,0.1308,0.03030,0.03349,0.04147
0.04944,0.06061,0.05901, 1.000,0.2982,0.1770,0.05582,0.05423,0.06061,0.04785,0.009569,0.04147,0.05742,0.06380,0.06220,0.1005,0.1212,0.1404,0.2568
0.07496,0.1276,0.05423,0.2982, 1.000,0.3620,0.05104,0.06539,0.03190,0.09569,0.03190,0.05423,0.1037,0.07177,0.04625,0.04306,0.1021,0.1962,0.2137
0.07177,0.1946,0.02233,0.1770,0.3620, 1.000,0.1164,0.05582,0.02073,0.04466,0.03349,0.02871,0.1499,0.1212,0.08134,0.05104,0.06699,0.1914,0.1611
0.07815,0.1738,0.02392,0.05582,0.05104,0.1164, 1.000,0.03987,0.04944,0.03030,0.02552,0.06858,0.08931,0.2616,0.1053,0.03987,0.02711,0.09250,0.05104
0.01116,0.04466,0.1579,0.05423,0.06539,0.05582,0.03987, 1.000,0.03190,0.08931,0.05901,0.02711,0.1005,0.04306,0.03509,0.03828,0.02233,0.06380,0.02233
0.02233,0.04785,0.02711,0.06061,0.03190,0.02073,0.04944,0.03190, 1.000,0.07177,0.009569,0.03987,0.04147,0.06061,0.03349,0.02871,0.09888,0.02392,0.04306
0.03987,0.03509,0.04306,0.04785,0.09569,0.04466,0.03030,0.08931,0.07177, 1.000,0.07177,0.05582,0.06061,0.02552,0.04466,0.02073,0.06220,0.03828,0.04466
0.02233,0.02871,0.05582,0.009569,0.03190,0.03349,0.02552,0.05901,0.009569,0.07177, 1.000,0.04147,0.07496,0.02711,0.01914,0.04466,0.02392,0.04785,0.02552
0.04625,0.02871,0.03668,0.04147,0.05423,0.02871,0.06858,0.02711,0.03987,0.05582,0.04147, 1.000,0.02233,0.03668,0.06380,0.03987,0.04785,0.01595,0.04147
0.03828,0.07177,0.04147,0.05742,0.1037,0.1499,0.08931,0.1005,0.04147,0.06061,0.07496,0.02233, 1.000,0.1069,0.05263,0.03828,0.03509,0.1978,0.07974
0.08772,0.1499,0.01276,0.06380,0.07177,0.1212,0.2616,0.04306,0.06061,0.02552,0.02711,0.03668,0.1069, 1.000,0.1531,0.03987,0.03668,0.09729,0.07974
0.09250,0.1037,0.04785,0.06220,0.04625,0.08134,0.1053,0.03509,0.03349,0.04466,0.01914,0.06380,0.05263,0.1531, 1.000,0.1037,0.06061,0.07337,0.09091
0.1069,0.05582,0.1308,0.1005,0.04306,0.05104,0.03987,0.03828,0.02871,0.02073,0.04466,0.03987,0.03828,0.03987,0.1037, 1.000,0.07496,0.05582,0.1069
0.06220,0.05582,0.03030,0.1212,0.1021,0.06699,0.02711,0.02233,0.09888,0.06220,0.02392,0.04785,0.03509,0.03668,0.06061,0.07496, 1.000,0.04944,0.2616
0.05901,0.07018,0.03349,0.1404,0.1962,0.1914,0.09250,0.06380,0.02392,0.03828,0.04785,0.01595,0.1978,0.09729,0.07337,0.05582,0.04944, 1.000,0.1707
0.1069,0.1085,0.04147,0.2568,0.2137,0.1611,0.05104,0.02233,0.04306,0.04466,0.02552,0.04147,0.07974,0.07974,0.09091,0.1069,0.2616,0.1707, 1.000
