Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05856,0.1105,0.06409,0.02762,0.02873,0.03204,0.02652,0.02320,0.03757,0.08840,0.03867,0.06077,0.05304,0.06851,0.1138,0.08729,0.06519,0.1160
0.05856, 1.000,0.008840,0.01878,0.04530,0.06630,0.2276,0.04309,0.07293,0.04420,0.03315,0.06409,0.06961,0.07514,0.08066,0.05635,0.05525,0.05083,0.05193
0.1105,0.008840, 1.000,0.04641,0.03757,0.02873,0.04420,0.03204,0.03094,0.04972,0.08840,0.06409,0.01326,0.004420,0.03425,0.02099,0.03536,0.02320,0.05304
0.06409,0.01878,0.04641, 1.000,0.06519,0.04309,0.02762,0.02210,0.03315,0.04088,0.02652,0.06740,0.04530,0.03867,0.02210,0.09282,0.1061,0.07735,0.1061
0.02762,0.04530,0.03757,0.06519, 1.000,0.01436,0.05083,0.05856,0.03204,0.1370,0.03978,0.04972,0.03978,0.04420,0.04088,0.06851,0.07293,0.05083,0.08840
0.02873,0.06630,0.02873,0.04309,0.01436, 1.000,0.04751,0.05525,0.03757,0.01436,0.02320,0.05635,0.1160,0.1028,0.02983,0.03646,0.03094,0.1171,0.04199
0.03204,0.2276,0.04420,0.02762,0.05083,0.04751, 1.000,0.04641,0.1304,0.1017,0.05083,0.08729,0.04641,0.04530,0.05967,0.02431,0.02320,0.02652,0.03425
0.02652,0.04309,0.03204,0.02210,0.05856,0.05525,0.04641, 1.000,0.03757,0.01989,0.06961,0.03204,0.06077,0.05746,0.02099,0.03978,0.03646,0.05414,0.03646
0.02320,0.07293,0.03094,0.03315,0.03204,0.03757,0.1304,0.03757, 1.000,0.1293,0.03204,0.1138,0.04088,0.05193,0.05635,0.05635,0.07293,0.02983,0.03867
0.03757,0.04420,0.04972,0.04088,0.1370,0.01436,0.1017,0.01989,0.1293, 1.000,0.07956,0.03204,0.01326,0.009945,0.1392,0.04862,0.07735,0.01657,0.05414
0.08840,0.03315,0.08840,0.02652,0.03978,0.02320,0.05083,0.06961,0.03204,0.07956, 1.000,0.07845,0.03867,0.03094,0.09834,0.05856,0.04972,0.04309,0.05193
0.03867,0.06409,0.06409,0.06740,0.04972,0.05635,0.08729,0.03204,0.1138,0.03204,0.07845, 1.000,0.02541,0.02873,0.02431,0.1138,0.1591,0.02099,0.06409
0.06077,0.06961,0.01326,0.04530,0.03978,0.1160,0.04641,0.06077,0.04088,0.01326,0.03867,0.02541, 1.000,0.7249,0.01768,0.02873,0.02983,0.4464,0.06851
0.05304,0.07514,0.004420,0.03867,0.04420,0.1028,0.04530,0.05746,0.05193,0.009945,0.03094,0.02873,0.7249, 1.000,0.01326,0.03094,0.02099,0.3613,0.05635
0.06851,0.08066,0.03425,0.02210,0.04088,0.02983,0.05967,0.02099,0.05635,0.1392,0.09834,0.02431,0.01768,0.01326, 1.000,0.07514,0.07293,0.01326,0.03757
0.1138,0.05635,0.02099,0.09282,0.06851,0.03646,0.02431,0.03978,0.05635,0.04862,0.05856,0.1138,0.02873,0.03094,0.07514, 1.000,0.5878,0.03425,0.2575
0.08729,0.05525,0.03536,0.1061,0.07293,0.03094,0.02320,0.03646,0.07293,0.07735,0.04972,0.1591,0.02983,0.02099,0.07293,0.5878, 1.000,0.05083,0.3182
0.06519,0.05083,0.02320,0.07735,0.05083,0.1171,0.02652,0.05414,0.02983,0.01657,0.04309,0.02099,0.4464,0.3613,0.01326,0.03425,0.05083, 1.000,0.1227
0.1160,0.05193,0.05304,0.1061,0.08840,0.04199,0.03425,0.03646,0.03867,0.05414,0.05193,0.06409,0.06851,0.05635,0.03757,0.2575,0.3182,0.1227, 1.000
