Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.02816,0.08414,0.03280,0.02816,0.02674,0.01854,0.02602,0.02103,0.01889,0.01747,0.03601,0.02531,0.02424,0.03708,0.03494,0.02460,0.02531,0.04848
0.02816, 1.000,0.02139,0.01925,0.02602,0.02852,0.02282,0.02210,0.02709,0.03209,0.02531,0.02317,0.02424,0.02923,0.02852,0.02496,0.02246,0.02496,0.02282
0.08414,0.02139, 1.000,0.04813,0.01783,0.02389,0.02424,0.03922,0.01925,0.02496,0.03815,0.02246,0.02210,0.02389,0.03743,0.04492,0.02496,0.02602,0.03173
0.03280,0.01925,0.04813, 1.000,0.02995,0.01996,0.01961,0.02389,0.02175,0.02068,0.01996,0.02210,0.02602,0.02389,0.03137,0.03244,0.03173,0.02175,0.03102
0.02816,0.02602,0.01783,0.02995, 1.000,0.03815,0.02175,0.02175,0.02032,0.03244,0.02103,0.02175,0.02745,0.02460,0.02567,0.02531,0.02496,0.03030,0.02424
0.02674,0.02852,0.02389,0.01996,0.03815, 1.000,0.02638,0.02923,0.02282,0.02103,0.02923,0.01818,0.02923,0.03209,0.03137,0.02674,0.02745,0.03209,0.02674
0.01854,0.02282,0.02424,0.01961,0.02175,0.02638, 1.000,0.02068,0.02602,0.03387,0.02389,0.03815,0.01961,0.03173,0.03137,0.02103,0.01996,0.03244,0.02068
0.02602,0.02210,0.03922,0.02389,0.02175,0.02923,0.02068, 1.000,0.01996,0.02460,0.02103,0.02317,0.02959,0.01925,0.01889,0.02460,0.02103,0.02602,0.01783
0.02103,0.02709,0.01925,0.02175,0.02032,0.02282,0.02602,0.01996, 1.000,0.02816,0.01925,0.02496,0.02460,0.03351,0.02353,0.02852,0.02567,0.02032,0.02496
0.01889,0.03209,0.02496,0.02068,0.03244,0.02103,0.03387,0.02460,0.02816, 1.000,0.02282,0.02317,0.02246,0.02424,0.02602,0.01996,0.02389,0.02531,0.02317
0.01747,0.02531,0.03815,0.01996,0.02103,0.02923,0.02389,0.02103,0.01925,0.02282, 1.000,0.02567,0.02531,0.02638,0.01961,0.02638,0.02246,0.02923,0.02032
0.03601,0.02317,0.02246,0.02210,0.02175,0.01818,0.03815,0.02317,0.02496,0.02317,0.02567, 1.000,0.02068,0.02460,0.02175,0.02317,0.02638,0.02103,0.02496
0.02531,0.02424,0.02210,0.02602,0.02745,0.02923,0.01961,0.02959,0.02460,0.02246,0.02531,0.02068, 1.000,0.03779,0.02317,0.02175,0.02246,0.04171,0.02496
0.02424,0.02923,0.02389,0.02389,0.02460,0.03209,0.03173,0.01925,0.03351,0.02424,0.02638,0.02460,0.03779, 1.000,0.03636,0.02246,0.02139,0.04635,0.02282
0.03708,0.02852,0.03743,0.03137,0.02567,0.03137,0.03137,0.01889,0.02353,0.02602,0.01961,0.02175,0.02317,0.03636, 1.000,0.03565,0.02246,0.02424,0.02424
0.03494,0.02496,0.04492,0.03244,0.02531,0.02674,0.02103,0.02460,0.02852,0.01996,0.02638,0.02317,0.02175,0.02246,0.03565, 1.000,0.03422,0.02816,0.03529
0.02460,0.02246,0.02496,0.03173,0.02496,0.02745,0.01996,0.02103,0.02567,0.02389,0.02246,0.02638,0.02246,0.02139,0.02246,0.03422, 1.000,0.02888,0.02424
0.02531,0.02496,0.02602,0.02175,0.03030,0.03209,0.03244,0.02602,0.02032,0.02531,0.02923,0.02103,0.04171,0.04635,0.02424,0.02816,0.02888, 1.000,0.02959
0.04848,0.02282,0.03173,0.03102,0.02424,0.02674,0.02068,0.01783,0.02496,0.02317,0.02032,0.02496,0.02496,0.02282,0.02424,0.03529,0.02424,0.02959, 1.000
