Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1159,0.06700,0.1264,0.1107,0.05419,0.03744,0.02923,0.02562,0.02759,0.02890,0.02036,0.03612,0.04565,0.06338,0.09425,0.04401,0.07061,0.09163
0.1159, 1.000,0.02759,0.05320,0.1140,0.1727,0.1215,0.03186,0.02791,0.02299,0.01970,0.03415,0.04795,0.06404,0.06798,0.05977,0.04696,0.07455,0.08604
0.06700,0.02759, 1.000,0.04762,0.02430,0.02627,0.01970,0.06568,0.02463,0.02529,0.03810,0.02102,0.02496,0.02496,0.03974,0.06338,0.02791,0.02759,0.04007
0.1264,0.05320,0.04762, 1.000,0.1126,0.03514,0.01970,0.02463,0.04565,0.03842,0.02857,0.02693,0.03350,0.02627,0.03021,0.05813,0.04795,0.04466,0.06371
0.1107,0.1140,0.02430,0.1126, 1.000,0.1232,0.02791,0.03383,0.02726,0.05780,0.02135,0.02233,0.06043,0.03612,0.03284,0.04171,0.04729,0.07783,0.07061
0.05419,0.1727,0.02627,0.03514,0.1232, 1.000,0.05517,0.03448,0.02923,0.03383,0.03547,0.02430,0.05386,0.04138,0.03875,0.02923,0.03383,0.06371,0.06076
0.03744,0.1215,0.01970,0.01970,0.02791,0.05517, 1.000,0.02069,0.02332,0.03120,0.02266,0.1186,0.04007,0.05714,0.04992,0.02627,0.02003,0.04072,0.03842
0.02923,0.03186,0.06568,0.02463,0.03383,0.03448,0.02069, 1.000,0.02200,0.03875,0.04893,0.02529,0.05550,0.02135,0.03021,0.04696,0.02627,0.02529,0.02857
0.02562,0.02791,0.02463,0.04565,0.02726,0.02923,0.02332,0.02200, 1.000,0.04532,0.02956,0.06207,0.02562,0.03744,0.02660,0.03087,0.03711,0.02463,0.03284
0.02759,0.02299,0.02529,0.03842,0.05780,0.03383,0.03120,0.03875,0.04532, 1.000,0.03514,0.03021,0.04433,0.02003,0.04138,0.02923,0.03284,0.03645,0.03186
0.02890,0.01970,0.03810,0.02857,0.02135,0.03547,0.02266,0.04893,0.02956,0.03514, 1.000,0.03481,0.05714,0.02956,0.02397,0.04138,0.01872,0.03744,0.01839
0.02036,0.03415,0.02102,0.02693,0.02233,0.02430,0.1186,0.02529,0.06207,0.03021,0.03481, 1.000,0.02890,0.05156,0.03612,0.02332,0.03481,0.03415,0.02529
0.03612,0.04795,0.02496,0.03350,0.06043,0.05386,0.04007,0.05550,0.02562,0.04433,0.05714,0.02890, 1.000,0.05977,0.02627,0.02200,0.02299,0.1488,0.02233
0.04565,0.06404,0.02496,0.02627,0.03612,0.04138,0.05714,0.02135,0.03744,0.02003,0.02956,0.05156,0.05977, 1.000,0.08013,0.02036,0.02693,0.07225,0.02332
0.06338,0.06798,0.03974,0.03021,0.03284,0.03875,0.04992,0.03021,0.02660,0.04138,0.02397,0.03612,0.02627,0.08013, 1.000,0.05780,0.02299,0.03218,0.02989
0.09425,0.05977,0.06338,0.05813,0.04171,0.02923,0.02627,0.04696,0.03087,0.02923,0.04138,0.02332,0.02200,0.02036,0.05780, 1.000,0.06831,0.02562,0.1018
0.04401,0.04696,0.02791,0.04795,0.04729,0.03383,0.02003,0.02627,0.03711,0.03284,0.01872,0.03481,0.02299,0.02693,0.02299,0.06831, 1.000,0.02726,0.1366
0.07061,0.07455,0.02759,0.04466,0.07783,0.06371,0.04072,0.02529,0.02463,0.03645,0.03744,0.03415,0.1488,0.07225,0.03218,0.02562,0.02726, 1.000,0.03711
0.09163,0.08604,0.04007,0.06371,0.07061,0.06076,0.03842,0.02857,0.03284,0.03186,0.01839,0.02529,0.02233,0.02332,0.02989,0.1018,0.1366,0.03711, 1.000
