Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
0.05405, 1.000,0.05405,0.05405,0.2119,0.2205,0.5427,0.04000,0.06270,0.08757,0.05622,0.05405,0.05405,0.05405,0.2854,0.2951,0.1665,0.2097,0.2335
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
0.05946,0.2119,0.05946,0.05946, 1.000,0.7092,0.2249,0.04216,0.1222,0.1827,0.02919,0.05946,0.05946,0.05946,0.2173,0.3784,0.3319,0.3114,0.4508
0.04757,0.2205,0.04757,0.04757,0.7092, 1.000,0.2205,0.03459,0.1254,0.1697,0.02378,0.04757,0.04757,0.04757,0.2314,0.3903,0.3395,0.3200,0.4238
0.05622,0.5427,0.05622,0.05622,0.2249,0.2205, 1.000,0.03243,0.05622,0.08757,0.05622,0.05622,0.05622,0.05622,0.4032,0.3351,0.1459,0.2400,0.2519
0.09730,0.04000,0.09730,0.09730,0.04216,0.03459,0.03243, 1.000,0.07135,0.05189,0.06162,0.09730,0.09730,0.09730,0.03459,0.04432,0.02919,0.05730,0.03459
0.05622,0.06270,0.05622,0.05622,0.1222,0.1254,0.05622,0.07135, 1.000,0.1730,0.02919,0.05622,0.05622,0.05622,0.07568,0.1308,0.1708,0.07135,0.1503
0.04757,0.08757,0.04757,0.04757,0.1827,0.1697,0.08757,0.05189,0.1730, 1.000,0.07459,0.04757,0.04757,0.04757,0.07459,0.1038,0.1654,0.1124,0.1438
0.06378,0.05622,0.06378,0.06378,0.02919,0.02378,0.05622,0.06162,0.02919,0.07459, 1.000,0.06378,0.06378,0.06378,0.02811,0.02378,0.02811,0.06486,0.02378
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
 1.000,0.05405, 1.000, 1.000,0.05946,0.04757,0.05622,0.09730,0.05622,0.04757,0.06378, 1.000, 1.000, 1.000,0.08432,0.06919,0.05730,0.05730,0.06811
0.08432,0.2854,0.08432,0.08432,0.2173,0.2314,0.4032,0.03459,0.07568,0.07459,0.02811,0.08432,0.08432,0.08432, 1.000,0.4108,0.1319,0.1784,0.2519
0.06919,0.2951,0.06919,0.06919,0.3784,0.3903,0.3351,0.04432,0.1308,0.1038,0.02378,0.06919,0.06919,0.06919,0.4108, 1.000,0.3038,0.2573,0.5978
0.05730,0.1665,0.05730,0.05730,0.3319,0.3395,0.1459,0.02919,0.1708,0.1654,0.02811,0.05730,0.05730,0.05730,0.1319,0.3038, 1.000,0.1438,0.4368
0.05730,0.2097,0.05730,0.05730,0.3114,0.3200,0.2400,0.05730,0.07135,0.1124,0.06486,0.05730,0.05730,0.05730,0.1784,0.2573,0.1438, 1.000,0.2259
0.06811,0.2335,0.06811,0.06811,0.4508,0.4238,0.2519,0.03459,0.1503,0.1438,0.02378,0.06811,0.06811,0.06811,0.2519,0.5978,0.4368,0.2259, 1.000
