Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
0.03791,0.03791,0.03791,0.03791,0.03791, 1.000,0.1425,0.09935,0.02614,0.02745,0.04444,0.1752,0.1098,0.06928,0.03791,0.1556,0.1582,0.03791,0.1569
0.04706,0.04706,0.04706,0.04706,0.04706,0.1425, 1.000,0.06013,0.02353,0.03922,0.03660,0.1843,0.07843,0.05359,0.04706,0.1856,0.1987,0.04706,0.1634
0.02222,0.02222,0.02222,0.02222,0.02222,0.09935,0.06013, 1.000,0.02353,0.01961,0.1020,0.08497,0.4575,0.1869,0.02222,0.08758,0.07974,0.02222,0.07843
0.04967,0.04967,0.04967,0.04967,0.04967,0.02614,0.02353,0.02353, 1.000,0.2601,0.02353,0.02614,0.02222,0.02876,0.04967,0.03268,0.03137,0.04967,0.02876
0.05359,0.05359,0.05359,0.05359,0.05359,0.02745,0.03922,0.01961,0.2601, 1.000,0.01176,0.04444,0.02484,0.02484,0.05359,0.03399,0.03529,0.05359,0.04052
0.01307,0.01307,0.01307,0.01307,0.01307,0.04444,0.03660,0.1020,0.02353,0.01176, 1.000,0.03137,0.09281,0.07320,0.01307,0.03660,0.04706,0.01307,0.03399
0.03268,0.03268,0.03268,0.03268,0.03268,0.1752,0.1843,0.08497,0.02614,0.04444,0.03137, 1.000,0.08758,0.05490,0.03268,0.1778,0.2052,0.03268,0.1739
0.01569,0.01569,0.01569,0.01569,0.01569,0.1098,0.07843,0.4575,0.02222,0.02484,0.09281,0.08758, 1.000,0.1987,0.01569,0.08758,0.07712,0.01569,0.09020
0.01307,0.01307,0.01307,0.01307,0.01307,0.06928,0.05359,0.1869,0.02876,0.02484,0.07320,0.05490,0.1987, 1.000,0.01307,0.04706,0.05621,0.01307,0.08105
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
0.03922,0.03922,0.03922,0.03922,0.03922,0.1556,0.1856,0.08758,0.03268,0.03399,0.03660,0.1778,0.08758,0.04706,0.03922, 1.000,0.2105,0.03922,0.1922
0.04052,0.04052,0.04052,0.04052,0.04052,0.1582,0.1987,0.07974,0.03137,0.03529,0.04706,0.2052,0.07712,0.05621,0.04052,0.2105, 1.000,0.04052,0.2353
 1.000, 1.000, 1.000, 1.000, 1.000,0.03791,0.04706,0.02222,0.04967,0.05359,0.01307,0.03268,0.01569,0.01307, 1.000,0.03922,0.04052, 1.000,0.03791
0.03791,0.03791,0.03791,0.03791,0.03791,0.1569,0.1634,0.07843,0.02876,0.04052,0.03399,0.1739,0.09020,0.08105,0.03791,0.1922,0.2353,0.03791, 1.000
