Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.1029,0.1022,0.1111,0.02159,0.1111,0.02095,0.02159,0.09270,0.02159,0.02222,0.01206,0.09333,0.05397,0.1397,0.1359,0.1797,0.1702,0.1733
0.1029, 1.000,0.03619,0.05016,0.02603,0.4038,0.05968,0.05524,0.1994,0.02603,0.03048,0.03175,0.2038,0.09397,0.1257,0.1003,0.1352,0.1327,0.1359
0.1022,0.03619, 1.000,0.4571,0.04698,0.03619,0.02667,0.03175,0.04254,0.04698,0.03619,0.03175,0.03111,0.03238,0.07810,0.07683,0.06667,0.06984,0.08190
0.1111,0.05016,0.4571, 1.000,0.05016,0.04571,0.02730,0.02413,0.03873,0.05016,0.03810,0.03873,0.03365,0.03619,0.06984,0.07238,0.06603,0.07302,0.07238
0.02159,0.02603,0.04698,0.05016, 1.000,0.01714,0.04825,0.05460,0.02476, 1.000,0.04063,0.05016,0.02159,0.02349,0.02032,0.02476,0.02476,0.02286,0.02476
0.1111,0.4038,0.03619,0.04571,0.01714, 1.000,0.06222,0.05968,0.1962,0.01714,0.03556,0.03810,0.2152,0.07937,0.1340,0.1010,0.1422,0.1460,0.1378
0.02095,0.05968,0.02667,0.02730,0.04825,0.06222, 1.000,0.06794,0.07048,0.04825,0.08889,0.1511,0.07619,0.04698,0.06095,0.04127,0.03619,0.03492,0.05016
0.02159,0.05524,0.03175,0.02413,0.05460,0.05968,0.06794, 1.000,0.06921,0.05460,0.08698,0.08317,0.06667,0.03429,0.02286,0.02476,0.02159,0.02540,0.02667
0.09270,0.1994,0.04254,0.03873,0.02476,0.1962,0.07048,0.06921, 1.000,0.02476,0.05587,0.06476,0.2444,0.07238,0.1270,0.1086,0.1314,0.1410,0.1270
0.02159,0.02603,0.04698,0.05016, 1.000,0.01714,0.04825,0.05460,0.02476, 1.000,0.04063,0.05016,0.02159,0.02349,0.02032,0.02476,0.02476,0.02286,0.02476
0.02222,0.03048,0.03619,0.03810,0.04063,0.03556,0.08889,0.08698,0.05587,0.04063, 1.000,0.3111,0.05206,0.04000,0.02984,0.02095,0.03111,0.03111,0.03429
0.01206,0.03175,0.03175,0.03873,0.05016,0.03810,0.1511,0.08317,0.06476,0.05016,0.3111, 1.000,0.06032,0.04127,0.03556,0.02413,0.02857,0.02349,0.02794
0.09333,0.2038,0.03111,0.03365,0.02159,0.2152,0.07619,0.06667,0.2444,0.02159,0.05206,0.06032, 1.000,0.07683,0.1410,0.1327,0.1746,0.1702,0.1759
0.05397,0.09397,0.03238,0.03619,0.02349,0.07937,0.04698,0.03429,0.07238,0.02349,0.04000,0.04127,0.07683, 1.000,0.05905,0.05143,0.06730,0.06032,0.07175
0.1397,0.1257,0.07810,0.06984,0.02032,0.1340,0.06095,0.02286,0.1270,0.02032,0.02984,0.03556,0.1410,0.05905, 1.000,0.2368,0.2521,0.2622,0.2851
0.1359,0.1003,0.07683,0.07238,0.02476,0.1010,0.04127,0.02476,0.1086,0.02476,0.02095,0.02413,0.1327,0.05143,0.2368, 1.000,0.2559,0.2387,0.2603
0.1797,0.1352,0.06667,0.06603,0.02476,0.1422,0.03619,0.02159,0.1314,0.02476,0.03111,0.02857,0.1746,0.06730,0.2521,0.2559, 1.000,0.3225,0.4083
0.1702,0.1327,0.06984,0.07302,0.02286,0.1460,0.03492,0.02540,0.1410,0.02286,0.03111,0.02349,0.1702,0.06032,0.2622,0.2387,0.3225, 1.000,0.3530
0.1733,0.1359,0.08190,0.07238,0.02476,0.1378,0.05016,0.02667,0.1270,0.02476,0.03429,0.02794,0.1759,0.07175,0.2851,0.2603,0.4083,0.3530, 1.000
