Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.4828,0.4823,0.2115,0.2525,0.1927,0.1213,0.4048,0.4252,0.1755,0.1844,0.1384,0.1595,0.4324,0.4408,0.1849,0.1141,0.1617,0.1894
0.4828, 1.000,0.4302,0.1766,0.2984,0.2220,0.1412,0.4197,0.4264,0.2436,0.2110,0.1506,0.1855,0.4756,0.4435,0.1633,0.1102,0.1761,0.2010
0.4823,0.4302, 1.000,0.2193,0.3178,0.1988,0.1556,0.4989,0.5526,0.2364,0.2171,0.1877,0.2054,0.4579,0.4585,0.1661,0.1523,0.1805,0.2065
0.2115,0.1766,0.2193, 1.000,0.2641,0.2265,0.2481,0.2486,0.2065,0.3051,0.3140,0.2724,0.2780,0.2386,0.2403,0.2481,0.2315,0.2414,0.2946
0.2525,0.2984,0.3178,0.2641, 1.000,0.3234,0.2243,0.2663,0.3283,0.3533,0.2957,0.2154,0.2874,0.3173,0.3045,0.2182,0.1883,0.2719,0.2558
0.1927,0.2220,0.1988,0.2265,0.3234, 1.000,0.2447,0.1966,0.1921,0.2514,0.2497,0.1927,0.2259,0.2326,0.2159,0.2292,0.1722,0.2508,0.2392
0.1213,0.1412,0.1556,0.2481,0.2243,0.2447, 1.000,0.1728,0.1512,0.1999,0.2281,0.2110,0.2038,0.1766,0.1628,0.1639,0.1866,0.1977,0.2110
0.4048,0.4197,0.4989,0.2486,0.2663,0.1966,0.1728, 1.000,0.5188,0.2370,0.3023,0.2204,0.2187,0.6091,0.5615,0.2115,0.1999,0.1932,0.2409
0.4252,0.4264,0.5526,0.2065,0.3283,0.1921,0.1512,0.5188, 1.000,0.3383,0.2381,0.2016,0.2874,0.4906,0.5083,0.2065,0.1766,0.2464,0.2132
0.1755,0.2436,0.2364,0.3051,0.3533,0.2514,0.1999,0.2370,0.3383, 1.000,0.3256,0.2231,0.3621,0.2824,0.2719,0.2968,0.2270,0.3117,0.2730
0.1844,0.2110,0.2171,0.3140,0.2957,0.2497,0.2281,0.3023,0.2381,0.3256, 1.000,0.2863,0.2957,0.2951,0.2663,0.2674,0.2442,0.2630,0.3200
0.1384,0.1506,0.1877,0.2724,0.2154,0.1927,0.2110,0.2204,0.2016,0.2231,0.2863, 1.000,0.2564,0.2154,0.2126,0.2121,0.2525,0.2220,0.2946
0.1595,0.1855,0.2054,0.2780,0.2874,0.2259,0.2038,0.2187,0.2874,0.3621,0.2957,0.2564, 1.000,0.2691,0.2486,0.2403,0.2497,0.3560,0.2796
0.4324,0.4756,0.4579,0.2386,0.3173,0.2326,0.1766,0.6091,0.4906,0.2824,0.2951,0.2154,0.2691, 1.000,0.6506,0.2547,0.2237,0.2492,0.2619
0.4408,0.4435,0.4585,0.2403,0.3045,0.2159,0.1628,0.5615,0.5083,0.2719,0.2663,0.2126,0.2486,0.6506, 1.000,0.3128,0.2298,0.2243,0.2724
0.1849,0.1633,0.1661,0.2481,0.2182,0.2292,0.1639,0.2115,0.2065,0.2968,0.2674,0.2121,0.2403,0.2547,0.3128, 1.000,0.2724,0.2824,0.3051
0.1141,0.1102,0.1523,0.2315,0.1883,0.1722,0.1866,0.1999,0.1766,0.2270,0.2442,0.2525,0.2497,0.2237,0.2298,0.2724, 1.000,0.2248,0.2359
0.1617,0.1761,0.1805,0.2414,0.2719,0.2508,0.1977,0.1932,0.2464,0.3117,0.2630,0.2220,0.3560,0.2492,0.2243,0.2824,0.2248, 1.000,0.2846
0.1894,0.2010,0.2065,0.2946,0.2558,0.2392,0.2110,0.2409,0.2132,0.2730,0.3200,0.2946,0.2796,0.2619,0.2724,0.3051,0.2359,0.2846, 1.000
