Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000, 1.000,0.02451,0.9992,0.02321,0.03807,0.03572,0.02373, 1.000,0.03233,0.03442,0.02477,0.05033,0.9992,0.9992,0.02399,0.01877,0.9992,0.9992
 1.000, 1.000,0.02451,0.9992,0.02321,0.03807,0.03572,0.02373, 1.000,0.03233,0.03442,0.02477,0.05033,0.9992,0.9992,0.02399,0.01877,0.9992,0.9992
0.02451,0.02451, 1.000,0.02451,0.03233,0.02764,0.02451,0.09100,0.02451,0.02243,0.08240,0.03416,0.02712,0.02451,0.02451,0.09153,0.08709,0.02451,0.02451
0.9992,0.9992,0.02451, 1.000,0.02321,0.03807,0.03598,0.02373,0.9992,0.03233,0.03442,0.02503,0.05007, 1.000, 1.000,0.02399,0.01877, 1.000, 1.000
0.02321,0.02321,0.03233,0.02321, 1.000,0.07327,0.02634,0.01982,0.02321,0.04172,0.02373,0.05189,0.03781,0.02321,0.02321,0.02243,0.02660,0.02321,0.02321
0.03807,0.03807,0.02764,0.03807,0.07327, 1.000,0.02529,0.05111,0.03807,0.02608,0.03494,0.02034,0.07353,0.03807,0.03807,0.02269,0.02999,0.03807,0.03807
0.03572,0.03572,0.02451,0.03598,0.02634,0.02529, 1.000,0.03051,0.03572,0.02269,0.03312,0.06310,0.03494,0.03598,0.03598,0.03442,0.02790,0.03598,0.03598
0.02373,0.02373,0.09100,0.02373,0.01982,0.05111,0.03051, 1.000,0.02373,0.02216,0.07405,0.02347,0.05893,0.02373,0.02373,0.07014,0.06206,0.02373,0.02373
 1.000, 1.000,0.02451,0.9992,0.02321,0.03807,0.03572,0.02373, 1.000,0.03233,0.03442,0.02477,0.05033,0.9992,0.9992,0.02399,0.01877,0.9992,0.9992
0.03233,0.03233,0.02243,0.03233,0.04172,0.02608,0.02269,0.02216,0.03233, 1.000,0.04068,0.03312,0.02816,0.03233,0.03233,0.04146,0.02764,0.03233,0.03233
0.03442,0.03442,0.08240,0.03442,0.02373,0.03494,0.03312,0.07405,0.03442,0.04068, 1.000,0.02008,0.03833,0.03442,0.03442,0.4034,0.3035,0.03442,0.03442
0.02477,0.02477,0.03416,0.02503,0.05189,0.02034,0.06310,0.02347,0.02477,0.03312,0.02008, 1.000,0.02529,0.02503,0.02503,0.02555,0.02451,0.02503,0.02503
0.05033,0.05033,0.02712,0.05007,0.03781,0.07353,0.03494,0.05893,0.05033,0.02816,0.03833,0.02529, 1.000,0.05007,0.05007,0.02399,0.02243,0.05007,0.05007
0.9992,0.9992,0.02451, 1.000,0.02321,0.03807,0.03598,0.02373,0.9992,0.03233,0.03442,0.02503,0.05007, 1.000, 1.000,0.02399,0.01877, 1.000, 1.000
0.9992,0.9992,0.02451, 1.000,0.02321,0.03807,0.03598,0.02373,0.9992,0.03233,0.03442,0.02503,0.05007, 1.000, 1.000,0.02399,0.01877, 1.000, 1.000
0.02399,0.02399,0.09153,0.02399,0.02243,0.02269,0.03442,0.07014,0.02399,0.04146,0.4034,0.02555,0.02399,0.02399,0.02399, 1.000,0.3181,0.02399,0.02399
0.01877,0.01877,0.08709,0.01877,0.02660,0.02999,0.02790,0.06206,0.01877,0.02764,0.3035,0.02451,0.02243,0.01877,0.01877,0.3181, 1.000,0.01877,0.01877
0.9992,0.9992,0.02451, 1.000,0.02321,0.03807,0.03598,0.02373,0.9992,0.03233,0.03442,0.02503,0.05007, 1.000, 1.000,0.02399,0.01877, 1.000, 1.000
0.9992,0.9992,0.02451, 1.000,0.02321,0.03807,0.03598,0.02373,0.9992,0.03233,0.03442,0.02503,0.05007, 1.000, 1.000,0.02399,0.01877, 1.000, 1.000
