Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06367,0.9476,0.9813,0.1086,0.08240,0.05618,0.9476,0.9813,0.1086,0.2247,0.1199,0.05993,0.02622,0.03371,0.1948,0.1760,0.05618,0.1049
0.06367, 1.000,0.06367,0.06367,0.04869,0.1498,0.4532,0.06367,0.06367,0.05618,0.06367,0.08614,0.2097,0.1610,0.2060,0.05243,0.05243,0.1648,0.05243
0.9476,0.06367, 1.000,0.9513,0.1199,0.07116,0.05618, 1.000,0.9513,0.1273,0.2285,0.1124,0.05243,0.02622,0.04494,0.1835,0.1798,0.05618,0.1049
0.9813,0.06367,0.9513, 1.000,0.1124,0.08240,0.05618,0.9513, 1.000,0.1086,0.2210,0.1124,0.05618,0.02622,0.03371,0.1985,0.1760,0.05618,0.1011
0.1086,0.04869,0.1199,0.1124, 1.000,0.1011,0.07491,0.1199,0.1124,0.1199,0.08614,0.05993,0.04120,0.04120,0.06742,0.08240,0.05618,0.05618,0.07865
0.08240,0.1498,0.07116,0.08240,0.1011, 1.000,0.1573,0.07116,0.08240,0.03745,0.04869,0.05993,0.1199,0.1049,0.1311,0.06367,0.02622,0.08614,0.03745
0.05618,0.4532,0.05618,0.05618,0.07491,0.1573, 1.000,0.05618,0.05618,0.07491,0.07116,0.07491,0.1573,0.1124,0.1723,0.05243,0.05618,0.1386,0.03745
0.9476,0.06367, 1.000,0.9513,0.1199,0.07116,0.05618, 1.000,0.9513,0.1273,0.2285,0.1124,0.05243,0.02622,0.04494,0.1835,0.1798,0.05618,0.1049
0.9813,0.06367,0.9513, 1.000,0.1124,0.08240,0.05618,0.9513, 1.000,0.1086,0.2210,0.1124,0.05618,0.02622,0.03371,0.1985,0.1760,0.05618,0.1011
0.1086,0.05618,0.1273,0.1086,0.1199,0.03745,0.07491,0.1273,0.1086, 1.000,0.1610,0.08989,0.04869,0.03371,0.04494,0.1161,0.08989,0.04494,0.06367
0.2247,0.06367,0.2285,0.2210,0.08614,0.04869,0.07116,0.2285,0.2210,0.1610, 1.000,0.08240,0.05993,0.04120,0.03371,0.1536,0.1760,0.05618,0.08989
0.1199,0.08614,0.1124,0.1124,0.05993,0.05993,0.07491,0.1124,0.1124,0.08989,0.08240, 1.000,0.04494,0.02247,0.04494,0.07865,0.1648,0.04869,0.07865
0.05993,0.2097,0.05243,0.05618,0.04120,0.1199,0.1573,0.05243,0.05618,0.04869,0.05993,0.04494, 1.000,0.1835,0.2772,0.04869,0.04494,0.2547,0.06742
0.02622,0.1610,0.02622,0.02622,0.04120,0.1049,0.1124,0.02622,0.02622,0.03371,0.04120,0.02247,0.1835, 1.000,0.1124,0.02247,0.05993,0.1086,0.05243
0.03371,0.2060,0.04494,0.03371,0.06742,0.1311,0.1723,0.04494,0.03371,0.04494,0.03371,0.04494,0.2772,0.1124, 1.000,0.02996,0.02996,0.2285,0.04869
0.1948,0.05243,0.1835,0.1985,0.08240,0.06367,0.05243,0.1835,0.1985,0.1161,0.1536,0.07865,0.04869,0.02247,0.02996, 1.000,0.09363,0.06742,0.07865
0.1760,0.05243,0.1798,0.1760,0.05618,0.02622,0.05618,0.1798,0.1760,0.08989,0.1760,0.1648,0.04494,0.05993,0.02996,0.09363, 1.000,0.04120,0.08240
0.05618,0.1648,0.05618,0.05618,0.05618,0.08614,0.1386,0.05618,0.05618,0.04494,0.05618,0.04869,0.2547,0.1086,0.2285,0.06742,0.04120, 1.000,0.06742
0.1049,0.05243,0.1049,0.1011,0.07865,0.03745,0.03745,0.1049,0.1011,0.06367,0.08989,0.07865,0.06742,0.05243,0.04869,0.07865,0.08240,0.06742, 1.000
