Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6122,0.1165,0.07948,0.09936,0.08217,0.2132,0.04028,0.02256,0.02417,0.04296,0.03545,0.07250,0.1665,0.1660,0.09828,0.03545,0.07143,0.06821
0.6122, 1.000,0.1042,0.07465,0.1026,0.1112,0.2073,0.03652,0.02095,0.02041,0.04082,0.02578,0.07948,0.1606,0.1412,0.08861,0.03330,0.08432,0.06713
0.1165,0.1042, 1.000,0.06713,0.08861,0.06122,0.05639,0.03652,0.01772,0.02041,0.03921,0.02900,0.03974,0.03759,0.05961,0.08271,0.04082,0.04189,0.06498
0.07948,0.07465,0.06713, 1.000,0.1692,0.09613,0.06660,0.02417,0.03276,0.03330,0.02470,0.03222,0.06928,0.03437,0.05048,0.04941,0.1079,0.08647,0.1697
0.09936,0.1026,0.08861,0.1692, 1.000,0.1595,0.05048,0.03867,0.03008,0.03330,0.03974,0.03115,0.1182,0.03383,0.03921,0.05585,0.1353,0.2003,0.3432
0.08217,0.1112,0.06122,0.09613,0.1595, 1.000,0.08271,0.03115,0.01987,0.02685,0.04350,0.03276,0.2035,0.05961,0.04082,0.03276,0.04995,0.3034,0.1944
0.2132,0.2073,0.05639,0.06660,0.05048,0.08271, 1.000,0.02685,0.04404,0.02632,0.02470,0.03706,0.06230,0.1488,0.1144,0.04243,0.02417,0.04780,0.04135
0.04028,0.03652,0.03652,0.02417,0.03867,0.03115,0.02685, 1.000,0.03652,0.02846,0.1396,0.04135,0.06552,0.03545,0.04243,0.07358,0.03276,0.04350,0.02739
0.02256,0.02095,0.01772,0.03276,0.03008,0.01987,0.04404,0.03652, 1.000,0.04887,0.02846,0.05800,0.02524,0.05263,0.02578,0.02256,0.07089,0.02685,0.02041
0.02417,0.02041,0.02041,0.03330,0.03330,0.02685,0.02632,0.02846,0.04887, 1.000,0.04995,0.02309,0.03276,0.03008,0.02846,0.02417,0.05747,0.03008,0.03867
0.04296,0.04082,0.03921,0.02470,0.03974,0.04350,0.02470,0.1396,0.02846,0.04995, 1.000,0.04243,0.06284,0.03706,0.04404,0.05854,0.03598,0.06176,0.03867
0.03545,0.02578,0.02900,0.03222,0.03115,0.03276,0.03706,0.04135,0.05800,0.02309,0.04243, 1.000,0.02632,0.04082,0.02954,0.01933,0.05424,0.02470,0.03008
0.07250,0.07948,0.03974,0.06928,0.1182,0.2035,0.06230,0.06552,0.02524,0.03276,0.06284,0.02632, 1.000,0.06176,0.03169,0.02041,0.03545,0.4860,0.1407
0.1665,0.1606,0.03759,0.03437,0.03383,0.05961,0.1488,0.03545,0.05263,0.03008,0.03706,0.04082,0.06176, 1.000,0.1058,0.03276,0.03222,0.04511,0.02739
0.1660,0.1412,0.05961,0.05048,0.03921,0.04082,0.1144,0.04243,0.02578,0.02846,0.04404,0.02954,0.03169,0.1058, 1.000,0.1224,0.03383,0.02793,0.03115
0.09828,0.08861,0.08271,0.04941,0.05585,0.03276,0.04243,0.07358,0.02256,0.02417,0.05854,0.01933,0.02041,0.03276,0.1224, 1.000,0.06660,0.02095,0.04296
0.03545,0.03330,0.04082,0.1079,0.1353,0.04995,0.02417,0.03276,0.07089,0.05747,0.03598,0.05424,0.03545,0.03222,0.03383,0.06660, 1.000,0.04565,0.1246
0.07143,0.08432,0.04189,0.08647,0.2003,0.3034,0.04780,0.04350,0.02685,0.03008,0.06176,0.02470,0.4860,0.04511,0.02793,0.02095,0.04565, 1.000,0.2664
0.06821,0.06713,0.06498,0.1697,0.3432,0.1944,0.04135,0.02739,0.02041,0.03867,0.03867,0.03008,0.1407,0.02739,0.03115,0.04296,0.1246,0.2664, 1.000
