Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.6205,0.2180,0.04193,0.1342,0.1237,0.2138,0.02725,0.03354,0.03354,0.02096,0.01258,0.09853,0.08805,0.08595,0.08595,0.1593,0.1111,0.02725
0.6205, 1.000,0.1111,0.04403,0.1321,0.1866,0.3941,0.03564,0.04612,0.03564,0.03774,0.01887,0.1384,0.1279,0.09853,0.05870,0.1195,0.1405,0.04403
0.2180,0.1111, 1.000,0.03564,0.07128,0.01677,0.03774,0.03354,0.03564,0.01887,0.03774,0.02306,0.01258,0.05870,0.1300,0.1677,0.1132,0.02306,0.03145
0.04193,0.04403,0.03564, 1.000,0.06080,0.03354,0.03774,0.04403,0.02096,0.04193,0.02516,0.02516,0.04403,0.1048,0.04822,0.02516,0.06289,0.05031,0.02096
0.1342,0.1321,0.07128,0.06080, 1.000,0.1174,0.08595,0.01048,0.03774,0.07966,0.02516,0.008386,0.1174,0.09853,0.04822,0.05241,0.05870,0.2055,0.1530
0.1237,0.1866,0.01677,0.03354,0.1174, 1.000,0.1740,0.02935,0.02725,0.07128,0.06499,0.02935,0.1300,0.1048,0.04193,0.02516,0.06918,0.2662,0.1006
0.2138,0.3941,0.03774,0.03774,0.08595,0.1740, 1.000,0.04193,0.05870,0.03354,0.04612,0.05031,0.1090,0.1950,0.1006,0.03564,0.03564,0.1363,0.05870
0.02725,0.03564,0.03354,0.04403,0.01048,0.02935,0.04193, 1.000,0.06709,0.03774,0.09224,0.08176,0.2117,0.09015,0.03354,0.05660,0.04193,0.06709,0.02935
0.03354,0.04612,0.03564,0.02096,0.03774,0.02725,0.05870,0.06709, 1.000,0.04822,0.04822,0.1719,0.04193,0.07966,0.03354,0.03145,0.03145,0.03564,0.1342
0.03354,0.03564,0.01887,0.04193,0.07966,0.07128,0.03354,0.03774,0.04822, 1.000,0.03983,0.02096,0.06918,0.02516,0.02935,0.02306,0.03145,0.1405,0.1027
0.02096,0.03774,0.03774,0.02516,0.02516,0.06499,0.04612,0.09224,0.04822,0.03983, 1.000,0.06499,0.06499,0.02935,0.02935,0.04193,0.02935,0.07966,0.05241
0.01258,0.01887,0.02306,0.02516,0.008386,0.02935,0.05031,0.08176,0.1719,0.02096,0.06499, 1.000,0.05241,0.06080,0.02516,0.02516,0.03983,0.02725,0.02306
0.09853,0.1384,0.01258,0.04403,0.1174,0.1300,0.1090,0.2117,0.04193,0.06918,0.06499,0.05241, 1.000,0.1719,0.01468,0.03774,0.02516,0.3543,0.05660
0.08805,0.1279,0.05870,0.1048,0.09853,0.1048,0.1950,0.09015,0.07966,0.02516,0.02935,0.06080,0.1719, 1.000,0.09644,0.01677,0.03983,0.09434,0.02306
0.08595,0.09853,0.1300,0.04822,0.04822,0.04193,0.1006,0.03354,0.03354,0.02935,0.02935,0.02516,0.01468,0.09644, 1.000,0.1929,0.03564,0.02725,0.02935
0.08595,0.05870,0.1677,0.02516,0.05241,0.02516,0.03564,0.05660,0.03145,0.02306,0.04193,0.02516,0.03774,0.01677,0.1929, 1.000,0.09853,0.03983,0.06499
0.1593,0.1195,0.1132,0.06289,0.05870,0.06918,0.03564,0.04193,0.03145,0.03145,0.02935,0.03983,0.02516,0.03983,0.03564,0.09853, 1.000,0.05870,0.07547
0.1111,0.1405,0.02306,0.05031,0.2055,0.2662,0.1363,0.06709,0.03564,0.1405,0.07966,0.02725,0.3543,0.09434,0.02725,0.03983,0.05870, 1.000,0.1656
0.02725,0.04403,0.03145,0.02096,0.1530,0.1006,0.05870,0.02935,0.1342,0.1027,0.05241,0.02306,0.05660,0.02306,0.02935,0.06499,0.07547,0.1656, 1.000
