Fp1,Fp2,F7,F3,Fz,F4,F8,T3,C3,Cz,C4,T4,T5,P3,Pz,P4,T6,O1,O2
 1.000,0.06667,0.04061,0.06565,0.02978,0.02234,0.02098,0.01929,0.02606,0.02910,0.02470,0.02572,0.03858,0.07343,0.03215,0.05685,0.05212,0.04501,0.05550
0.06667, 1.000,0.02098,0.02809,0.02809,0.02437,0.02876,0.02843,0.02606,0.02267,0.02030,0.02301,0.05110,0.02910,0.03621,0.04772,0.04095,0.04907,0.04602
0.04061,0.02098, 1.000,0.03553,0.02335,0.01760,0.02267,0.02606,0.01997,0.02098,0.02606,0.04467,0.02437,0.02809,0.03080,0.03655,0.04230,0.02335,0.03046
0.06565,0.02809,0.03553, 1.000,0.02301,0.01929,0.02132,0.01895,0.01827,0.01827,0.02572,0.03249,0.03824,0.02132,0.02301,0.03350,0.04162,0.03486,0.03113
0.02978,0.02809,0.02335,0.02301, 1.000,0.02470,0.01997,0.02369,0.02200,0.02470,0.02132,0.02606,0.03080,0.02200,0.02944,0.03790,0.03012,0.03858,0.02978
0.02234,0.02437,0.01760,0.01929,0.02470, 1.000,0.03350,0.02606,0.02098,0.02301,0.02335,0.02200,0.05313,0.02944,0.02030,0.01929,0.01827,0.02944,0.02504
0.02098,0.02876,0.02267,0.02132,0.01997,0.03350, 1.000,0.03418,0.02098,0.02470,0.01997,0.03486,0.03824,0.02504,0.02267,0.02640,0.02030,0.02775,0.02538
0.01929,0.02843,0.02606,0.01895,0.02369,0.02606,0.03418, 1.000,0.01963,0.01929,0.02843,0.02572,0.03012,0.02640,0.02267,0.02470,0.01929,0.02403,0.02166
0.02606,0.02606,0.01997,0.01827,0.02200,0.02098,0.02098,0.01963, 1.000,0.02538,0.02234,0.03012,0.01997,0.02132,0.02335,0.02064,0.02234,0.02132,0.02437
0.02910,0.02267,0.02098,0.01827,0.02470,0.02301,0.02470,0.01929,0.02538, 1.000,0.03452,0.02673,0.01591,0.02809,0.01929,0.02504,0.02437,0.02064,0.01929
0.02470,0.02030,0.02606,0.02572,0.02132,0.02335,0.01997,0.02843,0.02234,0.03452, 1.000,0.03046,0.02234,0.01929,0.02403,0.02166,0.02064,0.02132,0.01861
0.02572,0.02301,0.04467,0.03249,0.02606,0.02200,0.03486,0.02572,0.03012,0.02673,0.03046, 1.000,0.02166,0.02166,0.02504,0.02572,0.06565,0.02538,0.01827
0.03858,0.05110,0.02437,0.03824,0.03080,0.05313,0.03824,0.03012,0.01997,0.01591,0.02234,0.02166, 1.000,0.02707,0.02910,0.05922,0.02504,0.04196,0.02572
0.07343,0.02910,0.02809,0.02132,0.02200,0.02944,0.02504,0.02640,0.02132,0.02809,0.01929,0.02166,0.02707, 1.000,0.02673,0.02707,0.02267,0.02538,0.02910
0.03215,0.03621,0.03080,0.02301,0.02944,0.02030,0.02267,0.02267,0.02335,0.01929,0.02403,0.02504,0.02910,0.02673, 1.000,0.04095,0.03215,0.02538,0.02944
0.05685,0.04772,0.03655,0.03350,0.03790,0.01929,0.02640,0.02470,0.02064,0.02504,0.02166,0.02572,0.05922,0.02707,0.04095, 1.000,0.04230,0.02876,0.03723
0.05212,0.04095,0.04230,0.04162,0.03012,0.01827,0.02030,0.01929,0.02234,0.02437,0.02064,0.06565,0.02504,0.02267,0.03215,0.04230, 1.000,0.03249,0.03587
0.04501,0.04907,0.02335,0.03486,0.03858,0.02944,0.02775,0.02403,0.02132,0.02064,0.02132,0.02538,0.04196,0.02538,0.02538,0.02876,0.03249, 1.000,0.03723
0.05550,0.04602,0.03046,0.03113,0.02978,0.02504,0.02538,0.02166,0.02437,0.01929,0.01861,0.01827,0.02572,0.02910,0.02944,0.03723,0.03587,0.03723, 1.000
